="Original baseline selection of best pract with McK_R practices"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="W3_sales_comp3_ihs_w1   ",="W3_sales_comp3_w1   ",="W3_prof_comp4_ihs_w1   ",="W3_prof_comp4_w1   ",="W3_sales_nday_ihs_w1   ",="W3_sales_nday_top3_w1   ",="W3_prof_nday_ihs_w1   ",=" W3_custom_total   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="W3_MWR1_recwritten                                ",="           0.482***",="        2013.801** ",="           0.373   ",="         215.679** ",="           0.695***",="          30.468   ",="           0.357   ",="         -12.265   "
="                                                  ",="         (0.175)   ",="       (876.824)   ",="         (0.230)   ",="       (100.982)   ",="         (0.184)   ",="        (22.818)   ",="         (0.239)   ",="        (15.711)   "
="W3_MWR2_recpurchsale                              ",="          -0.187*  ",="       -1572.109** ",="           0.023   ",="          -6.855   ",="          -0.253** ",="         -29.527** ",="          -0.001   ",="          -2.102   "
="                                                  ",="         (0.109)   ",="       (658.597)   ",="         (0.117)   ",="        (76.469)   ",="         (0.121)   ",="        (14.149)   ",="         (0.125)   ",="         (5.320)   "
="W3_MWR3_recliquid                                 ",="           0.062   ",="         461.025   ",="           0.085   ",="          63.933*  ",="           0.032   ",="          14.721   ",="           0.085   ",="           2.877   "
="                                                  ",="         (0.055)   ",="       (374.963)   ",="         (0.053)   ",="        (36.502)   ",="         (0.060)   ",="         (9.692)   ",="         (0.054)   ",="         (2.722)   "
="W3_MWR4_recsalesprods                             ",="          -0.013   ",="         170.369   ",="          -0.033   ",="         -16.101   ",="          -0.015   ",="          10.638   ",="          -0.036   ",="           1.022   "
="                                                  ",="         (0.056)   ",="       (369.840)   ",="         (0.053)   ",="        (36.927)   ",="         (0.060)   ",="         (9.330)   ",="         (0.054)   ",="         (2.584)   "
="W3_MWR5_costprods                                 ",="           0.097   ",="         -58.274   ",="           0.049   ",="          -4.155   ",="           0.109*  ",="           0.528   ",="           0.040   ",="          -0.330   "
="                                                  ",="         (0.060)   ",="       (413.624)   ",="         (0.056)   ",="        (39.633)   ",="         (0.064)   ",="         (9.899)   ",="         (0.057)   ",="         (2.968)   "
="W3_MWR6_profprods                                 ",="           0.002   ",="         -64.622   ",="           0.027   ",="         -14.260   ",="          -0.006   ",="          11.427   ",="           0.034   ",="           0.501   "
="                                                  ",="         (0.060)   ",="       (406.406)   ",="         (0.058)   ",="        (41.642)   ",="         (0.066)   ",="         (9.692)   ",="         (0.059)   ",="         (3.023)   "
="W3_MWR7_recexpensemth                             ",="           0.166** ",="         708.691   ",="           0.188***",="         107.207*  ",="           0.161** ",="          16.389   ",="           0.153** ",="           0.299   "
="                                                  ",="         (0.076)   ",="       (532.891)   ",="         (0.072)   ",="        (56.797)   ",="         (0.080)   ",="        (13.952)   ",="         (0.074)   ",="         (3.978)   "
="W3_MWR8_recloan                                   ",="           0.236***",="        1587.032***",="           0.173***",="         118.306***",="           0.250***",="          33.666***",="           0.203***",="          13.860***"
="                                                  ",="         (0.070)   ",="       (479.907)   ",="         (0.063)   ",="        (44.056)   ",="         (0.076)   ",="        (10.414)   ",="         (0.069)   ",="         (3.649)   "
="W3_labour_total                                   ",="           0.055** ",="         460.237***",="           0.060***",="          48.248***",="           0.056** ",="          12.773***",="           0.070***",="           1.298   "
="                                                  ",="         (0.024)   ",="       (167.112)   ",="         (0.021)   ",="        (15.801)   ",="         (0.026)   ",="         (3.693)   ",="         (0.020)   ",="         (1.053)   "
="W3_size                                           ",="           0.041***",="         295.690***",="           0.031***",="          21.691***",="           0.044***",="           6.593***",="           0.030***",="           1.059***"
="                                                  ",="         (0.004)   ",="        (34.308)   ",="         (0.003)   ",="         (2.527)   ",="         (0.004)   ",="         (0.835)   ",="         (0.003)   ",="         (0.164)   "
="_cons                                             ",="           7.543***",="       -1838.709*  ",="           5.731***",="          -2.086   ",="           4.013***",="         -32.286   ",="           2.442***",="          42.272***"
="                                                  ",="         (0.182)   ",="       (944.785)   ",="         (0.231)   ",="       (103.297)   ",="         (0.192)   ",="        (24.398)   ",="         (0.240)   ",="        (15.639)   "
="R-squared                                         ",="           0.214   ",="           0.227   ",="           0.154   ",="           0.148   ",="           0.212   ",="           0.199   ",="           0.151   ",="           0.090   "
="N                                                 ",="            1178   ",="            1178   ",="            1174   ",="            1174   ",="            1180   ",="            1180   ",="            1177   ",="            1180   "
="* p<0.10, ** p<0.05, *** p<0.01"
