="McK_R Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="sales_mthly_comp_all_ihs_w   ",="sales_mthly_comp_all_w   ",="profit_mthly_comp_rep_ihs_w   ",="profit_mthly_comp_rep_w   ",="sales_normday_ihs_w   ",="sales_normday_topprods_ihs_w   ",="profit_normday_ihs_w   ",="firm_custom_total   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="practice_McKandW_R1                               ",="           0.276***",="         299.190***",="           0.244***",="          29.387***",="           0.321***",="           0.251***",="           0.256***",="          -2.628   "
="                                                  ",="         (0.065)   ",="       (112.842)   ",="         (0.063)   ",="         (9.396)   ",="         (0.070)   ",="         (0.061)   ",="         (0.058)   ",="         (3.318)   "
="practice_McKandW_R2                               ",="          -0.122   ",="        -363.048*  ",="           0.106   ",="          14.348   ",="          -0.131   ",="          -0.145   ",="           0.096   ",="          -0.205   "
="                                                  ",="         (0.093)   ",="       (202.383)   ",="         (0.088)   ",="        (20.488)   ",="         (0.102)   ",="         (0.092)   ",="         (0.085)   ",="         (4.169)   "
="practice_McKandW_R3                               ",="          -0.049   ",="         -21.955   ",="          -0.077   ",="         -10.034   ",="          -0.082   ",="          -0.029   ",="          -0.052   ",="           2.949   "
="                                                  ",="         (0.063)   ",="       (146.959)   ",="         (0.061)   ",="        (12.176)   ",="         (0.067)   ",="         (0.061)   ",="         (0.060)   ",="         (2.935)   "
="practice_McKandW_R4                               ",="           0.023   ",="          -5.621   ",="           0.028   ",="          -3.098   ",="           0.038   ",="           0.013   ",="           0.003   ",="           1.051   "
="                                                  ",="         (0.051)   ",="       (113.423)   ",="         (0.050)   ",="         (9.612)   ",="         (0.056)   ",="         (0.049)   ",="         (0.049)   ",="         (1.883)   "
="practice_McKandW_R5                               ",="           0.199***",="         388.920***",="           0.156** ",="          25.220***",="           0.189***",="           0.173***",="           0.116*  ",="           4.527** "
="                                                  ",="         (0.062)   ",="       (100.172)   ",="         (0.062)   ",="         (9.433)   ",="         (0.068)   ",="         (0.059)   ",="         (0.059)   ",="         (2.127)   "
="practice_McKandW_R6                               ",="           0.056   ",="          20.466   ",="           0.065   ",="          12.052   ",="          -0.007   ",="           0.127** ",="           0.097   ",="          -0.399   "
="                                                  ",="         (0.067)   ",="       (140.244)   ",="         (0.065)   ",="        (10.756)   ",="         (0.073)   ",="         (0.064)   ",="         (0.062)   ",="         (1.915)   "
="practice_McKandW_R7                               ",="           0.092   ",="         374.791   ",="           0.069   ",="          27.693   ",="           0.067   ",="           0.124   ",="           0.094   ",="           9.287*  "
="                                                  ",="         (0.093)   ",="       (239.123)   ",="         (0.087)   ",="        (20.430)   ",="         (0.102)   ",="         (0.089)   ",="         (0.086)   ",="         (5.300)   "
="practice_McKandW_R8                               ",="           0.346***",="         653.053***",="           0.349***",="          64.631***",="           0.358***",="           0.316***",="           0.332***",="           7.092** "
="                                                  ",="         (0.065)   ",="       (154.227)   ",="         (0.064)   ",="        (13.829)   ",="         (0.071)   ",="         (0.062)   ",="         (0.063)   ",="         (2.967)   "
="owner_educ                                        ",="           0.008   ",="           5.176   ",="           0.019***",="           2.374** ",="           0.008   ",="           0.009   ",="           0.016** ",="           0.496*  "
="                                                  ",="         (0.007)   ",="        (12.117)   ",="         (0.007)   ",="         (1.031)   ",="         (0.008)   ",="         (0.006)   ",="         (0.006)   ",="         (0.257)   "
="labour_total                                      ",="           0.022   ",="         113.362** ",="           0.034*  ",="          10.024** ",="           0.001   ",="           0.053***",="           0.038*  ",="           0.883   "
="                                                  ",="         (0.022)   ",="        (53.043)   ",="         (0.021)   ",="         (4.203)   ",="         (0.023)   ",="         (0.020)   ",="         (0.020)   ",="         (0.907)   "
="firm_space_cont                                   ",="           0.022***",="          45.994***",="           0.015***",="           2.614***",="           0.022***",="           0.020***",="           0.013***",="           0.295*  "
="                                                  ",="         (0.005)   ",="        (11.524)   ",="         (0.004)   ",="         (0.808)   ",="         (0.005)   ",="         (0.005)   ",="         (0.003)   ",="         (0.160)   "
="_cons                                             ",="           6.854***",="         202.610   ",="           4.593***",="          30.191*  ",="           3.567***",="           2.779***",="           1.440***",="          18.983***"
="                                                  ",="         (0.116)   ",="       (216.788)   ",="         (0.106)   ",="        (16.954)   ",="         (0.121)   ",="         (0.112)   ",="         (0.100)   ",="         (3.270)   "
="R-squared                                         ",="           0.165   ",="           0.156   ",="           0.138   ",="           0.125   ",="           0.143   ",="           0.164   ",="           0.135   ",="           0.058   "
="N                                                 ",="            1252   ",="            1252   ",="            1232   ",="            1232   ",="            1262   ",="            1267   ",="            1238   ",="            1263   "
="* p<0.10, ** p<0.05, *** p<0.01"
