="prof Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="sales_mthly_comp_all_ihs_w   ",="sales_mthly_comp_all_w   ",="profit_mthly_comp_rep_ihs_w   ",="profit_mthly_comp_rep_w   ",="sales_normday_ihs_w   ",="sales_normday_topprods_ihs_w   ",="profit_normday_ihs_w   ",="firm_custom_total   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="practice_profit_nocosts                           ",="           0.026   ",="         192.528   ",="           0.056   ",="          16.068   ",="           0.035   ",="           0.047   ",="           0.069   ",="           1.467   "
="                                                  ",="         (0.085)   ",="       (197.362)   ",="         (0.082)   ",="        (17.259)   ",="         (0.091)   ",="         (0.080)   ",="         (0.078)   ",="         (4.797)   "
="practice_profit_allcosts                          ",="           0.420***",="         828.707***",="           0.446***",="          89.597***",="           0.378***",="           0.368***",="           0.450***",="           8.313*  "
="                                                  ",="         (0.120)   ",="       (297.187)   ",="         (0.114)   ",="        (27.678)   ",="         (0.131)   ",="         (0.110)   ",="         (0.110)   ",="         (4.384)   "
="practice_profit_any_daily                         ",="           0.234***",="         308.587** ",="           0.301***",="          46.327***",="           0.235***",="           0.192***",="           0.254***",="           5.868*  "
="                                                  ",="         (0.063)   ",="       (142.340)   ",="         (0.060)   ",="        (13.047)   ",="         (0.068)   ",="         (0.061)   ",="         (0.059)   ",="         (3.123)   "
="practice_inv_profit                               ",="           0.048   ",="         101.218   ",="           0.039   ",="           6.497   ",="           0.072   ",="           0.078   ",="           0.049   ",="           0.296   "
="                                                  ",="         (0.052)   ",="       (111.581)   ",="         (0.052)   ",="         (9.601)   ",="         (0.058)   ",="         (0.049)   ",="         (0.050)   ",="         (2.011)   "
="practice_inv_supplprice                           ",="           0.043   ",="         109.928   ",="           0.077   ",="          16.752*  ",="           0.026   ",="           0.085*  ",="           0.109** ",="           1.003   "
="                                                  ",="         (0.052)   ",="       (109.929)   ",="         (0.051)   ",="         (9.332)   ",="         (0.057)   ",="         (0.049)   ",="         (0.049)   ",="         (2.029)   "
="owner_finlit_compscore                            ",="           0.055   ",="           0.360   ",="           0.047   ",="           0.872   ",="           0.038   ",="           0.043   ",="           0.052   ",="           2.932   "
="                                                  ",="         (0.044)   ",="        (88.793)   ",="         (0.042)   ",="         (7.595)   ",="         (0.047)   ",="         (0.041)   ",="         (0.041)   ",="         (1.958)   "
="labour_total                                      ",="           0.032   ",="         126.428** ",="           0.036*  ",="          10.511** ",="           0.008   ",="           0.058***",="           0.040** ",="           1.042   "
="                                                  ",="         (0.021)   ",="        (52.881)   ",="         (0.020)   ",="         (4.236)   ",="         (0.023)   ",="         (0.020)   ",="         (0.020)   ",="         (0.899)   "
="firm_space_cont                                   ",="           0.024***",="          50.094***",="           0.017***",="           3.021***",="           0.024***",="           0.022***",="           0.016***",="           0.356** "
="                                                  ",="         (0.006)   ",="        (12.226)   ",="         (0.005)   ",="         (0.836)   ",="         (0.006)   ",="         (0.006)   ",="         (0.004)   ",="         (0.152)   "
="_cons                                             ",="           7.233***",="         664.333***",="           5.022***",="          88.185***",="           3.941***",="           3.172***",="           1.831***",="          23.176***"
="                                                  ",="         (0.093)   ",="       (200.642)   ",="         (0.079)   ",="        (14.908)   ",="         (0.094)   ",="         (0.091)   ",="         (0.068)   ",="         (3.143)   "
="R-squared                                         ",="           0.133   ",="           0.136   ",="           0.105   ",="           0.103   ",="           0.111   ",="           0.131   ",="           0.103   ",="           0.037   "
="N                                                 ",="            1289   ",="            1289   ",="            1266   ",="            1266   ",="            1300   ",="            1306   ",="            1272   ",="            1302   "
="* p<0.10, ** p<0.05, *** p<0.01"
