="Baseline Regs with Interaction effect: size"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="sales_mthly_comp_all_ihs_w   ",="sales_mthly_comp_all_w   ",="profit_mthly_comp_rep_ihs_w   ",="profit_mthly_comp_rep_w   ",="sales_normday_ihs_w   ",="sales_normday_topprods_ihs_w   ",="profit_normday_ihs_w   ",="firm_custom_total   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="practice_McKandW_M1                               ",="          -0.120   ",="        -476.959   ",="          -0.115   ",="         -20.915   ",="          -0.165   ",="          -0.074   ",="          -0.127   ",="          -2.094   "
="                                                  ",="         (0.115)   ",="       (298.302)   ",="         (0.112)   ",="        (25.638)   ",="         (0.134)   ",="         (0.111)   ",="         (0.115)   ",="         (4.903)   "
="practice_McKandW_M2                               ",="           0.053   ",="         321.862   ",="           0.166   ",="          23.923   ",="           0.037   ",="           0.034   ",="           0.141   ",="           1.625   "
="                                                  ",="         (0.117)   ",="       (330.632)   ",="         (0.108)   ",="        (26.062)   ",="         (0.131)   ",="         (0.112)   ",="         (0.113)   ",="         (6.077)   "
="practice_McKandW_M3                               ",="           0.340***",="         595.131** ",="           0.342***",="          57.741***",="           0.360***",="           0.329***",="           0.359***",="          11.081** "
="                                                  ",="         (0.091)   ",="       (233.871)   ",="         (0.084)   ",="        (19.566)   ",="         (0.101)   ",="         (0.087)   ",="         (0.084)   ",="         (4.552)   "
="practice_McKandW_M4                               ",="           0.429***",="         961.757***",="           0.357***",="          74.690***",="           0.364***",="           0.367***",="           0.266***",="           9.345   "
="                                                  ",="         (0.100)   ",="       (315.689)   ",="         (0.097)   ",="        (22.407)   ",="         (0.112)   ",="         (0.097)   ",="         (0.093)   ",="         (6.579)   "
="practice_McKandW_M5                               ",="           0.098   ",="          58.508   ",="           0.073   ",="          14.322   ",="           0.081   ",="           0.115   ",="           0.107   ",="          -1.160   "
="                                                  ",="         (0.087)   ",="       (229.533)   ",="         (0.087)   ",="        (19.016)   ",="         (0.092)   ",="         (0.088)   ",="         (0.085)   ",="         (3.576)   "
="practice_McKandW_M6                               ",="           0.138   ",="         432.178   ",="           0.102   ",="          32.472   ",="           0.173   ",="           0.140   ",="           0.134   ",="          19.620** "
="                                                  ",="         (0.113)   ",="       (328.140)   ",="         (0.107)   ",="        (25.594)   ",="         (0.122)   ",="         (0.108)   ",="         (0.104)   ",="         (8.883)   "
="practice_McKandW_M7                               ",="           0.301   ",="         525.743   ",="           0.047   ",="         -28.203   ",="           0.317   ",="           0.356** ",="           0.118   ",="           9.286   "
="                                                  ",="         (0.192)   ",="       (474.410)   ",="         (0.151)   ",="        (30.638)   ",="         (0.204)   ",="         (0.172)   ",="         (0.154)   ",="        (14.946)   "
="practice_McKandW_M1_BMsize                        ",="          -0.098   ",="         310.293   ",="          -0.179   ",="          -1.709   ",="          -0.180   ",="          -0.069   ",="          -0.095   ",="          -5.651   "
="                                                  ",="         (0.174)   ",="       (341.094)   ",="         (0.171)   ",="        (30.642)   ",="         (0.192)   ",="         (0.168)   ",="         (0.170)   ",="         (5.292)   "
="practice_McKandW_M2_BMsize                        ",="          -0.326*  ",="        -743.765** ",="          -0.231   ",="         -36.390   ",="          -0.248   ",="          -0.249   ",="          -0.194   ",="          -1.105   "
="                                                  ",="         (0.175)   ",="       (368.639)   ",="         (0.168)   ",="        (30.922)   ",="         (0.189)   ",="         (0.169)   ",="         (0.167)   ",="         (6.500)   "
="practice_McKandW_M3_BMsize                        ",="          -0.258** ",="        -643.907** ",="          -0.283** ",="         -65.263***",="          -0.260** ",="          -0.221*  ",="          -0.312***",="          -8.617*  "
="                                                  ",="         (0.119)   ",="       (266.598)   ",="         (0.115)   ",="        (23.274)   ",="         (0.130)   ",="         (0.114)   ",="         (0.113)   ",="         (5.015)   "
="practice_McKandW_M4_BMsize                        ",="          -0.327** ",="        -816.375** ",="          -0.235   ",="         -51.582*  ",="          -0.238   ",="          -0.305** ",="          -0.111   ",="         -11.182   "
="                                                  ",="         (0.150)   ",="       (365.788)   ",="         (0.147)   ",="        (29.880)   ",="         (0.166)   ",="         (0.140)   ",="         (0.142)   ",="         (6.931)   "
="practice_McKandW_M5_BMsize                        ",="          -0.246** ",="        -339.713   ",="          -0.101   ",="         -18.028   ",="          -0.290** ",="          -0.195*  ",="          -0.075   ",="           2.212   "
="                                                  ",="         (0.115)   ",="       (257.917)   ",="         (0.119)   ",="        (23.625)   ",="         (0.123)   ",="         (0.113)   ",="         (0.116)   ",="         (4.154)   "
="practice_McKandW_M6_BMsize                        ",="          -0.010   ",="        -283.100   ",="          -0.163   ",="         -44.362   ",="          -0.101   ",="          -0.021   ",="          -0.240   ",="         -16.204*  "
="                                                  ",="         (0.159)   ",="       (380.594)   ",="         (0.156)   ",="        (30.969)   ",="         (0.179)   ",="         (0.149)   ",="         (0.151)   ",="         (9.297)   "
="practice_McKandW_M7_BMsize                        ",="          -0.139   ",="          51.607   ",="          -0.075   ",="          26.911   ",="          -0.271   ",="           0.087   ",="          -0.173   ",="          12.078   "
="                                                  ",="         (0.387)   ",="       (907.321)   ",="         (0.310)   ",="        (54.563)   ",="         (0.416)   ",="         (0.360)   ",="         (0.296)   ",="        (19.154)   "
="labour_total                                      ",="           0.054** ",="         172.776***",="           0.050** ",="          12.858***",="           0.031   ",="           0.081***",="           0.053** ",="           1.109   "
="                                                  ",="         (0.024)   ",="        (63.526)   ",="         (0.022)   ",="         (4.832)   ",="         (0.025)   ",="         (0.022)   ",="         (0.021)   ",="         (0.834)   "
="_cons                                             ",="           7.617***",="        1380.506***",="           5.344***",="         139.763***",="           4.343***",="           3.513***",="           2.134***",="          29.121***"
="                                                  ",="         (0.055)   ",="       (127.157)   ",="         (0.052)   ",="        (10.192)   ",="         (0.058)   ",="         (0.051)   ",="         (0.049)   ",="         (1.897)   "
="R-squared                                         ",="           0.093   ",="           0.080   ",="           0.077   ",="           0.071   ",="           0.084   ",="           0.085   ",="           0.070   ",="           0.069   "
="N                                                 ",="            1287   ",="            1287   ",="            1264   ",="            1264   ",="            1298   ",="            1304   ",="            1270   ",="            1300   "
="Dep Var Mean for AM 12-Mth Shop Asps in Control   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dep Var SD for AM 12-Mth Shop Asps in Control     ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dep Var Mean for BM 12-Mth Shop Asps in Control   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dep Var SD for BM 12-Mth Shop Asps in Control     ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dep Var Mean for AM Ideal Asps in Control         ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dep Var SD for AM Ideal Asps in Control           ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dep Var Mean for BM Ideal Asps in Control         ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dep Var SD for BM Ideal Asps in Control           ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book + Interaction              ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie + Interaction      ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Assistaince + Interaction",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): All Three + Interaction         ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
