="fin2 Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="sales_mthly_comp_all_ihs_w   ",="sales_mthly_comp_all_w   ",="profit_mthly_comp_rep_ihs_w   ",="profit_mthly_comp_rep_w   ",="sales_normday_ihs_w   ",="sales_normday_topprods_ihs_w   ",="profit_normday_ihs_w   ",="firm_custom_total   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="practice_credit_trade                             ",="           0.263***",="         279.931*  ",="           0.156** ",="          15.453   ",="           0.297***",="           0.291***",="           0.190***",="           1.250   "
="                                                  ",="         (0.075)   ",="       (156.719)   ",="         (0.074)   ",="        (12.921)   ",="         (0.081)   ",="         (0.071)   ",="         (0.069)   ",="         (2.612)   "
="practice_credit_trade_int                         ",="           0.137*  ",="         282.374   ",="           0.142*  ",="          24.008   ",="           0.072   ",="           0.174** ",="           0.122   ",="           3.855   "
="                                                  ",="         (0.082)   ",="       (218.727)   ",="         (0.085)   ",="        (18.611)   ",="         (0.092)   ",="         (0.080)   ",="         (0.082)   ",="         (4.041)   "
="finances_separate                                 ",="          -0.040   ",="         -89.920   ",="          -0.005   ",="           2.377   ",="          -0.073   ",="          -0.016   ",="           0.019   ",="           2.960   "
="                                                  ",="         (0.049)   ",="        (99.813)   ",="         (0.049)   ",="         (8.972)   ",="         (0.053)   ",="         (0.046)   ",="         (0.047)   ",="         (1.807)   "
="owner_loan_obtain_1                               ",="           0.036   ",="         -50.374   ",="           0.088   ",="           9.319   ",="           0.042   ",="           0.054   ",="           0.129** ",="          -0.463   "
="                                                  ",="         (0.069)   ",="       (132.674)   ",="         (0.066)   ",="        (12.669)   ",="         (0.074)   ",="         (0.066)   ",="         (0.061)   ",="         (2.191)   "
="labour_total                                      ",="           0.032   ",="         128.094** ",="           0.037*  ",="          10.687** ",="           0.011   ",="           0.060***",="           0.042** ",="           1.047   "
="                                                  ",="         (0.022)   ",="        (52.053)   ",="         (0.021)   ",="         (4.183)   ",="         (0.023)   ",="         (0.020)   ",="         (0.020)   ",="         (0.911)   "
="firm_space_cont                                   ",="           0.025***",="          50.707***",="           0.018***",="           3.118***",="           0.025***",="           0.022***",="           0.016***",="           0.372** "
="                                                  ",="         (0.006)   ",="        (11.984)   ",="         (0.005)   ",="         (0.834)   ",="         (0.006)   ",="         (0.006)   ",="         (0.004)   ",="         (0.149)   "
="_cons                                             ",="           7.138***",="         648.535***",="           5.017***",="          94.649***",="           3.818***",="           3.049***",="           1.792***",="          24.259***"
="                                                  ",="         (0.101)   ",="       (222.472)   ",="         (0.094)   ",="        (17.211)   ",="         (0.109)   ",="         (0.096)   ",="         (0.086)   ",="         (3.276)   "
="R-squared                                         ",="           0.120   ",="           0.123   ",="           0.074   ",="           0.071   ",="           0.104   ",="           0.123   ",="           0.075   ",="           0.027   "
="N                                                 ",="            1289   ",="            1289   ",="            1266   ",="            1266   ",="            1300   ",="            1306   ",="            1272   ",="            1302   "
="* p<0.10, ** p<0.05, *** p<0.01"
