="McK_B Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="sales_mthly_comp_all_ihs_win   ",="sales_mthly_comp_all_win   ",="profit_mthly_comp_rep_ihs_win   ",="profit_mthly_comp_rep_win   ",="sales_normday_ihs_win   ",="sales_normday_topprods_ihs_win   ",="profit_normday_ihs_win   ",="firm_custom_total   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="practice_McKandW_B1                               ",="           0.087   ",="         407.951** ",="           0.063   ",="          19.574   ",="           0.084   ",="           0.093   ",="           0.077   ",="           2.826   "
="                                                  ",="         (0.072)   ",="       (174.522)   ",="         (0.070)   ",="        (14.207)   ",="         (0.079)   ",="         (0.067)   ",="         (0.066)   ",="         (2.893)   "
="practice_McKandW_B2                               ",="           0.195***",="         162.886   ",="           0.159***",="          23.971***",="           0.159***",="           0.176***",="           0.130***",="           5.927***"
="                                                  ",="         (0.051)   ",="       (105.537)   ",="         (0.050)   ",="         (9.266)   ",="         (0.055)   ",="         (0.048)   ",="         (0.048)   ",="         (1.656)   "
="practice_McKandW_B3                               ",="           0.033   ",="         117.860   ",="           0.102*  ",="          11.860   ",="           0.049   ",="           0.036   ",="           0.100*  ",="           0.910   "
="                                                  ",="         (0.052)   ",="       (107.173)   ",="         (0.053)   ",="         (9.571)   ",="         (0.057)   ",="         (0.050)   ",="         (0.051)   ",="         (1.725)   "
="labour_total                                      ",="           0.030   ",="         125.208** ",="           0.037*  ",="          10.577** ",="           0.008   ",="           0.059***",="           0.042** ",="           0.968   "
="                                                  ",="         (0.021)   ",="        (52.622)   ",="         (0.020)   ",="         (4.203)   ",="         (0.023)   ",="         (0.020)   ",="         (0.020)   ",="         (0.881)   "
="firm_space_cont                                   ",="           0.024***",="          49.582***",="           0.017***",="           3.017***",="           0.024***",="           0.021***",="           0.016***",="           0.345** "
="                                                  ",="         (0.006)   ",="        (12.287)   ",="         (0.005)   ",="         (0.839)   ",="         (0.006)   ",="         (0.006)   ",="         (0.004)   ",="         (0.149)   "
="_cons                                             ",="           7.235***",="         647.659***",="           5.013***",="          89.313***",="           3.937***",="           3.192***",="           1.850***",="          23.043***"
="                                                  ",="         (0.089)   ",="       (195.185)   ",="         (0.080)   ",="        (15.073)   ",="         (0.093)   ",="         (0.086)   ",="         (0.072)   ",="         (3.001)   "
="R-squared                                         ",="           0.122   ",="           0.129   ",="           0.081   ",="           0.078   ",="           0.101   ",="           0.119   ",="           0.075   ",="           0.035   "
="N                                                 ",="            1286   ",="            1286   ",="            1263   ",="            1263   ",="            1297   ",="            1303   ",="            1269   ",="            1299   "
="* p<0.10, ** p<0.05, *** p<0.01"
