="McK_M Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="sales_mthly_comp_all_ihs_win   ",="sales_mthly_comp_all_win   ",="profit_mthly_comp_rep_ihs_win   ",="profit_mthly_comp_rep_win   ",="sales_normday_ihs_win   ",="sales_normday_topprods_ihs_win   ",="profit_normday_ihs_win   ",="firm_custom_total   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="practice_McKandW_M1                               ",="          -0.152*  ",="        -285.093   ",="          -0.205** ",="         -21.276   ",="          -0.230** ",="          -0.087   ",="          -0.171** ",="          -5.409*  "
="                                                  ",="         (0.090)   ",="       (184.182)   ",="         (0.089)   ",="        (16.183)   ",="         (0.104)   ",="         (0.085)   ",="         (0.087)   ",="         (2.851)   "
="practice_McKandW_M2                               ",="          -0.151*  ",="        -103.518   ",="           0.023   ",="           2.584   ",="          -0.134   ",="          -0.128   ",="           0.024   ",="           0.707   "
="                                                  ",="         (0.090)   ",="       (195.887)   ",="         (0.086)   ",="        (16.452)   ",="         (0.099)   ",="         (0.086)   ",="         (0.084)   ",="         (3.383)   "
="practice_McKandW_M3                               ",="           0.189***",="         227.676*  ",="           0.180***",="          21.122*  ",="           0.208***",="           0.201***",="           0.181***",="           6.298** "
="                                                  ",="         (0.061)   ",="       (131.799)   ",="         (0.061)   ",="        (11.908)   ",="         (0.067)   ",="         (0.058)   ",="         (0.059)   ",="         (2.515)   "
="practice_McKandW_M4                               ",="           0.245***",="         512.172***",="           0.226***",="          47.432***",="           0.225***",="           0.195***",="           0.199***",="           3.271   "
="                                                  ",="         (0.075)   ",="       (178.577)   ",="         (0.074)   ",="        (15.048)   ",="         (0.082)   ",="         (0.071)   ",="         (0.071)   ",="         (3.575)   "
="practice_McKandW_M5                               ",="          -0.023   ",="        -111.414   ",="           0.034   ",="           6.968   ",="          -0.063   ",="           0.020   ",="           0.076   ",="           0.665   "
="                                                  ",="         (0.060)   ",="       (128.080)   ",="         (0.062)   ",="        (11.987)   ",="         (0.065)   ",="         (0.059)   ",="         (0.060)   ",="         (2.172)   "
="practice_McKandW_M6                               ",="           0.160** ",="         342.231*  ",="           0.034   ",="          12.266   ",="           0.148*  ",="           0.152** ",="           0.027   ",="          11.439** "
="                                                  ",="         (0.077)   ",="       (181.576)   ",="         (0.078)   ",="        (15.325)   ",="         (0.088)   ",="         (0.073)   ",="         (0.077)   ",="         (4.619)   "
="practice_McKandW_M7                               ",="           0.275*  ",="         543.912   ",="           0.056   ",="         -14.513   ",="           0.251   ",="           0.397***",="           0.080   ",="          15.008   "
="                                                  ",="         (0.163)   ",="       (381.305)   ",="         (0.137)   ",="        (24.491)   ",="         (0.175)   ",="         (0.152)   ",="         (0.131)   ",="        (10.776)   "
="labour_total                                      ",="           0.033   ",="         125.556** ",="           0.036*  ",="          10.280** ",="           0.010   ",="           0.061***",="           0.041** ",="           0.976   "
="                                                  ",="         (0.022)   ",="        (52.901)   ",="         (0.021)   ",="         (4.238)   ",="         (0.023)   ",="         (0.020)   ",="         (0.020)   ",="         (0.878)   "
="firm_space_cont                                   ",="           0.024***",="          49.492***",="           0.017***",="           3.006***",="           0.024***",="           0.021***",="           0.015***",="           0.347** "
="                                                  ",="         (0.005)   ",="        (11.658)   ",="         (0.004)   ",="         (0.816)   ",="         (0.006)   ",="         (0.005)   ",="         (0.004)   ",="         (0.144)   "
="_cons                                             ",="           7.350***",="         826.865***",="           5.147***",="         104.963***",="           4.069***",="           3.273***",="           1.955***",="          24.822***"
="                                                  ",="         (0.081)   ",="       (179.811)   ",="         (0.071)   ",="        (13.699)   ",="         (0.084)   ",="         (0.079)   ",="         (0.061)   ",="         (2.600)   "
="R-squared                                         ",="           0.139   ",="           0.139   ",="           0.088   ",="           0.085   ",="           0.122   ",="           0.135   ",="           0.084   ",="           0.057   "
="N                                                 ",="            1287   ",="            1287   ",="            1264   ",="            1264   ",="            1298   ",="            1304   ",="            1270   ",="            1300   "
="* p<0.10, ** p<0.05, *** p<0.01"
