="disc_topic Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="sales_mthly_comp_all_ihs_win   ",="sales_mthly_comp_all_win   ",="profit_mthly_comp_rep_ihs_win   ",="profit_mthly_comp_rep_win   ",="sales_normday_ihs_win   ",="sales_normday_topprods_ihs_win   ",="profit_normday_ihs_win   ",="firm_custom_total   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="practice_discuss_sales                            ",="           0.163** ",="         372.907** ",="           0.182***",="          33.246** ",="           0.184** ",="           0.152** ",="           0.177***",="           4.329** "
="                                                  ",="         (0.074)   ",="       (169.802)   ",="         (0.069)   ",="        (13.663)   ",="         (0.080)   ",="         (0.069)   ",="         (0.067)   ",="         (2.006)   "
="practice_discuss_sellprice                        ",="           0.169***",="         237.224   ",="           0.206***",="          33.281***",="           0.176** ",="           0.186***",="           0.199***",="           2.532   "
="                                                  ",="         (0.064)   ",="       (144.379)   ",="         (0.062)   ",="        (12.788)   ",="         (0.069)   ",="         (0.061)   ",="         (0.059)   ",="         (1.867)   "
="practice_discuss_bestsell                         ",="          -0.040   ",="        -200.758   ",="           0.084   ",="           8.667   ",="          -0.069   ",="           0.028   ",="           0.086   ",="           1.586   "
="                                                  ",="         (0.076)   ",="       (140.272)   ",="         (0.075)   ",="        (13.212)   ",="         (0.084)   ",="         (0.071)   ",="         (0.071)   ",="         (2.469)   "
="practice_discuss_finance                          ",="          -0.039   ",="        -222.502   ",="          -0.077   ",="         -15.069   ",="          -0.131   ",="           0.013   ",="          -0.080   ",="          -3.313*  "
="                                                  ",="         (0.096)   ",="       (137.285)   ",="         (0.094)   ",="        (14.574)   ",="         (0.103)   ",="         (0.090)   ",="         (0.089)   ",="         (1.848)   "
="practice_discuss_buyprice                         ",="           0.218***",="         301.277   ",="           0.263***",="          41.492** ",="           0.252***",="           0.096   ",="           0.224***",="           4.725*  "
="                                                  ",="         (0.083)   ",="       (194.580)   ",="         (0.080)   ",="        (17.428)   ",="         (0.089)   ",="         (0.083)   ",="         (0.078)   ",="         (2.411)   "
="practice_discuss_practice                         ",="           0.132*  ",="          83.677   ",="           0.075   ",="          12.049   ",="           0.120   ",="           0.129*  ",="           0.064   ",="           3.322   "
="                                                  ",="         (0.075)   ",="       (138.267)   ",="         (0.076)   ",="        (13.650)   ",="         (0.081)   ",="         (0.069)   ",="         (0.071)   ",="         (2.858)   "
="practice_discuss_plan                             ",="           0.237***",="         285.341*  ",="           0.295***",="          57.083***",="           0.232***",="           0.286***",="           0.289***",="          14.180***"
="                                                  ",="         (0.070)   ",="       (145.488)   ",="         (0.076)   ",="        (15.713)   ",="         (0.077)   ",="         (0.064)   ",="         (0.074)   ",="         (4.114)   "
="labour_total                                      ",="           0.025   ",="         119.750** ",="           0.027   ",="           8.951** ",="           0.002   ",="           0.052** ",="           0.033   ",="           0.673   "
="                                                  ",="         (0.021)   ",="        (52.558)   ",="         (0.021)   ",="         (4.212)   ",="         (0.023)   ",="         (0.020)   ",="         (0.020)   ",="         (0.876)   "
="firm_space_cont                                   ",="           0.024***",="          50.143***",="           0.017***",="           3.017***",="           0.024***",="           0.022***",="           0.016***",="           0.360** "
="                                                  ",="         (0.006)   ",="        (12.157)   ",="         (0.004)   ",="         (0.824)   ",="         (0.006)   ",="         (0.006)   ",="         (0.004)   ",="         (0.147)   "
="_cons                                             ",="           7.267***",="         747.950***",="           5.054***",="          92.189***",="           3.967***",="           3.212***",="           1.883***",="          23.876***"
="                                                  ",="         (0.084)   ",="       (183.831)   ",="         (0.072)   ",="        (13.850)   ",="         (0.087)   ",="         (0.081)   ",="         (0.064)   ",="         (2.481)   "
="R-squared                                         ",="           0.128   ",="           0.132   ",="           0.097   ",="           0.095   ",="           0.114   ",="           0.124   ",="           0.092   ",="           0.049   "
="N                                                 ",="            1289   ",="            1289   ",="            1266   ",="            1266   ",="            1300   ",="            1306   ",="            1272   ",="            1302   "
="* p<0.10, ** p<0.05, *** p<0.01"
