="reckeep Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="sales_mthly_comp_all_ihs_win   ",="sales_mthly_comp_all_win   ",="profit_mthly_comp_rep_ihs_win   ",="profit_mthly_comp_rep_win   ",="sales_normday_ihs_win   ",="sales_normday_topprods_ihs_win   ",="profit_normday_ihs_win   ",="firm_custom_total   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="practice_rec_ledger                               ",="           0.116*  ",="          63.859   ",="           0.121** ",="          11.194   ",="           0.092   ",="           0.084   ",="           0.112*  ",="           2.114   "
="                                                  ",="         (0.061)   ",="       (123.045)   ",="         (0.060)   ",="        (10.798)   ",="         (0.065)   ",="         (0.059)   ",="         (0.058)   ",="         (2.635)   "
="practice_rec_receipts                             ",="           0.189***",="         391.456***",="           0.215***",="          35.444***",="           0.186***",="           0.098*  ",="           0.198***",="           2.967   "
="                                                  ",="         (0.063)   ",="       (129.387)   ",="         (0.062)   ",="        (10.916)   ",="         (0.068)   ",="         (0.059)   ",="         (0.059)   ",="         (2.135)   "
="practice_rec_twicewkly                            ",="           0.228***",="         383.922***",="           0.191***",="          32.744***",="           0.218***",="           0.179***",="           0.153***",="           5.115***"
="                                                  ",="         (0.050)   ",="       (106.199)   ",="         (0.050)   ",="         (9.362)   ",="         (0.055)   ",="         (0.048)   ",="         (0.049)   ",="         (1.897)   "
="practice_rec_suppl                                ",="          -0.024   ",="          93.009   ",="          -0.014   ",="           1.835   ",="          -0.017   ",="          -0.025   ",="          -0.009   ",="          -0.916   "
="                                                  ",="         (0.072)   ",="       (164.993)   ",="         (0.073)   ",="        (13.608)   ",="         (0.080)   ",="         (0.069)   ",="         (0.069)   ",="         (2.443)   "
="practice_rec_brands                               ",="          -0.065   ",="        -287.618*  ",="          -0.018   ",="         -10.363   ",="          -0.079   ",="          -0.022   ",="          -0.023   ",="          -0.908   "
="                                                  ",="         (0.076)   ",="       (169.615)   ",="         (0.077)   ",="        (14.813)   ",="         (0.083)   ",="         (0.074)   ",="         (0.072)   ",="         (2.601)   "
="practice_rec_prods                                ",="           0.031   ",="         -44.557   ",="           0.037   ",="          -2.015   ",="           0.012   ",="           0.026   ",="           0.035   ",="          -0.890   "
="                                                  ",="         (0.055)   ",="       (125.158)   ",="         (0.054)   ",="        (10.508)   ",="         (0.059)   ",="         (0.052)   ",="         (0.051)   ",="         (1.771)   "
="practice_rec_sales                                ",="          -0.064   ",="        -120.696   ",="           0.185*  ",="          37.212   ",="          -0.076   ",="          -0.027   ",="           0.189*  ",="          -0.077   "
="                                                  ",="         (0.108)   ",="       (263.445)   ",="         (0.108)   ",="        (24.540)   ",="         (0.118)   ",="         (0.112)   ",="         (0.104)   ",="         (4.467)   "
="practice_rec_assets                               ",="          -0.029   ",="          49.285   ",="           0.093   ",="          27.290   ",="          -0.067   ",="          -0.032   ",="           0.097   ",="           1.184   "
="                                                  ",="         (0.083)   ",="       (180.443)   ",="         (0.087)   ",="        (18.923)   ",="         (0.091)   ",="         (0.080)   ",="         (0.084)   ",="         (3.026)   "
="practice_rec_stock                                ",="          -0.082   ",="        -200.363   ",="          -0.117   ",="         -23.106   ",="          -0.123   ",="          -0.028   ",="          -0.072   ",="           7.367   "
="                                                  ",="         (0.110)   ",="       (225.985)   ",="         (0.110)   ",="        (23.114)   ",="         (0.116)   ",="         (0.114)   ",="         (0.110)   ",="         (6.116)   "
="practice_rec_accpay_suppl                         ",="           0.216***",="         320.046** ",="           0.069   ",="          16.088   ",="           0.240***",="           0.131** ",="           0.034   ",="           2.507   "
="                                                  ",="         (0.062)   ",="       (136.020)   ",="         (0.063)   ",="        (12.440)   ",="         (0.066)   ",="         (0.061)   ",="         (0.060)   ",="         (2.424)   "
="practice_rec_accpay_loan                          ",="           0.002   ",="         136.392   ",="           0.075   ",="          16.023   ",="           0.050   ",="           0.021   ",="           0.100   ",="           0.058   "
="                                                  ",="         (0.072)   ",="       (164.622)   ",="         (0.070)   ",="        (14.324)   ",="         (0.078)   ",="         (0.071)   ",="         (0.067)   ",="         (2.846)   "
="practice_rec_costs                                ",="          -0.007   ",="         -96.524   ",="          -0.007   ",="          -3.526   ",="          -0.033   ",="          -0.009   ",="           0.017   ",="           0.360   "
="                                                  ",="         (0.049)   ",="       (102.319)   ",="         (0.049)   ",="         (9.083)   ",="         (0.053)   ",="         (0.046)   ",="         (0.047)   ",="         (1.635)   "
="practice_rec_accrec_custom                        ",="           0.401***",="         476.294***",="           0.361***",="          39.696***",="           0.437***",="           0.360***",="           0.333***",="           1.583   "
="                                                  ",="         (0.064)   ",="       (120.107)   ",="         (0.063)   ",="         (9.871)   ",="         (0.069)   ",="         (0.061)   ",="         (0.059)   ",="         (2.068)   "
="practice_rec_accrec_fam                           ",="           0.049   ",="         295.437   ",="           0.055   ",="          28.725   ",="           0.054   ",="           0.062   ",="           0.074   ",="           4.230   "
="                                                  ",="         (0.088)   ",="       (214.806)   ",="         (0.088)   ",="        (20.908)   ",="         (0.093)   ",="         (0.086)   ",="         (0.086)   ",="         (3.406)   "
