="stockup Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="sales_mthly_comp_all_ihs_win   ",="sales_mthly_comp_all_win   ",="profit_mthly_comp_rep_ihs_win   ",="profit_mthly_comp_rep_win   ",="sales_normday_ihs_win   ",="sales_normday_topprods_ihs_win   ",="profit_normday_ihs_win   ",="firm_custom_total   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="firm_stockout_wklyall                             ",="           0.045   ",="          66.506   ",="           0.003   ",="           3.616   ",="           0.025   ",="           0.013   ",="          -0.014   ",="          -2.007   "
="                                                  ",="         (0.061)   ",="       (128.806)   ",="         (0.062)   ",="        (11.644)   ",="         (0.067)   ",="         (0.058)   ",="         (0.058)   ",="         (2.111)   "
="firm_stockup_lateany                              ",="          -0.250***",="        -294.949** ",="          -0.266***",="         -36.906***",="          -0.278***",="          -0.282***",="          -0.261***",="          -7.497***"
="                                                  ",="         (0.070)   ",="       (134.332)   ",="         (0.070)   ",="        (10.734)   ",="         (0.076)   ",="         (0.064)   ",="         (0.065)   ",="         (2.050)   "
="firm_stockup_fixall                               ",="           0.263** ",="         810.665** ",="           0.247** ",="          62.516** ",="           0.217   ",="           0.311** ",="           0.272** ",="           1.345   "
="                                                  ",="         (0.125)   ",="       (390.136)   ",="         (0.120)   ",="        (29.905)   ",="         (0.134)   ",="         (0.127)   ",="         (0.123)   ",="         (3.353)   "
="firm_stockup_wklyall                              ",="          -0.483***",="        -582.939***",="          -0.366***",="         -47.523***",="          -0.491***",="          -0.499***",="          -0.332***",="          -9.899***"
="                                                  ",="         (0.082)   ",="       (151.415)   ",="         (0.084)   ",="        (12.598)   ",="         (0.089)   ",="         (0.075)   ",="         (0.079)   ",="         (1.941)   "
="firm_stockup_dailyall                             ",="           0.323***",="         652.830** ",="           0.187*  ",="          34.491   ",="           0.267** ",="           0.412***",="           0.202** ",="           5.601   "
="                                                  ",="         (0.105)   ",="       (291.780)   ",="         (0.108)   ",="        (23.469)   ",="         (0.117)   ",="         (0.091)   ",="         (0.103)   ",="         (3.786)   "
="labour_total                                      ",="           0.026   ",="         118.204** ",="           0.034*  ",="          10.176** ",="           0.004   ",="           0.055***",="           0.039** ",="           1.020   "
="                                                  ",="         (0.021)   ",="        (52.062)   ",="         (0.021)   ",="         (4.215)   ",="         (0.023)   ",="         (0.020)   ",="         (0.020)   ",="         (0.907)   "
="firm_space_cont                                   ",="           0.024***",="          50.654***",="           0.017***",="           3.050***",="           0.024***",="           0.022***",="           0.016***",="           0.355** "
="                                                  ",="         (0.006)   ",="        (12.019)   ",="         (0.004)   ",="         (0.800)   ",="         (0.006)   ",="         (0.005)   ",="         (0.003)   ",="         (0.144)   "
="_cons                                             ",="           7.433***",="         910.293***",="           5.247***",="         119.929***",="           4.141***",="           3.391***",="           2.066***",="          29.366***"
="                                                  ",="         (0.086)   ",="       (192.042)   ",="         (0.072)   ",="        (14.189)   ",="         (0.088)   ",="         (0.083)   ",="         (0.062)   ",="         (2.663)   "
="R-squared                                         ",="           0.154   ",="           0.144   ",="           0.101   ",="           0.092   ",="           0.131   ",="           0.167   ",="           0.098   ",="           0.044   "
="N                                                 ",="            1289   ",="            1289   ",="            1266   ",="            1266   ",="            1300   ",="            1306   ",="            1272   ",="            1302   "
="* p<0.10, ** p<0.05, *** p<0.01"
