InputID	TargetID	Distance
107	108	4.30767918964e-05
125	132	0.0004049235
128	129	0
133	187	0.0008953446
183	122	0.0003606245
186	185	0
190	122	0.0006464488
196	129	0
201	204	0.0007933448
202	204	0.0011936995
219	231	0.0006027871
221	222	0.0010503688
230	231	0.0004625
232	231	0.0010286025
235	234	0.0006262323
238	237	0.0005846691
304	381	0.0003920726
315	383	0.0012222284
318	316	0.0006845015
326	327	0.0016321458
330	331	0.0003123047
337	329	0.0021107398
338	329	0.0020308658
391	327	0.0009738748
401	405	0
409	481	0.0008304503
415	408	0.0006222741
419	422	0.0007855368
482	414	0.0015028998
483	414	0.0014203845
486	421	0.0014728135
497	438	0.0007841528
501	502	0.0005547901
506	522	0.000374932
507	522	0.0001977105
508	510	0.0010138438
512	503	0.0007647524
586	511	0.0006564253
613	685	0.0020523878
618	689	0.0003990918
624	694	0.000401088
630	631	0.0011132455
641	640	0.0004278523
643	639	0.0014401389
644	642	0.0007564015
693	621	0.0002404559
704	703	3.29999999948e-06
706	710	0.0002831538
711	783	0.0002328469
717	708	0.0002148304
719	722	0.0002770973
743	741	0.0002561799
744	742	0.0023139473
745	742	0.002617125
781	780	0.0005191052
784	712	0.0003498256
805	882	0.00023821
812	813	0.0002310273
816	815	0.0007115004
837	836	0.000933305
888	819	0.0006820935
890	829	0.0002404799
891	832	0.0005750092
894	825	0.0014279529
903	981	0.0006308029
904	902	0.0026298717
906	901	0.0041377548
915	914	0.0010525394
921	922	0.0017299532
928	929	0.0007473444
983	902	0.0057818599
984	926	0.0062413975
1108	1184	0.0006393243
1109	1182	0.0002531394
1110	1102	0.0010136607
1113	1111	0.00132696
1117	1131	0.0011058495
1129	1133	0.000308662
1136	1140	0.0005683305
1137	1111	0
1143	1130	0.0005278561
1181	1182	0.0001345363
1208	1202	0.0004073061
1218	1215	0.0005420168
1228	1227	0.0011737797
1281	1201	0.0005521775
1293	1215	0.00018416
1306	1307	0.0003745494
1310	1314	0.0004346634
1320	1322	0.000950211
1321	1322	0.0001887987
1323	1316	0.0007775103
1346	1345	0.0008702173
1349	1350	0.000871451
1386	1319	0.0006953345
1387	1322	0.00043141
1397	1398	0.0010507616
1401	1402	0.0018792953
1406	1420	0.0017420103
1412	1413	0.0010502162
1424	1425	0.0009728998
1481	1480	0.0006438525
1482	1402	0.0015832716
1513	1510	0.0003593544
1516	1515	0.0005345761
1518	1509	0.0005998541
1526	1549	0.0006958723
1529	1532	0.0016397332
1533	1530	0.0016293557
1535	1536	0.0002945713
1540	1595	0.0002656782
1547	1546	0.0002991447
1599	1546	0.0002592519
1605	1604	0.0001863417
1616	1615	0.0001533174
1618	1614	0.0004408964
1621	1622	0.0002600863
1645	1628	0.0005008992
1646	1647	0.0004357592
1649	1636	0.0007375032
1650	1636	0.000435627
1652	1653	0.0007978766
1656	1667	0.0003274691
1657	1658	0.0003781615
1662	1660	0.0007311846
1666	1667	0.0002238861
1678	1676	0.0019624077
1681	1680	0.0003295527
1702	1704	0.000357933
1703	1704	0.0002870207
1706	1704	0.0003689512
1730	1729	0.0003625634
1734	1735	0.0003893687
1737	1709	0.0009949985
1738	1729	0.0004439672
1741	1745	0.0015081253
1748	1749	0.0006739971
1787	1722	0.0005297971
1801	1802	0.0004302126
1803	1804	0.000126086
1824	1825	0.0006243397
1831	1830	0.0026883042
1838	1837	0.0004438118
1839	1840	0.0004923617
1841	1840	0.0022553326
1882	1805	0.0002100688
1908	1910	0.0003487782
1909	1910	0.0002681865
1914	1912	0.0007477185
1921	1985	0.0008364406
1924	1925	0.0014161787
1927	1925	0.0013048467
1928	1934	0.0019100714
1939	1945	0.0004004997
1944	1940	0.0002051559
1948	1931	0.0006372237
1952	1954	0.0002353933
1953	1951	0.0004100556
1963	1962	0.0003004312
2001	2002	0.000380174
2005	2011	0.0004384141
2016	2015	0.0004742362
2020	2019	0.002195539
2027	2026	0.0004478343
2029	2028	0.0018744933
2030	2031	5.10882569657e-05
2035	2043	0.0006068212
2042	2043	0.0002840473
2115	2109	0.0003128134
2116	2117	0.0005901499
2118	2117	0.0002955541
2126	2127	0.0007636907
2129	2130	0.0002883093
2135	2140	0.0015853817
2146	2147	0.0009766795
2148	2147	0.001076483
2190	2188	0.0002426182
2192	2111	0.0011702427
2214	2224	0.0023365284
2218	2217	0.0010192852
2221	2220	7.62365397947e-05
2222	2205	0.0019937436
2302	2315	0.0005602901
2307	2308	0.0002539257
2312	2385	0.0004294182
2318	2317	0.0004070902
2320	2319	0.0002102808
2333	2393	0.0011627562
2339	2337	0.0010109927
2340	2341	0.0005867572
2384	2315	0.000723074
2395	2337	0.0004807975
2403	2408	0.0012194687
2404	2405	0.0009844412
2407	2406	0.0002294951
2410	2409	0.0006982686
