InputID	TargetID	Distance
125	108	0.0017498143
201	205	0.0034693726
219	228	0.0034861231
315	383	0.0012222284
330	331	0.0003123047
338	331	0.0037677055
391	389	0.0024158868
401	2502	0.0078270738
624	686	0.0013458181
745	740	0.0032741533
805	804	0.0012816396
816	2627	0.0081657481
1136	1128	0.0017409905
1208	1226	0.0024407749
1386	1319	0.0006953345
1412	1419	0.0045326149
1533	1589	0.0018348984
1540	1541	0.000609766
1657	1694	0.0043762751
1666	1694	0.0050070866
1841	1812	0.0062275179
1909	1983	0.0027958451
1944	1938	0.0013641478
1953	1983	0.0071645186
2020	2019	0.002195539
2030	2023	0.0005927344
2035	2043	0.0006068212
2115	2108	0.0010499281
2116	2187	0.0017233579
2126	2127	0.0007636907
2129	2128	0.0004518628
2135	2140	0.0015853817
2190	2187	0.0011614613
2221	108	0.0204572931
2395	2324	0.0028141181
2418	2419	0.0023402617
2526	2584	0.0016966588
2598	2563	0.0018516387
2611	2601	0.0005504358
2644	2647	0.0005422326
2717	2735	0.0114658718
2784	2782	0.0027743394
2791	2735	0.0136445639
2852	2811	0.0014682161
2886	2801	0.0012938546
2985	2923	0.0001840327
