shop_ID,W1_gps_dec_long,W1_gps_dec_lat,W1_shoptype,W1_tuksayur2,W1_rokok2,W1_gas2,W1_warung2,B,BM,BC,BMC,BT,BMT,BCT,BMCT,control,treatgroup
125,106.80441,-6.1503048,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0
201,106.94639,-6.2315683,3,0,1,1,1,0,0,0,0,0,0,0,0,1,0
219,106.93857,-6.2293682,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0
315,106.80124,-6.3384233,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0
330,106.80979,-6.3349319,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0
338,106.81322,-6.3343134,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
391,106.80981,-6.3395681,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
401,106.82154,-6.3360119,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
624,106.72784,-6.1321316,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
745,106.86987,-6.3192849,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0
805,106.75753,-6.1374798,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
816,106.7401,-6.1517015,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1136,106.88087,-6.3363881,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
1208,106.85652,-6.2462783,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
1386,106.94754,-6.1819916,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1412,106.93156,-6.2262402,3,0,1,1,1,0,0,0,0,0,0,0,0,1,0
1533,106.85522,-6.3061018,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1540,106.85587,-6.3108616,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1657,106.84094,-6.3163366,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1666,106.84231,-6.3170619,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1841,106.86887,-6.3406835,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
1909,106.75454,-6.1992731,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
1944,106.76119,-6.2183199,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0
1953,106.75401,-6.203845,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2020,106.74687,-6.1745348,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0
2030,106.75379,-6.1620617,3,1,0,1,1,0,0,0,0,0,0,0,0,1,0
2035,106.74976,-6.1626582,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
2115,106.90716,-6.3020582,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2116,106.90699,-6.299665,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
2126,106.89645,-6.3111434,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2129,106.89645,-6.3097782,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
2135,106.89633,-6.312675,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
2190,106.90737,-6.3014851,3,0,1,1,1,0,0,0,0,0,0,0,0,1,0
2221,106.80882,-6.1691918,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0
2395,106.91329,-6.3007798,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2418,106.77996,-6.2288465,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2526,106.83521,-6.3486419,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0
2598,106.81177,-6.3577266,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2611,106.73023,-6.1470065,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2644,106.73638,-6.1279335,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
2717,106.76625,-6.2570615,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
2784,106.7636,-6.2783785,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0
2791,106.76702,-6.2549467,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0
2852,106.85689,-6.2008367,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2886,106.85948,-6.2060018,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0
2985,106.84113,-6.2153082,4,1,0,1,1,0,0,0,0,0,0,0,0,1,0
