shop_ID,W1_gps_dec_long,W1_gps_dec_lat,W1_shoptype,W1_tuksayur2,W1_rokok2,W1_gas2,W1_warung2,B,BM,BC,BMC,BT,BMT,BCT,BMCT,control,treatgroup
186,106.73251,-6.1475081,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
202,106.94523,-6.2302918,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
221,106.9429,-6.231535,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
232,106.9389,-6.2304869,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
235,106.94563,-6.2199616,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
238,106.94418,-6.2187099,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
315,106.80124,-6.3384233,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0
318,106.80402,-6.3403502,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
326,106.80884,-6.3396482,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
409,106.74886,-6.2341852,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
419,106.74474,-6.2306666,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
512,106.82984,-6.1573167,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
618,106.72648,-6.1287117,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
643,106.72598,-6.1521115,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
704,106.86552,-6.3114834,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
706,106.86662,-6.3116632,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
744,106.86977,-6.3196602,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
888,106.74839,-6.1341567,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0
903,106.83878,-6.2949882,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
906,106.83894,-6.300015,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
921,106.8376,-6.28828,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
1113,106.88805,-6.3405733,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1306,106.94469,-6.1814051,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1310,106.94559,-6.1824431,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
1321,106.94759,-6.1814532,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1397,106.96534,-6.1687298,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1406,106.93027,-6.2215333,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
1513,106.84044,-6.3133302,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1516,106.84435,-6.3147435,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1518,106.84502,-6.3152533,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1526,106.85638,-6.30827,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1529,106.85463,-6.3054218,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1599,106.85521,-6.3110418,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1616,106.84082,-6.3305316,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1621,106.83654,-6.3325982,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1645,106.83674,-6.3262482,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1650,106.83463,-6.3258033,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1657,106.84094,-6.3163366,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1662,106.83916,-6.3146968,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
1703,106.85412,-6.2025652,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1737,106.85514,-6.2054634,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1748,106.8475,-6.2045016,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1787,106.84996,-6.2005949,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1882,106.86185,-6.350615,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1914,106.75369,-6.1986098,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1927,106.7616,-6.2147417,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1948,106.7626,-6.2175951,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1952,106.7541,-6.2041583,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
2005,106.75166,-6.1674066,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
2030,106.75379,-6.1620617,3,1,0,1,1,0,0,0,0,0,0,0,0,1,0
2118,106.90656,-6.2999268,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2222,106.80696,-6.1746883,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2302,106.90495,-6.2969317,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2318,106.90704,-6.2933369,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
2320,106.90676,-6.2917018,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
2414,106.76668,-6.2302499,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2436,106.77377,-6.2306132,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2481,106.78302,-6.2330532,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0
2507,106.8297,-6.3393602,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2544,106.82361,-6.35256,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2589,106.83421,-6.3459568,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2597,106.81107,-6.3569384,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2680,106.73141,-6.1475682,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2717,106.76625,-6.2570615,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
