shop_ID,W1_gps_dec_long,W1_gps_dec_lat,W1_shoptype,W1_tuksayur2,W1_rokok2,W1_gas2,W1_warung2,B,BM,BC,BMC,BT,BMT,BCT,BMCT,control,treatgroup
103,106.80196,-6.1518917,2,0,1,0,1,0,0,1,0,0,0,1,0,0,7
106,106.80285,-6.1496301,1,1,1,0,1,1,0,0,0,1,0,0,0,0,4
108,106.80279,-6.1496434,4,0,0,1,1,1,0,0,0,1,0,0,0,0,8
109,106.80278,-6.1491385,2,1,1,0,1,1,0,0,0,1,0,0,0,0,8
111,106.80616,-6.1503115,4,0,1,0,1,0,0,1,0,0,0,1,0,0,3
114,106.80616,-6.1503115,4,0,1,0,1,0,0,1,0,0,0,0,0,0,7
116,106.80616,-6.1503115,1,1,0,0,1,1,0,0,0,1,0,0,0,0,8
118,106.80616,-6.1503115,4,0,0,0,1,1,0,0,0,1,0,0,0,0,4
123,106.80225,-6.1502218,4,0,1,0,1,0,0,1,0,0,0,1,0,0,7
124,106.80405,-6.1505265,4,0,1,0,1,0,0,1,0,0,0,1,0,0,3
129,106.73258,-6.1475315,1,1,0,0,1,0,1,0,0,0,1,0,0,0,6
135,106.80368,-6.1487784,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1
181,106.80199,-6.1516967,2,0,1,0,1,0,1,0,0,0,1,0,0,0,6
184,106.80195,-6.1524081,2,1,1,0,1,0,0,0,1,0,0,0,1,0,5
185,106.73251,-6.1475081,4,0,0,0,1,0,1,0,0,0,1,0,0,0,2
187,106.806,-6.1495819,2,0,1,0,1,0,0,1,0,0,0,1,0,0,3
188,106.80453,-6.1510234,2,0,1,0,1,0,1,0,0,0,0,0,0,0,6
189,106.80571,-6.1503716,1,1,1,0,1,1,0,0,0,1,0,0,0,0,4
191,106.80394,-6.1502585,2,0,1,0,1,0,1,0,0,0,0,0,0,0,2
192,106.8034,-6.1495934,2,0,1,0,1,0,0,0,1,0,0,0,1,0,1
194,106.80424,-6.150815,4,0,1,0,1,0,1,0,0,0,0,0,0,0,6
203,106.94434,-6.2313232,2,1,1,0,1,0,0,0,1,0,0,0,0,0,5
205,106.94479,-6.2284899,4,0,1,1,1,0,0,0,1,0,0,0,0,0,1
206,106.93783,-6.2257586,2,1,1,0,1,0,1,0,0,0,1,0,0,0,6
207,106.93781,-6.2257833,2,0,1,0,1,1,0,0,0,0,0,0,0,0,8
208,106.93857,-6.2255216,2,1,1,0,1,0,0,1,0,0,0,1,0,0,7
210,106.9395,-6.2265048,2,0,1,0,1,0,1,0,0,0,0,0,0,0,2
212,106.93892,-6.2245631,4,0,1,0,1,1,0,0,0,1,0,0,0,0,8
213,106.9389,-6.2192864,4,0,1,1,1,0,0,1,0,0,0,1,0,0,7
214,106.93917,-6.2179017,4,0,0,0,1,0,0,1,0,0,0,1,0,0,7
216,106.94145,-6.2208633,2,0,1,0,1,0,0,1,0,0,0,0,0,0,3
220,106.94003,-6.2317381,4,0,1,0,1,1,0,0,0,1,0,0,0,0,4
