="Balance of attrition across experimental groups at wave W4"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   "
="                                                  ",="Business Part of Endline   ",="Business Part of Endline   ",="Business Closed at Endline   ",="Business Closed at Endline   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="          -0.034   ",="          -0.036   ",="           0.000   ",="           0.000   "
="                                                  ",="         (0.035)   ",="         (0.035)   ",="             (.)   ",="             (.)   "
="Assigned Handbook & Movie                         ",="          -0.007   ",="          -0.008   ",="           0.000   ",="           0.000   "
="                                                  ",="         (0.035)   ",="         (0.035)   ",="             (.)   ",="             (.)   "
="Assigned Handbook & Counseling                    ",="          -0.020   ",="          -0.024   ",="           0.000   ",="           0.000   "
="                                                  ",="         (0.035)   ",="         (0.035)   ",="             (.)   ",="             (.)   "
="Assigned All Three                                ",="          -0.029   ",="          -0.035   ",="           0.000   ",="           0.000   "
="                                                  ",="         (0.035)   ",="         (0.035)   ",="             (.)   ",="             (.)   "
="R-squared                                         ",="           0.039   ",="           0.043   ",="               .   ",="               .   "
="N                                                 ",="            1301   ",="            1301   ",="            1301   ",="            1301   "
="Mean of Dependent Variable in Control Group       ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie             ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Assistance        ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie & Assistance",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie = Book & Assistance",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
