="Wave W4: Heterogeneity in Impact on Business Aspirations by Outcome Level at Baseline"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   "
="                                                  ",="Aggregate Short-Term Aspirations   ",="Short-Term Sales Aspirations   ",="Short-Term Sales Aspirations (win 1 %)   ",="Short-Term Shop Size Aspirations   ",="Short-Term Employee Aspirations    ",="Short-Term Customer Aspirations    ",="Aggregate Long-Term Aspirations   ",="Aggregate Long-Term Aspirations   ",="Long-Term Shop Size Aspirations   ",="Long-Term Shop Size Aspirations   ",="Long-Term Employee Aspirations    ",="Long-Term Employee Aspirations    ",="Long-Term Customer Aspirations    ",="Long-Term Customer Aspirations    "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="           0.004   ",="          52.644   ",="          36.270   ",="          -2.726   ",="           0.005   ",="          12.149   ",="           0.084   ",="           0.066   ",="          -1.978   ",="          -1.023   ",="           0.203   ",="           0.263   ",="          25.666** ",="          22.360   "
="                                                  ",="         (0.075)   ",="       (112.227)   ",="        (60.161)   ",="         (2.271)   ",="         (0.222)   ",="         (7.585)   ",="         (0.099)   ",="         (0.110)   ",="         (3.673)   ",="         (4.073)   ",="         (0.336)   ",="         (0.377)   ",="        (12.634)   ",="        (14.104)   "
="Assigned Handbook & Movie                         ",="          -0.048   ",="         -47.303   ",="         147.905** ",="          -3.559   ",="          -0.068   ",="          20.367** ",="           0.083   ",="           0.093   ",="           2.245   ",="           3.805   ",="          -0.321   ",="          -0.188   ",="          36.499***",="          37.921** "
="                                                  ",="         (0.068)   ",="       (164.783)   ",="        (62.603)   ",="         (2.531)   ",="         (0.191)   ",="         (7.913)   ",="         (0.094)   ",="         (0.113)   ",="         (3.621)   ",="         (4.106)   ",="         (0.247)   ",="         (0.317)   ",="        (13.185)   ",="        (15.947)   "
="Assigned Handbook & Counseling                    ",="           0.087   ",="        -209.149   ",="          -6.889   ",="           0.909   ",="           0.446*  ",="          14.705*  ",="           0.082   ",="           0.113   ",="           4.172   ",="           3.889   ",="           0.092   ",="           0.241   ",="          11.649   ",="           6.695   "
="                                                  ",="         (0.090)   ",="       (180.534)   ",="        (54.684)   ",="         (2.377)   ",="         (0.228)   ",="         (8.192)   ",="         (0.098)   ",="         (0.125)   ",="         (3.261)   ",="         (3.571)   ",="         (0.250)   ",="         (0.331)   ",="        (10.103)   ",="        (11.322)   "
="Assigned All Three                                ",="           0.057   ",="        -174.687   ",="          49.955   ",="           0.431   ",="           0.223   ",="          15.218** ",="           0.072   ",="           0.078   ",="           2.242   ",="           4.090   ",="           0.238   ",="           0.472   ",="          20.607*  ",="          17.965   "
="                                                  ",="         (0.082)   ",="       (158.009)   ",="        (57.722)   ",="         (2.070)   ",="         (0.307)   ",="         (6.547)   ",="         (0.110)   ",="         (0.127)   ",="         (3.346)   ",="         (3.884)   ",="         (0.348)   ",="         (0.428)   ",="        (12.307)   ",="        (12.890)   "
="Below-Md Aspirations at Baseline X Assigned Handbook",="          -0.086   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.085)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Movie",="           0.037   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.082)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Counseling",="          -0.087   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.099)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned All Three",="          -0.085   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.093)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook",="                   ",="         -46.077   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="        (89.155)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Movie",="                   ",="         102.348   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="       (238.839)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Counseling",="                   ",="         261.769   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="       (236.910)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned All Three",="                   ",="         181.864   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="       (197.669)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook",="                   ",="                   ",="        -148.147** ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="        (59.563)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Movie",="                   ",="                   ",="        -213.721***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="        (63.411)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Counseling",="                   ",="                   ",="         -33.533   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="        (54.940)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned All Three",="                   ",="                   ",="        -119.321** ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="        (55.746)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook",="                   ",="                   ",="                   ",="           1.768   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="         (2.643)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Movie",="                   ",="                   ",="                   ",="           3.268   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="         (2.921)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Counseling",="                   ",="                   ",="                   ",="          -1.217   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="         (2.719)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned All Three",="                   ",="                   ",="                   ",="          -0.234   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="         (2.388)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook",="                   ",="                   ",="                   ",="                   ",="           0.054   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="         (0.240)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Movie",="                   ",="                   ",="                   ",="                   ",="          -0.109   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="         (0.202)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook & Counseling",="                   ",="                   ",="                   ",="                   ",="          -0.190   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="         (0.256)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned All Three",="                   ",="                   ",="                   ",="                   ",="          -0.265   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="         (0.314)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Below-Md Aspirations at Baseline X Assigned Handbook",="                   ",="                   ",="                   ",="                   ",="                   ",="         -29.029***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
