="Wave W4: Heterogeneity in Impact on Firm Performance and Education Aspirations and Satisfaction Scores by Levels of 12-Mth and Ideal Business Aspirations at Baseline"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   "
="                                                  ",="Estimated Profits Last Month   ",="Estimated Profits Last Month (win 1 %)   ",="Estimated Profits Last Month (win 2 %)   ",="Sales Last Month   ",="Sales Last Month (win 1 %)   ",="Sales Last Month (win 2 %)   ",=" W4_labour_total   ",="W4_labour_nonfam   ",="   W4_labour_fam   ",="Business size (square meters)   ",="Satisfaction with Life (0-10 Scale)   ",="Satisfaction with Household Finances (0-10 Scale)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="        -272.744   ",="         -90.709   ",="         -83.128   ",="        -456.698   ",="        -290.487   ",="         -91.389   ",="           0.015   ",="          -0.031   ",="           0.032   ",="          -0.011   ",="           0.498*  ",="           0.441*  "
="                                                  ",="       (392.717)   ",="       (272.686)   ",="       (229.629)   ",="       (703.597)   ",="       (624.972)   ",="       (577.303)   ",="         (0.133)   ",="         (0.059)   ",="         (0.121)   ",="         (1.253)   ",="         (0.267)   ",="         (0.254)   "
="Assigned Handbook & Movie                         ",="         120.888   ",="         136.245   ",="         115.174   ",="         608.822   ",="         256.110   ",="         449.141   ",="           0.090   ",="           0.003   ",="           0.076   ",="           0.230   ",="           0.006   ",="           0.467*  "
="                                                  ",="       (413.992)   ",="       (346.438)   ",="       (285.694)   ",="       (887.126)   ",="       (732.988)   ",="       (668.657)   ",="         (0.140)   ",="         (0.070)   ",="         (0.123)   ",="         (1.356)   ",="         (0.253)   ",="         (0.255)   "
="Assigned Handbook & Counseling                    ",="         306.046   ",="         280.614   ",="         256.610   ",="         870.816   ",="         317.616   ",="         533.423   ",="           0.323** ",="           0.052   ",="           0.236*  ",="           0.445   ",="          -0.073   ",="          -0.121   "
="                                                  ",="       (418.442)   ",="       (326.529)   ",="       (278.221)   ",="      (1480.980)   ",="       (849.434)   ",="       (740.500)   ",="         (0.139)   ",="         (0.058)   ",="         (0.133)   ",="         (1.284)   ",="         (0.253)   ",="         (0.241)   "
="Assigned All Three                                ",="         352.079   ",="         192.569   ",="         170.955   ",="         -35.027   ",="         143.457   ",="         388.063   ",="           0.179   ",="           0.120   ",="           0.063   ",="           0.194   ",="           0.143   ",="           0.322   "
="                                                  ",="       (485.070)   ",="       (324.785)   ",="       (283.022)   ",="       (759.719)   ",="       (675.607)   ",="       (613.568)   ",="         (0.153)   ",="         (0.102)   ",="         (0.127)   ",="         (1.341)   ",="         (0.242)   ",="         (0.254)   "
="Below-Md Aspirations at Baseline X Assigned Handbook",="         284.298   ",="         163.473   ",="         142.037   ",="        -643.518   ",="        -946.948   ",="       -1024.984*  ",="          -0.082   ",="           0.051   ",="          -0.119   ",="          -0.182   ",="          -0.396   ",="          -0.461   "
="                                                  ",="       (370.917)   ",="       (256.257)   ",="       (228.389)   ",="       (780.182)   ",="       (622.547)   ",="       (584.228)   ",="         (0.141)   ",="         (0.066)   ",="         (0.129)   ",="         (1.371)   ",="         (0.307)   ",="         (0.305)   "
