var_name,Total,sdTotal,tA,tB,tC,tD,tE,pvAB,starsab,pvAC,starsac,pvAD,starsad,pvAE,starsae
"Respondent is Male",0.29,0.45,0.28,0.30,0.29,0.30,0.28,0.611,"",0.825,"",0.680,"",0.867,""
"Respondent Age",45.27,11.31,45.22,45.27,45.28,45.16,45.38,0.959,"",0.951,"",0.951,"",0.866,""
"Respondent Years of Education",9.39,3.78,9.10,9.52,9.36,9.42,9.55,0.185,"",0.446,"",0.327,"",0.174,""
"Respondent Digitspan Score",1.71,0.83,1.70,1.67,1.80,1.67,1.69,0.599,"",0.238,"",0.698,"",0.858,""
"Respondent Risk Preference Score",3.73,2.09,3.74,3.76,3.88,3.60,3.68,0.902,"",0.451,"",0.453,"",0.739,""
"Respondent Time Preference Score",5.18,2.26,5.19,5.07,5.21,5.25,5.20,0.542,"",0.924,"",0.742,"",0.940,""
"Age of Firm",13.60,11.79,12.76,13.77,14.03,13.98,13.47,0.313,"",0.222,"",0.236,"",0.478,""
"Total Number of Employees",2.00,1.22,2.03,2.05,1.90,1.99,2.04,0.837,"",0.218,"",0.708,"",0.919,""
"Number of Full Time Paid Employees",0.77,0.67,0.73,0.73,0.81,0.78,0.78,0.901,"",0.207,"",0.391,"",0.442,""
"Total Sales Last Month (USD PPP)",5906.18,15570.50,5077.37,5771.24,5535.05,5704.26,7419.87,0.453,"",0.535,"",0.437,"",0.200,""
"Total Profits Last Month (USD PPP)",496.66,6452.28,806.96,1155.26,363.47,-388.08,527.98,0.579,"",0.364,"",0.008,"***",0.536,""
"Firm has Tax ID",0.19,0.39,0.20,0.21,0.20,0.15,0.18,0.811,"",0.878,"",0.145,"",0.516,""
"Outstanding Loans",989.59,5158.10,825.44,1269.57,824.27,829.21,1200.11,0.460,"",0.997,"",0.990,"",0.315,""
"McKenzie & Woodruff (2016) Aggregate Score",0.30,0.14,0.31,0.29,0.30,0.29,0.30,0.180,"",0.402,"",0.121,"",0.395,""
"MW Marketing Subscore",0.16,0.19,0.16,0.15,0.17,0.15,0.17,0.529,"",0.345,"",0.709,"",0.517,""
"MW Stocking Up Subscore",0.46,0.30,0.47,0.47,0.47,0.47,0.44,0.935,"",0.884,"",0.984,"",0.291,""
"MW Record Keeping Subscore",0.46,0.19,0.48,0.46,0.45,0.45,0.46,0.229,"",0.094,"*",0.070,"*",0.254,""
"MW Financial Planning Subscore",0.21,0.17,0.23,0.20,0.20,0.20,0.21,0.131,"",0.128,"",0.067,"*",0.316,""
