="Attrition at endline 1 (W3) and endline 2 (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="Business Part of W3   ",="Business Part of W3   ",="Business Closed at W3   ",="Business Closed at W3   ",="Business Part of W4   ",="Business Part of W4   ",="Business Closed at W4   ",="Business Closed at W4   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="          -0.021   ",="          -0.022   ",="           0.009   ",="           0.011   ",="          -0.035   ",="          -0.036   ",="           0.000   ",="           0.000   "
="                                                  ",="         (0.024)   ",="         (0.024)   ",="         (0.020)   ",="         (0.020)   ",="         (0.036)   ",="         (0.035)   ",="             (.)   ",="             (.)   "
="Assigned Handbook & Movie                         ",="          -0.029   ",="          -0.028   ",="          -0.003   ",="          -0.003   ",="          -0.012   ",="          -0.008   ",="           0.000   ",="           0.000   "
="                                                  ",="         (0.024)   ",="         (0.025)   ",="         (0.019)   ",="         (0.019)   ",="         (0.035)   ",="         (0.035)   ",="             (.)   ",="             (.)   "
="Assigned Handbook & Counseling                    ",="          -0.021   ",="          -0.023   ",="           0.009   ",="           0.011   ",="          -0.024   ",="          -0.024   ",="           0.000   ",="           0.000   "
="                                                  ",="         (0.024)   ",="         (0.024)   ",="         (0.020)   ",="         (0.020)   ",="         (0.035)   ",="         (0.035)   ",="             (.)   ",="             (.)   "
="Assigned All Three                                ",="          -0.032   ",="          -0.036   ",="          -0.006   ",="          -0.003   ",="          -0.031   ",="          -0.035   ",="           0.000   ",="           0.000   "
="                                                  ",="         (0.025)   ",="         (0.025)   ",="         (0.019)   ",="         (0.019)   ",="         (0.035)   ",="         (0.035)   ",="             (.)   ",="             (.)   "
="R-squared                                         ",="           0.002   ",="           0.032   ",="           0.001   ",="           0.036   ",="           0.001   ",="           0.043   ",="               .   ",="               .   "
="N                                                 ",="            1306   ",="            1301   ",="            1306   ",="            1301   ",="            1306   ",="            1301   ",="            1306   ",="            1301   "
="Mean of Dependent Variable in Control Group       ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Assistance        ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie & Assistance",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie = Book & Assistance",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
