="asp Outcomes at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   "
="                                                  ",="Aspirations for ideal business size   ",="Aspirations for ideal number of employees   ",="Aspirations for ideal number of customers   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="          -2.378   ",="           0.110   ",="          -1.834   "
="                                                  ",="         (1.804)   ",="         (0.172)   ",="         (6.496)   "
="Assigned Handbook & Movie                         ",="           4.311*  ",="           0.526** ",="          19.314** "
="                                                  ",="         (2.379)   ",="         (0.214)   ",="         (9.016)   "
="Assigned Handbook & Counseling                    ",="           3.137   ",="           0.322*  ",="          18.628** "
="                                                  ",="         (2.622)   ",="         (0.196)   ",="         (9.166)   "
="Assigned All Three                                ",="           0.147   ",="           0.110   ",="          -4.472   "
="                                                  ",="         (1.828)   ",="         (0.174)   ",="         (5.948)   "
="B_AMasp2                                          ",="          -0.824   ",="          -0.175   ",="           5.886   "
="                                                  ",="         (4.028)   ",="         (0.314)   ",="        (15.999)   "
="BM_AMasp2                                         ",="         -10.268** ",="          -0.684** ",="         -27.317*  "
="                                                  ",="         (4.390)   ",="         (0.335)   ",="        (16.241)   "
="BC_AMasp2                                         ",="          -4.726   ",="          -0.567*  ",="         -23.243   "
="                                                  ",="         (4.404)   ",="         (0.303)   ",="        (15.896)   "
="BMC_AMasp2                                        ",="          -3.670   ",="          -0.453   ",="          14.672   "
="                                                  ",="         (3.832)   ",="         (0.295)   ",="        (16.365)   "
="R-squared                                         ",="           0.279   ",="           0.192   ",="           0.218   "
="N                                                 ",="            1181   ",="            1181   ",="            1181   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   "
="F-test (p-value): Book + Interaction              ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie + Interaction      ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Assistaince + Interaction",="                   ",="                   ",="                   "
="F-test (p-value): All Three + Interaction         ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
