="aspfail Outcomes at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   "
="                                                  ",="Imagination failure (yes/no)   ",="Planning failure (yes/no)   "
="                                                  ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="           0.097*  ",="           0.023   "
="                                                  ",="         (0.052)   ",="         (0.052)   "
="Assigned Handbook & Movie                         ",="          -0.050   ",="          -0.077*  "
="                                                  ",="         (0.042)   ",="         (0.046)   "
="Assigned Handbook & Counseling                    ",="           0.028   ",="          -0.016   "
="                                                  ",="         (0.049)   ",="         (0.053)   "
="Assigned All Three                                ",="           0.032   ",="          -0.067   "
="                                                  ",="         (0.050)   ",="         (0.049)   "
="B_AMasp2                                          ",="          -0.047   ",="           0.015   "
="                                                  ",="         (0.068)   ",="         (0.070)   "
="BM_AMasp2                                         ",="           0.057   ",="           0.132** "
="                                                  ",="         (0.057)   ",="         (0.066)   "
="BC_AMasp2                                         ",="          -0.013   ",="           0.015   "
="                                                  ",="         (0.064)   ",="         (0.068)   "
="BMC_AMasp2                                        ",="           0.024   ",="           0.172** "
="                                                  ",="         (0.065)   ",="         (0.069)   "
="R-squared                                         ",="           0.118   ",="           0.217   "
="N                                                 ",="            1024   ",="            1024   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   "
="F-test (p-value): Book + Interaction              ",="                   ",="                   "
="F-test (p-value): Book & Movie + Interaction      ",="                   ",="                   "
="F-test (p-value): Book & Assistaince + Interaction",="                   ",="                   "
="F-test (p-value): All Three + Interaction         ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
