="asp Outcomes at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   "
="                                                  ",="Aspirations for ideal business size   ",="Aspirations for ideal number of employees   ",="Aspirations for ideal number of customers   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="          -6.012** ",="          -0.322*  ",="         -26.293***"
="                                                  ",="         (2.585)   ",="         (0.179)   ",="         (8.971)   "
="Assigned Handbook & Movie                         ",="          -4.766** ",="          -0.224   ",="          -6.927   "
="                                                  ",="         (2.424)   ",="         (0.175)   ",="         (9.932)   "
="Assigned Handbook & Counseling                    ",="          -1.066   ",="          -0.164   ",="         -12.586   "
="                                                  ",="         (2.998)   ",="         (0.176)   ",="        (10.363)   "
="Assigned All Three                                ",="          -0.048   ",="          -0.101   ",="          -7.694   "
="                                                  ",="         (2.664)   ",="         (0.183)   ",="        (10.333)   "
="B_AMasp2                                          ",="           2.334   ",="           0.352   ",="          43.040***"
="                                                  ",="         (4.203)   ",="         (0.270)   ",="        (13.533)   "
="BM_AMasp2                                         ",="           4.464   ",="           0.078   ",="          23.945*  "
="                                                  ",="         (4.094)   ",="         (0.263)   ",="        (14.463)   "
="BC_AMasp2                                         ",="           0.988   ",="           0.140   ",="          20.969   "
="                                                  ",="         (4.468)   ",="         (0.272)   ",="        (13.912)   "
="BMC_AMasp2                                        ",="          -2.835   ",="           0.009   ",="          26.787*  "
="                                                  ",="         (4.362)   ",="         (0.276)   ",="        (15.627)   "
="R-squared                                         ",="           0.222   ",="           0.149   ",="           0.199   "
="N                                                 ",="            1023   ",="            1024   ",="            1022   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   "
="F-test (p-value): Book + Interaction              ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie + Interaction      ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Assistaince + Interaction",="                   ",="                   ",="                   "
="F-test (p-value): All Three + Interaction         ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
