="asp12 Outcomes at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   "
="                                                  ",="12mth aspirations for business size   ",="12mth aspirations for number of employees   ",="12mth aspirations for number of customers   ",="W4_asp12_sales_ln   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="          -3.607***",="           0.056   ",="         -13.254***",="          -0.082   "
="                                                  ",="         (1.381)   ",="         (0.145)   ",="         (4.032)   ",="         (0.095)   "
="Assigned Handbook & Movie                         ",="          -1.984   ",="          -0.087   ",="           0.906   ",="           0.099   "
="                                                  ",="         (1.365)   ",="         (0.131)   ",="         (5.008)   ",="         (0.100)   "
="Assigned Handbook & Counseling                    ",="          -1.868   ",="           0.209   ",="          -5.743   ",="           0.095   "
="                                                  ",="         (1.374)   ",="         (0.135)   ",="         (5.086)   ",="         (0.092)   "
="Assigned All Three                                ",="           0.345   ",="          -0.010   ",="          -0.719   ",="           0.176*  "
="                                                  ",="         (1.479)   ",="         (0.134)   ",="         (4.954)   ",="         (0.094)   "
="B_AMasp2                                          ",="           3.467   ",="          -0.008   ",="          18.620** ",="          -0.022   "
="                                                  ",="         (2.299)   ",="         (0.214)   ",="         (8.796)   ",="         (0.133)   "
="BM_AMasp2                                         ",="           1.072   ",="          -0.091   ",="           8.233   ",="          -0.085   "
="                                                  ",="         (2.258)   ",="         (0.193)   ",="         (9.373)   ",="         (0.145)   "
="BC_AMasp2                                         ",="           3.417   ",="           0.033   ",="          12.062   ",="          -0.163   "
="                                                  ",="         (2.364)   ",="         (0.211)   ",="         (9.245)   ",="         (0.137)   "
="BMC_AMasp2                                        ",="          -0.483   ",="           0.052   ",="           5.167   ",="          -0.225   "
="                                                  ",="         (2.414)   ",="         (0.217)   ",="         (9.037)   ",="         (0.140)   "
="R-squared                                         ",="           0.242   ",="           0.160   ",="           0.213   ",="           0.563   "
="N                                                 ",="            1023   ",="            1024   ",="            1022   ",="            1013   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book + Interaction              ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie + Interaction      ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Assistaince + Interaction",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): All Three + Interaction         ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
