="mainperf Outcomes at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   "
="                                                  ",=" Shop Size at W4   ",="Total Employees at W4   ",="Total Non-Family Employees at W4   ",="Total Daily Customers at W4   ",="Sales Last Month in USD PPP (win 5%) at W4   ",="Estimated Profits Last Month in USD PPP at W4 (win 5%)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="          -0.487   ",="          -0.006   ",="           0.002   ",="          -4.682** ",="       -1033.921** ",="         -86.645   "
="                                                  ",="         (0.933)   ",="         (0.126)   ",="         (0.045)   ",="         (2.178)   ",="       (448.831)   ",="       (150.822)   "
="Assigned Handbook & Movie                         ",="          -0.970   ",="           0.019   ",="           0.031   ",="           0.138   ",="        -516.801   ",="         -37.071   "
="                                                  ",="         (0.769)   ",="         (0.136)   ",="         (0.051)   ",="         (2.512)   ",="       (484.986)   ",="       (170.798)   "
="Assigned Handbook & Counseling                    ",="           0.624   ",="           0.274** ",="          -0.034   ",="          -1.320   ",="         810.178   ",="         336.454*  "
="                                                  ",="         (0.946)   ",="         (0.135)   ",="         (0.041)   ",="         (2.515)   ",="       (583.843)   ",="       (177.996)   "
="Assigned All Three                                ",="           1.658*  ",="          -0.025   ",="          -0.038   ",="           0.139   ",="        1112.215*  ",="         146.898   "
="                                                  ",="         (0.898)   ",="         (0.137)   ",="         (0.043)   ",="         (2.531)   ",="       (587.221)   ",="       (184.044)   "
="B_AMasp2                                          ",="           0.220   ",="          -0.031   ",="          -0.002   ",="           5.888   ",="        1237.327   ",="         199.804   "
="                                                  ",="         (1.401)   ",="         (0.194)   ",="         (0.074)   ",="         (3.647)   ",="       (776.810)   ",="       (244.807)   "
="BM_AMasp2                                         ",="           1.748   ",="          -0.002   ",="           0.007   ",="           0.898   ",="        1093.816   ",="         325.097   "
="                                                  ",="         (1.385)   ",="         (0.201)   ",="         (0.089)   ",="         (3.734)   ",="       (832.021)   ",="       (275.890)   "
="BC_AMasp2                                         ",="          -0.003   ",="          -0.048   ",="           0.112   ",="          -1.321   ",="        -164.558   ",="          17.565   "
="                                                  ",="         (1.480)   ",="         (0.195)   ",="         (0.076)   ",="         (3.710)   ",="       (924.174)   ",="       (285.238)   "
="BMC_AMasp2                                        ",="          -1.637   ",="           0.148   ",="           0.135   ",="           2.585   ",="        -326.121   ",="         191.370   "
="                                                  ",="         (1.512)   ",="         (0.213)   ",="         (0.092)   ",="         (4.253)   ",="       (867.014)   ",="       (280.457)   "
="R-squared                                         ",="           0.347   ",="           0.253   ",="           0.143   ",="           0.311   ",="           0.466   ",="           0.093   "
="N                                                 ",="            1023   ",="            1024   ",="            1024   ",="            1022   ",="            1018   ",="            1003   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book + Interaction              ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie + Interaction      ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Assistaince + Interaction",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): All Three + Interaction         ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
