="mainscores Outcomes at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   "
="                                                  ",="Aggregate Marketing Practices (Core) at W4   ",="Aggregate Record Keeping Practices (Core) at W4   ",="Aggregate Discussion Practices at W4   ",="Aggregate Stock up Practices at W4   ",="Aggregate Planning Practices at W4   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="          -0.038   ",="           0.016   ",="          -0.011   ",="          -0.035   ",="          -0.007   "
="                                                  ",="         (0.030)   ",="         (0.021)   ",="         (0.049)   ",="         (0.033)   ",="         (0.048)   "
="Assigned Handbook & Movie                         ",="          -0.006   ",="           0.053** ",="          -0.007   ",="           0.039   ",="           0.086*  "
="                                                  ",="         (0.032)   ",="         (0.021)   ",="         (0.043)   ",="         (0.034)   ",="         (0.047)   "
="Assigned Handbook & Counseling                    ",="           0.008   ",="           0.058***",="           0.029   ",="           0.026   ",="           0.106** "
="                                                  ",="         (0.032)   ",="         (0.022)   ",="         (0.042)   ",="         (0.034)   ",="         (0.045)   "
="Assigned All Three                                ",="           0.024   ",="           0.029   ",="           0.016   ",="           0.085***",="           0.081*  "
="                                                  ",="         (0.033)   ",="         (0.021)   ",="         (0.043)   ",="         (0.033)   ",="         (0.045)   "
="B_AMasp2                                          ",="           0.065   ",="          -0.010   ",="           0.017   ",="           0.033   ",="           0.081   "
="                                                  ",="         (0.044)   ",="         (0.032)   ",="         (0.065)   ",="         (0.046)   ",="         (0.068)   "
="BM_AMasp2                                         ",="           0.027   ",="          -0.083** ",="           0.034   ",="          -0.022   ",="          -0.100   "
="                                                  ",="         (0.046)   ",="         (0.033)   ",="         (0.059)   ",="         (0.048)   ",="         (0.066)   "
="BC_AMasp2                                         ",="           0.060   ",="          -0.076** ",="          -0.040   ",="          -0.013   ",="          -0.078   "
="                                                  ",="         (0.045)   ",="         (0.032)   ",="         (0.058)   ",="         (0.047)   ",="         (0.063)   "
="BMC_AMasp2                                        ",="           0.036   ",="          -0.027   ",="           0.012   ",="          -0.038   ",="          -0.023   "
="                                                  ",="         (0.049)   ",="         (0.032)   ",="         (0.057)   ",="         (0.048)   ",="         (0.067)   "
="R-squared                                         ",="           0.260   ",="           0.188   ",="           0.253   ",="           0.234   ",="           0.249   "
="N                                                 ",="            1024   ",="            1024   ",="            1024   ",="            1024   ",="            1023   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book + Interaction              ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie + Interaction      ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Assistaince + Interaction",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): All Three + Interaction         ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
