="asp Outcomes at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   "
="                                                  ",="Aspirations for ideal business size   ",="Aspirations for ideal number of employees   ",="Aspirations for ideal number of customers   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="          -2.949   ",="           0.003   ",="           0.706   "
="                                                  ",="         (1.997)   ",="         (0.155)   ",="         (7.890)   "
="Assigned Handbook & Movie                         ",="          -1.010   ",="           0.161   ",="           5.213   "
="                                                  ",="         (2.177)   ",="         (0.165)   ",="         (7.891)   "
="Assigned Handbook & Counseling                    ",="           0.583   ",="           0.015   ",="           6.326   "
="                                                  ",="         (2.229)   ",="         (0.151)   ",="         (7.858)   "
="Assigned All Three                                ",="          -2.000   ",="          -0.152   ",="           1.126   "
="                                                  ",="         (1.904)   ",="         (0.146)   ",="         (7.552)   "
="R-squared                                         ",="           0.272   ",="           0.183   ",="           0.210   "
="N                                                 ",="            1181   ",="            1181   ",="            1181   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie             ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Assistance        ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie & Assistance",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie = Book & Assistance",="                   ",="                   ",="                   "
="F-test (p-value): B & M + B & A > All Three       ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
