="asp12 Outcomes at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   "
="                                                  ",="12mth aspirations for business size   ",="12mth aspirations for number of employees   ",="12mth aspirations for number of customers   ",="W3_asp12_sales_ln   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="          -0.724   ",="          -0.047   ",="           2.030   ",="          -0.040   "
="                                                  ",="         (1.135)   ",="         (0.113)   ",="         (4.998)   ",="         (0.059)   "
="Assigned Handbook & Movie                         ",="           0.172   ",="           0.134   ",="           1.697   ",="           0.092   "
="                                                  ",="         (1.141)   ",="         (0.116)   ",="         (5.303)   ",="         (0.062)   "
="Assigned Handbook & Counseling                    ",="           1.719   ",="           0.060   ",="           7.126   ",="           0.022   "
="                                                  ",="         (1.174)   ",="         (0.108)   ",="         (5.689)   ",="         (0.062)   "
="Assigned All Three                                ",="          -0.062   ",="          -0.007   ",="           6.428   ",="           0.078   "
="                                                  ",="         (1.110)   ",="         (0.109)   ",="         (5.625)   ",="         (0.061)   "
="R-squared                                         ",="           0.236   ",="           0.163   ",="           0.205   ",="           0.609   "
="N                                                 ",="            1181   ",="            1181   ",="            1181   ",="            1179   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie             ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Assistance        ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie & Assistance",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie = Book & Assistance",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): B & M + B & A > All Three       ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
