="mainperf Outcomes at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   "
="                                                  ",=" Shop Size at W3   ",="Total Employees at W3   ",="Total Non-Family Employees at W3   ",="Total Daily Customers at W3   ",="Sales Last Month in USD PPP (win 5%) at W3   ",="Estimated Profits Last Month in USD PPP at W3 (win 5%)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="          -0.069   ",="          -0.010   ",="          -0.012   ",="           1.345   ",="        -354.072   ",="        -102.217   "
="                                                  ",="         (0.645)   ",="         (0.097)   ",="         (0.042)   ",="         (3.006)   ",="       (340.244)   ",="       (101.625)   "
="Assigned Handbook & Movie                         ",="           0.625   ",="           0.111   ",="          -0.039   ",="           1.824   ",="         639.469*  ",="          89.666   "
="                                                  ",="         (0.662)   ",="         (0.100)   ",="         (0.043)   ",="         (2.850)   ",="       (367.765)   ",="       (109.538)   "
="Assigned Handbook & Counseling                    ",="           0.915   ",="           0.019   ",="          -0.032   ",="           2.166   ",="         978.967** ",="         310.352***"
="                                                  ",="         (0.692)   ",="         (0.091)   ",="         (0.041)   ",="         (2.869)   ",="       (395.243)   ",="       (110.673)   "
="Assigned All Three                                ",="           0.151   ",="          -0.012   ",="          -0.040   ",="           2.528   ",="         731.960*  ",="         186.499*  "
="                                                  ",="         (0.613)   ",="         (0.093)   ",="         (0.040)   ",="         (3.016)   ",="       (387.725)   ",="       (110.637)   "
="R-squared                                         ",="           0.390   ",="           0.261   ",="           0.105   ",="           0.366   ",="           0.533   ",="           0.120   "
="N                                                 ",="            1181   ",="            1181   ",="            1181   ",="            1181   ",="            1179   ",="            1178   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Assistance        ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie & Assistance",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie = Book & Assistance",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): B & M + B & A > All Three       ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
