="mainscores Outcomes at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   "
="                                                  ",="Aggregate Marketing Practices (Core) at W3   ",="Aggregate Record Keeping Practices (Core) at W3   ",="Aggregate Discussion Practices at W3   ",="Aggregate Stock up Practices at W3   ",="Aggregate Planning Practices at W3   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="          -0.002   ",="           0.007   ",="          -0.018   ",="           0.008   ",="           0.039   "
="                                                  ",="         (0.021)   ",="         (0.016)   ",="         (0.031)   ",="         (0.022)   ",="         (0.032)   "
="Assigned Handbook & Movie                         ",="           0.042*  ",="           0.011   ",="           0.040   ",="           0.047** ",="           0.082***"
="                                                  ",="         (0.022)   ",="         (0.016)   ",="         (0.030)   ",="         (0.022)   ",="         (0.031)   "
="Assigned Handbook & Counseling                    ",="           0.024   ",="           0.007   ",="           0.076***",="           0.024   ",="           0.027   "
="                                                  ",="         (0.020)   ",="         (0.016)   ",="         (0.030)   ",="         (0.022)   ",="         (0.031)   "
="Assigned All Three                                ",="           0.042*  ",="           0.019   ",="           0.061** ",="           0.055** ",="           0.082***"
="                                                  ",="         (0.022)   ",="         (0.017)   ",="         (0.031)   ",="         (0.022)   ",="         (0.031)   "
="R-squared                                         ",="           0.258   ",="           0.170   ",="           0.187   ",="           0.207   ",="           0.196   "
="N                                                 ",="            1181   ",="            1181   ",="            1181   ",="            1181   ",="            1181   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie             ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Assistance        ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie & Assistance",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie = Book & Assistance",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): B & M + B & A > All Three       ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
