="aspfail Outcomes at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   "
="                                                  ",="Imagination failure (yes/no)   ",="Planning failure (yes/no)   "
="                                                  ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="           0.074** ",="           0.032   "
="                                                  ",="         (0.033)   ",="         (0.034)   "
="Assigned Handbook & Movie                         ",="          -0.021   ",="          -0.010   "
="                                                  ",="         (0.028)   ",="         (0.033)   "
="Assigned Handbook & Counseling                    ",="           0.021   ",="          -0.008   "
="                                                  ",="         (0.031)   ",="         (0.034)   "
="Assigned All Three                                ",="           0.045   ",="           0.015   "
="                                                  ",="         (0.032)   ",="         (0.034)   "
="R-squared                                         ",="           0.114   ",="           0.209   "
="N                                                 ",="            1024   ",="            1024   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie             ",="                   ",="                   "
="F-test (p-value): Book = Book & Assistance        ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie & Assistance",="                   ",="                   "
="F-test (p-value): Book & Movie = Book & Assistance",="                   ",="                   "
="F-test (p-value): B & M + B & A > All Three       ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
