="Heterogeneity in treatment effects on mainPract by BMprof at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   "
="                                                  ",="Aggregate Record Keeping Practices (Core) at W4   ",="Aggregate Marketing Practices (Core) at W4   ",="Aggregate Discussion Practices at W4   ",="Aggregate Stock up Practices at W4   ",="Aggregate Planning Practices at W4   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="           0.022   ",="           0.003   ",="           0.032   ",="          -0.010   ",="           0.094** "
="                                                  ",="         (0.020)   ",="         (0.026)   ",="         (0.038)   ",="         (0.025)   ",="         (0.039)   "
="Assigned Handbook & Movie                         ",="           0.021   ",="          -0.005   ",="           0.027   ",="           0.040   ",="           0.024   "
="                                                  ",="         (0.023)   ",="         (0.029)   ",="         (0.037)   ",="         (0.030)   ",="         (0.042)   "
="Assigned Handbook & Counseling                    ",="           0.006   ",="           0.058*  ",="          -0.020   ",="           0.002   ",="           0.062   "
="                                                  ",="         (0.022)   ",="         (0.030)   ",="         (0.034)   ",="         (0.030)   ",="         (0.039)   "
="Assigned All Three                                ",="           0.011   ",="           0.037   ",="           0.022   ",="           0.064** ",="           0.057   "
="                                                  ",="         (0.021)   ",="         (0.032)   ",="         (0.036)   ",="         (0.029)   ",="         (0.039)   "
="B_BMprof                                          ",="          -0.027   ",="          -0.021   ",="          -0.075   ",="          -0.019   ",="          -0.141***"
="                                                  ",="         (0.023)   ",="         (0.030)   ",="         (0.049)   ",="         (0.032)   ",="         (0.049)   "
="BM_BMprof                                         ",="          -0.016   ",="           0.021   ",="          -0.029   ",="          -0.026   ",="           0.022   "
="                                                  ",="         (0.026)   ",="         (0.033)   ",="         (0.042)   ",="         (0.033)   ",="         (0.048)   "
="BC_BMprof                                         ",="           0.022   ",="          -0.038   ",="           0.061   ",="           0.024   ",="           0.008   "
="                                                  ",="         (0.024)   ",="         (0.033)   ",="         (0.039)   ",="         (0.032)   ",="         (0.044)   "
="BMC_BMprof                                        ",="           0.004   ",="           0.005   ",="          -0.004   ",="           0.003   ",="           0.021   "
="                                                  ",="         (0.024)   ",="         (0.037)   ",="         (0.041)   ",="         (0.033)   ",="         (0.047)   "
="R-squared                                         ",="           0.173   ",="           0.255   ",="           0.246   ",="           0.226   ",="           0.248   "
="N                                                 ",="            1011   ",="            1011   ",="            1011   ",="            1011   ",="            1010   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book + Interaction              ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie + Interaction      ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Assistaince + Interaction",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): All Three + Interaction         ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
