="Heterogeneity in treatment effects on placebo by BMasp12 BMasp BMcse BMloc BMseff BMprob at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   ",="            (17)   ",="            (18)   ",="            (19)   ",="            (20)   ",="            (21)   ",="            (22)   ",="            (23)   ",="            (24)   ",="            (25)   ",="            (26)   ",="            (27)   ",="            (28)   ",="            (29)   ",="            (30)   ",="            (31)   ",="            (32)   ",="            (33)   ",="            (34)   ",="            (35)   ",="            (36)   "
="                                                  ",="Perceived agency (self-efficacy and LOC)   ",="12mth sales aspirations weighted by perceived agency   ",="12mth sales aspirations weighted by perceived agency   ",="Subj likelihood to reach aspired sales in 12 mth   ",="12mth sales aspirations weighted by perceived likelihood   ",="12mth shop aspirations weighted by perceived likelihood   ",="Perceived agency (self-efficacy and LOC)   ",="12mth sales aspirations weighted by perceived agency   ",="12mth sales aspirations weighted by perceived agency   ",="Subj likelihood to reach aspired sales in 12 mth   ",="12mth sales aspirations weighted by perceived likelihood   ",="12mth shop aspirations weighted by perceived likelihood   ",="Perceived agency (self-efficacy and LOC)   ",="12mth sales aspirations weighted by perceived agency   ",="12mth sales aspirations weighted by perceived agency   ",="Subj likelihood to reach aspired sales in 12 mth   ",="12mth sales aspirations weighted by perceived likelihood   ",="12mth shop aspirations weighted by perceived likelihood   ",="Perceived agency (self-efficacy and LOC)   ",="12mth sales aspirations weighted by perceived agency   ",="12mth sales aspirations weighted by perceived agency   ",="Subj likelihood to reach aspired sales in 12 mth   ",="12mth sales aspirations weighted by perceived likelihood   ",="12mth shop aspirations weighted by perceived likelihood   ",="Perceived agency (self-efficacy and LOC)   ",="12mth sales aspirations weighted by perceived agency   ",="12mth sales aspirations weighted by perceived agency   ",="Subj likelihood to reach aspired sales in 12 mth   ",="12mth sales aspirations weighted by perceived likelihood   ",="12mth shop aspirations weighted by perceived likelihood   ",="Perceived agency (self-efficacy and LOC)   ",="12mth sales aspirations weighted by perceived agency   ",="12mth sales aspirations weighted by perceived agency   ",="Subj likelihood to reach aspired sales in 12 mth   ",="12mth sales aspirations weighted by perceived likelihood   ",="12mth shop aspirations weighted by perceived likelihood   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="           0.098   ",="          51.675   ",="           0.176   ",="           0.006   ",="          -1.800   ",="           0.028   ",="           0.106   ",="         155.940   ",="           0.400   ",="           0.009   ",="          20.359   ",="           0.060   ",="           0.025   ",="         -44.624   ",="           0.029   ",="           0.014   ",="           2.950   ",="           0.005   ",="           0.025   ",="         -35.430   ",="           0.149   ",="           0.025   ",="           2.025   ",="           0.018   ",="           0.013   ",="         194.880   ",="           0.074   ",="           0.021   ",="          58.997   ",="           0.015   ",="           0.087   ",="         357.090   ",="           0.718   ",="           0.026   ",="           9.038   ",="           0.098   "
="                                                  ",="         (0.090)   ",="       (355.118)   ",="         (0.351)   ",="         (0.019)   ",="        (58.100)   ",="         (0.055)   ",="         (0.091)   ",="       (340.502)   ",="         (0.347)   ",="         (0.019)   ",="        (55.871)   ",="         (0.055)   ",="         (0.104)   ",="       (421.303)   ",="         (0.319)   ",="         (0.023)   ",="        (68.609)   ",="         (0.051)   ",="         (0.103)   ",="       (388.905)   ",="         (0.316)   ",="         (0.022)   ",="        (64.159)   ",="         (0.050)   ",="         (0.131)   ",="       (776.087)   ",="         (0.515)   ",="         (0.031)   ",="       (124.036)   ",="         (0.084)   ",="         (0.119)   ",="       (685.680)   ",="         (0.522)   ",="         (0.027)   ",="       (115.582)   ",="         (0.085)   "
="Assigned Handbook & Movie                         ",="           0.020   ",="         175.318   ",="           0.252   ",="           0.010   ",="          45.162   ",="           0.039   ",="           0.032   ",="         171.112   ",="           0.268   ",="           0.012   ",="          37.564   ",="           0.040   ",="           0.019   ",="        -186.497   ",="          -0.080   ",="           0.018   ",="          -0.963   ",="          -0.007   ",="           0.016   ",="        -124.577   ",="          -0.035   ",="           0.012   ",="           7.170   ",="          -0.000   ",="          -0.084   ",="          -3.688   ",="          -0.301   ",="          -0.005   ",="          -1.206   ",="          -0.049   ",="           0.113   ",="        -104.662   ",="           0.036   ",="          -0.015   ",="         -80.276   ",="           0.013   "
="                                                  ",="         (0.089)   ",="       (324.614)   ",="         (0.405)   ",="         (0.018)   ",="        (52.324)   ",="         (0.061)   ",="         (0.084)   ",="       (317.462)   ",="         (0.391)   ",="         (0.019)   ",="        (50.317)   ",="         (0.060)   ",="         (0.093)   ",="       (310.957)   ",="         (0.307)   ",="         (0.019)   ",="        (50.614)   ",="         (0.050)   ",="         (0.091)   ",="       (297.754)   ",="         (0.300)   ",="         (0.020)   ",="        (50.348)   ",="         (0.048)   ",="         (0.125)   ",="       (393.227)   ",="         (0.425)   ",="         (0.026)   ",="        (61.717)   ",="         (0.066)   ",="         (0.121)   ",="       (451.082)   ",="         (0.638)   ",="         (0.030)   ",="        (75.970)   ",="         (0.102)   "
="Assigned Handbook & Counseling                    ",="           0.068   ",="        -206.681   ",="           0.330   ",="           0.007   ",="         -32.440   ",="           0.062   ",="           0.049   ",="         -54.396   ",="           0.149   ",="           0.015   ",="           5.068   ",="           0.041   ",="           0.074   ",="        -432.460   ",="           0.058   ",="          -0.004   ",="         -73.766   ",="           0.015   ",="           0.046   ",="        -259.126   ",="           0.153   ",="          -0.004   ",="         -17.550   ",="           0.032   ",="           0.164   ",="        -158.110   ",="          -0.093   ",="           0.003   ",="         -46.114   ",="          -0.001   ",="           0.190   ",="        -515.523   ",="           0.113   ",="           0.012   ",="        -170.319** ",="          -0.004   "
="                                                  ",="         (0.091)   ",="       (292.709)   ",="         (0.354)   ",="         (0.020)   ",="        (53.330)   ",="         (0.056)   ",="         (0.092)   ",="       (304.031)   ",="         (0.316)   ",="         (0.020)   ",="        (56.357)   ",="         (0.052)   ",="         (0.101)   ",="       (288.377)   ",="         (0.361)   ",="         (0.026)   ",="        (47.384)   ",="         (0.057)   ",="         (0.097)   ",="       (325.711)   ",="         (0.357)   ",="         (0.024)   ",="        (63.544)   ",="         (0.058)   ",="         (0.129)   ",="       (449.802)   ",="         (0.471)   ",="         (0.037)   ",="        (72.429)   ",="         (0.074)   ",="         (0.121)   ",="       (444.160)   ",="         (0.623)   ",="         (0.030)   ",="        (79.129)   ",="         (0.096)   "
="Assigned All Three                                ",="           0.152*  ",="        1455.901   ",="           0.566   ",="           0.015   ",="         220.179   ",="           0.098*  ",="           0.143*  ",="        1289.433   ",="           0.150   ",="          -0.013   ",="         173.970   ",="           0.030   ",="           0.072   ",="        -376.019   ",="           0.213   ",="           0.018   ",="         -42.361   ",="           0.045   ",="           0.130   ",="        -364.261   ",="           0.233   ",="           0.021   ",="         -44.125   ",="           0.049   ",="          -0.043   ",="        -516.807   ",="          -0.173   ",="          -0.002   ",="         -70.683   ",="          -0.012   ",="           0.285***",="       -1043.594** ",="          -0.181   ",="           0.012   ",="        -214.140***",="          -0.011   "
