="Heterogeneity in treatment effects on perform by BMasp12 BMasp BMcse BMloc BMseff BMprob at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   ",="            (17)   ",="            (18)   ",="            (19)   ",="            (20)   ",="            (21)   ",="            (22)   ",="            (23)   ",="            (24)   ",="            (25)   ",="            (26)   ",="            (27)   ",="            (28)   ",="            (29)   ",="            (30)   ",="            (31)   ",="            (32)   ",="            (33)   ",="            (34)   ",="            (35)   ",="            (36)   "
="                                                  ",="Total Profits Last Month (USD PPP) at W4   ",="Total Profits Last Month (USD PPP) at W4 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W4 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W4   ",="Total Sales Last Month (USD PPP) at W4 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W4 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W4   ",="Total Profits Last Month (USD PPP) at W4 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W4 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W4   ",="Total Sales Last Month (USD PPP) at W4 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W4 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W4   ",="Total Profits Last Month (USD PPP) at W4 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W4 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W4   ",="Total Sales Last Month (USD PPP) at W4 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W4 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W4   ",="Total Profits Last Month (USD PPP) at W4 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W4 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W4   ",="Total Sales Last Month (USD PPP) at W4 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W4 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W4   ",="Total Profits Last Month (USD PPP) at W4 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W4 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W4   ",="Total Sales Last Month (USD PPP) at W4 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W4 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W4   ",="Total Profits Last Month (USD PPP) at W4 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W4 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W4   ",="Total Sales Last Month (USD PPP) at W4 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W4 (win 2 %)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="        -121.897   ",="          79.221   ",="          96.661   ",="         121.347   ",="         166.025   ",="         321.860   ",="        -169.123   ",="          10.298   ",="          20.316   ",="           8.005   ",="          10.975   ",="         154.684   ",="        -113.873   ",="         -70.969   ",="        -113.308   ",="       -1017.716   ",="       -1018.251*  ",="        -803.625   ",="        -162.482   ",="        -119.077   ",="        -147.376   ",="       -1092.535*  ",="       -1148.210** ",="        -966.543*  ",="          -6.784   ",="          56.276   ",="          36.197   ",="          74.708   ",="          88.453   ",="         309.565   ",="        -109.429   ",="          41.848   ",="          22.455   ",="        -403.866   ",="        -342.531   ",="        -230.778   "
="                                                  ",="       (384.369)   ",="       (269.652)   ",="       (228.327)   ",="       (638.592)   ",="       (581.923)   ",="       (539.528)   ",="       (375.441)   ",="       (265.312)   ",="       (223.832)   ",="       (645.485)   ",="       (593.046)   ",="       (552.454)   ",="       (288.223)   ",="       (262.233)   ",="       (226.667)   ",="       (622.036)   ",="       (571.230)   ",="       (525.260)   ",="       (263.963)   ",="       (240.925)   ",="       (209.328)   ",="       (590.616)   ",="       (538.595)   ",="       (495.811)   ",="       (367.492)   ",="       (339.797)   ",="       (313.196)   ",="       (783.060)   ",="       (745.573)   ",="       (684.999)   ",="       (310.373)   ",="       (277.752)   ",="       (252.022)   ",="       (733.939)   ",="       (682.107)   ",="       (646.342)   "
="Assigned Handbook & Movie                         ",="         170.620   ",="         215.374   ",="         251.162   ",="        1227.064   ",="         674.563   ",="         704.291   ",="         272.853   ",="         287.725   ",="         269.728   ",="        1240.362   ",="         657.416   ",="         776.647   ",="         217.740   ",="         370.552   ",="         306.139   ",="         239.167   ",="        -401.561   ",="        -268.739   ",="         152.367   ",="         340.787   ",="         306.086   ",="         400.187   ",="        -269.388   ",="        -137.068   ",="         173.147   ",="          82.238   ",="          29.363   ",="        -969.353   ",="        -889.428   ",="        -718.510   ",="         523.404   ",="         334.452   ",="         233.741   ",="        -827.868   ",="        -808.317   ",="        -482.607   "
="                                                  ",="       (411.666)   ",="       (347.066)   ",="       (287.638)   ",="       (921.176)   ",="       (758.720)   ",="       (679.653)   ",="       (403.480)   ",="       (340.704)   ",="       (283.300)   ",="       (932.863)   ",="       (748.734)   ",="       (675.232)   ",="       (361.982)   ",="       (315.422)   ",="       (279.025)   ",="       (932.485)   ",="       (711.602)   ",="       (634.681)   ",="       (388.443)   ",="       (330.748)   ",="       (286.476)   ",="       (936.788)   ",="       (710.829)   ",="       (632.779)   ",="       (442.214)   ",="       (361.166)   ",="       (315.456)   ",="       (789.478)   ",="       (721.839)   ",="       (692.325)   ",="       (433.811)   ",="       (346.733)   ",="       (303.898)   ",="       (824.005)   ",="       (783.574)   ",="       (718.204)   "
="Assigned Handbook & Counseling                    ",="         510.101   ",="         507.380   ",="         513.771*  ",="        1769.489   ",="        1015.518   ",="        1090.618   ",="         435.436   ",="         407.860   ",="         386.849   ",="        1426.849   ",="         675.132   ",="         825.563   ",="          77.962   ",="         251.674   ",="         338.468   ",="         -49.762   ",="          75.585   ",="         322.644   ",="         385.870   ",="         415.504   ",="         407.921   ",="         753.233   ",="         471.664   ",="         609.788   ",="         278.109   ",="         427.409   ",="         526.397   ",="         741.687   ",="         949.378   ",="        1088.386   ",="         314.103   ",="         416.599   ",="         456.446   ",="        -543.341   ",="        -621.782   ",="        -533.494   "
="                                                  ",="       (399.033)   ",="       (314.849)   ",="       (266.376)   ",="      (1432.959)   ",="       (821.434)   ",="       (708.603)   ",="       (407.130)   ",="       (319.395)   ",="       (273.600)   ",="      (1460.267)   ",="       (831.666)   ",="       (725.009)   ",="       (457.022)   ",="       (370.315)   ",="       (309.767)   ",="       (846.364)   ",="       (809.691)   ",="       (741.420)   ",="       (384.249)   ",="       (318.000)   ",="       (277.798)   ",="       (966.031)   ",="       (802.717)   ",="       (718.282)   ",="       (604.707)   ",="       (517.822)   ",="       (417.965)   ",="      (1101.459)   ",="      (1046.285)   ",="      (1017.810)   ",="       (532.252)   ",="       (443.210)   ",="       (361.414)   ",="       (707.416)   ",="       (678.285)   ",="       (647.806)   "
="Assigned All Three                                ",="         872.329*  ",="         665.304** ",="         609.346** ",="        1732.218** ",="        1686.490** ",="        1756.048** ",="         491.208   ",="         327.092   ",="         308.440   ",="         555.127   ",="         513.813   ",="         689.865   ",="         217.222   ",="         203.929   ",="         196.189   ",="         244.879   ",="         214.785   ",="         358.166   ",="          92.454   ",="         110.505   ",="         121.750   ",="        -337.880   ",="        -360.159   ",="        -207.211   ",="         134.827   ",="          68.901   ",="         105.032   ",="        1910.787   ",="        1836.955   ",="        1954.253*  ",="        -376.836   ",="        -367.828   ",="        -290.517   ",="         708.731   ",="         614.193   ",="         755.613   "
