="Heterogeneity in treatment effects on bisasp by BMasp12 BMasp BMcse BMloc BMseff BMprob at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   ",="            (17)   ",="            (18)   ",="            (19)   ",="            (20)   ",="            (21)   ",="            (22)   ",="            (23)   ",="            (24)   ",="            (25)   ",="            (26)   ",="            (27)   ",="            (28)   ",="            (29)   ",="            (30)   ",="            (31)   ",="            (32)   ",="            (33)   ",="            (34)   ",="            (35)   ",="            (36)   ",="            (37)   ",="            (38)   ",="            (39)   ",="            (40)   ",="            (41)   ",="            (42)   ",="            (43)   ",="            (44)   ",="            (45)   ",="            (46)   ",="            (47)   ",="            (48)   ",="            (49)   ",="            (50)   ",="            (51)   ",="            (52)   ",="            (53)   ",="            (54)   ",="            (55)   ",="            (56)   ",="            (57)   ",="            (58)   ",="            (59)   ",="            (60)   "
="                                                  ",="Aggregate Short-Term Aspirations at W4   ",="Short-Term Sales Aspirations at W4   ",="Short-Term Sales Aspirations at W4 (win 1 %)   ",="Short-Term Shop Size Aspirations  at W4   ",="Short-Term Employee Aspirations at W4   ",="Short-Term Customer Aspirations at W4   ",="Aggregate Long-Term Aspirations at W4   ",="Long-Term Shop Size Aspirations at W4   ",="Long-Term Employee Aspirations at W4   ",="Long-Term Customer Aspirations at W4   ",="Aggregate Short-Term Aspirations at W4   ",="Short-Term Sales Aspirations at W4   ",="Short-Term Sales Aspirations at W4 (win 1 %)   ",="Short-Term Shop Size Aspirations  at W4   ",="Short-Term Employee Aspirations at W4   ",="Short-Term Customer Aspirations at W4   ",="Aggregate Long-Term Aspirations at W4   ",="Long-Term Shop Size Aspirations at W4   ",="Long-Term Employee Aspirations at W4   ",="Long-Term Customer Aspirations at W4   ",="Aggregate Short-Term Aspirations at W4   ",="Short-Term Sales Aspirations at W4   ",="Short-Term Sales Aspirations at W4 (win 1 %)   ",="Short-Term Shop Size Aspirations  at W4   ",="Short-Term Employee Aspirations at W4   ",="Short-Term Customer Aspirations at W4   ",="Aggregate Long-Term Aspirations at W4   ",="Long-Term Shop Size Aspirations at W4   ",="Long-Term Employee Aspirations at W4   ",="Long-Term Customer Aspirations at W4   ",="Aggregate Short-Term Aspirations at W4   ",="Short-Term Sales Aspirations at W4   ",="Short-Term Sales Aspirations at W4 (win 1 %)   ",="Short-Term Shop Size Aspirations  at W4   ",="Short-Term Employee Aspirations at W4   ",="Short-Term Customer Aspirations at W4   ",="Aggregate Long-Term Aspirations at W4   ",="Long-Term Shop Size Aspirations at W4   ",="Long-Term Employee Aspirations at W4   ",="Long-Term Customer Aspirations at W4   ",="Aggregate Short-Term Aspirations at W4   ",="Short-Term Sales Aspirations at W4   ",="Short-Term Sales Aspirations at W4 (win 1 %)   ",="Short-Term Shop Size Aspirations  at W4   ",="Short-Term Employee Aspirations at W4   ",="Short-Term Customer Aspirations at W4   ",="Aggregate Long-Term Aspirations at W4   ",="Long-Term Shop Size Aspirations at W4   ",="Long-Term Employee Aspirations at W4   ",="Long-Term Customer Aspirations at W4   ",="Aggregate Short-Term Aspirations at W4   ",="Short-Term Sales Aspirations at W4   ",="Short-Term Sales Aspirations at W4 (win 1 %)   ",="Short-Term Shop Size Aspirations  at W4   ",="Short-Term Employee Aspirations at W4   ",="Short-Term Customer Aspirations at W4   ",="Aggregate Long-Term Aspirations at W4   ",="Long-Term Shop Size Aspirations at W4   ",="Long-Term Employee Aspirations at W4   ",="Long-Term Customer Aspirations at W4   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="           0.004   ",="         -55.032   ",="         -27.487   ",="          -1.770   ",="           0.162   ",="          10.125   ",="           0.113   ",="          -0.789   ",="           0.247   ",="          14.596   ",="           0.056   ",="          -9.396   ",="           3.266   ",="          -0.089   ",="           0.150   ",="          10.727   ",="           0.084   ",="          -1.715   ",="           0.156   ",="          14.009   ",="          -0.012   ",="         -61.786   ",="         -44.812   ",="          -0.282   ",="           0.145   ",="           1.319   ",="          -0.023   ",="          -4.423*  ",="           0.077   ",="           3.344   ",="          -0.010   ",="         -76.831   ",="         -69.174*  ",="          -0.249   ",="           0.132   ",="           4.024   ",="          -0.027   ",="          -4.119*  ",="           0.048   ",="           3.240   ",="           0.036   ",="         -24.948   ",="          56.761   ",="          -0.418   ",="           0.047   ",="          18.992   ",="           0.156   ",="          -4.763   ",="           0.436   ",="          29.432   ",="           0.107   ",="         -75.635   ",="         -26.925   ",="           1.661   ",="           0.419*  ",="          18.776   ",="           0.236   ",="          -2.331   ",="           0.732   ",="          26.486   "
="                                                  ",="         (0.075)   ",="        (52.955)   ",="        (42.753)   ",="         (1.753)   ",="         (0.158)   ",="         (6.879)   ",="         (0.098)   ",="         (3.103)   ",="         (0.242)   ",="         (9.400)   ",="         (0.074)   ",="        (55.560)   ",="        (46.466)   ",="         (1.785)   ",="         (0.147)   ",="         (7.514)   ",="         (0.099)   ",="         (3.143)   ",="         (0.236)   ",="        (10.019)   ",="         (0.074)   ",="        (53.653)   ",="        (41.471)   ",="         (1.965)   ",="         (0.162)   ",="         (8.423)   ",="         (0.108)   ",="         (2.565)   ",="         (0.301)   ",="        (10.625)   ",="         (0.070)   ",="        (49.317)   ",="        (39.049)   ",="         (1.787)   ",="         (0.162)   ",="         (8.155)   ",="         (0.100)   ",="         (2.483)   ",="         (0.271)   ",="        (10.068)   ",="         (0.131)   ",="        (98.155)   ",="        (59.191)   ",="         (3.609)   ",="         (0.229)   ",="        (16.008)   ",="         (0.201)   ",="         (4.700)   ",="         (0.594)   ",="        (19.263)   ",="         (0.118)   ",="        (84.034)   ",="        (53.446)   ",="         (2.932)   ",="         (0.245)   ",="        (13.846)   ",="         (0.170)   ",="         (3.890)   ",="         (0.516)   ",="        (17.114)   "
="Assigned Handbook & Movie                         ",="          -0.048   ",="          53.510   ",="          57.425   ",="          -1.734   ",="          -0.106   ",="          13.052** ",="           0.063   ",="           1.276   ",="          -0.132   ",="          13.687   ",="          -0.009   ",="          76.078   ",="          85.410   ",="          -1.514   ",="          -0.085   ",="          14.624*  ",="           0.087   ",="           2.880   ",="          -0.132   ",="          13.406   ",="          -0.051   ",="         -20.315   ",="         -26.357   ",="          -0.507   ",="          -0.169   ",="           5.081   ",="          -0.037   ",="          -1.911   ",="          -0.132   ",="           2.010   ",="          -0.033   ",="          37.911   ",="           9.337   ",="          -0.619   ",="          -0.202   ",="           6.721   ",="          -0.009   ",="          -1.524   ",="          -0.119   ",="           6.920   ",="          -0.097   ",="         -65.746   ",="         -22.203   ",="          -2.468   ",="          -0.114   ",="           2.116   ",="          -0.114   ",="          -4.168   ",="          -0.193   ",="          -5.527   ",="          -0.115   ",="        -112.567   ",="         -76.377   ",="          -3.464   ",="          -0.031   ",="           1.129   ",="          -0.072   ",="          -5.235   ",="          -0.015   ",="          -1.362   "
="                                                  ",="         (0.068)   ",="        (61.959)   ",="        (52.083)   ",="         (1.876)   ",="         (0.121)   ",="         (6.563)   ",="         (0.089)   ",="         (3.300)   ",="         (0.179)   ",="         (8.833)   ",="         (0.066)   ",="        (67.061)   ",="        (54.387)   ",="         (1.755)   ",="         (0.124)   ",="         (7.899)   ",="         (0.094)   ",="         (3.494)   ",="         (0.193)   ",="        (10.698)   ",="         (0.064)   ",="        (67.080)   ",="        (45.212)   ",="         (1.894)   ",="         (0.130)   ",="         (6.279)   ",="         (0.088)   ",="         (3.147)   ",="         (0.188)   ",="         (8.259)   ",="         (0.061)   ",="        (64.287)   ",="        (49.666)   ",="         (1.922)   ",="         (0.125)   ",="         (6.069)   ",="         (0.088)   ",="         (3.159)   ",="         (0.192)   ",="         (8.209)   ",="         (0.085)   ",="        (82.812)   ",="        (49.867)   ",="         (2.183)   ",="         (0.181)   ",="         (7.945)   ",="         (0.102)   ",="         (3.130)   ",="         (0.242)   ",="         (9.521)   ",="         (0.096)   ",="        (76.534)   ",="        (56.154)   ",="         (2.384)   ",="         (0.189)   ",="         (9.362)   ",="         (0.110)   ",="         (3.209)   ",="         (0.260)   ",="        (10.892)   "
="Assigned Handbook & Counseling                    ",="           0.087   ",="         -37.089   ",="         -48.516   ",="           1.974   ",="           0.444** ",="           9.840   ",="           0.089   ",="           2.982   ",="           0.023   ",="           4.443   ",="           0.131   ",="          24.677   ",="          -5.910   ",="           1.802   ",="           0.516** ",="           9.674   ",="           0.082   ",="           1.646   ",="           0.104   ",="           2.233   ",="           0.010   ",="          -9.620   ",="         -34.645   ",="           0.416   ",="           0.229   ",="           2.653   ",="           0.001   ",="           0.478   ",="          -0.064   ",="           0.039   ",="           0.013   ",="         -42.487   ",="         -68.153   ",="           0.398   ",="           0.322   ",="          -1.074   ",="          -0.042   ",="          -1.265   ",="          -0.068   ",="          -3.955   ",="           0.121   ",="          83.647   ",="          39.528   ",="           1.967   ",="           0.569*  ",="           5.298   ",="           0.067   ",="          -1.456   ",="           0.180   ",="           9.173   ",="           0.034   ",="          -8.527   ",="         -44.930   ",="           2.907   ",="           0.456   ",="          -4.771   ",="           0.123   ",="           6.193   ",="           0.312   ",="          -6.673   "
="                                                  ",="         (0.090)   ",="        (61.137)   ",="        (46.842)   ",="         (1.797)   ",="         (0.190)   ",="         (7.107)   ",="         (0.093)   ",="         (3.123)   ",="         (0.206)   ",="         (8.927)   ",="         (0.092)   ",="        (64.966)   ",="        (50.603)   ",="         (1.902)   ",="         (0.203)   ",="         (6.899)   ",="         (0.097)   ",="         (3.155)   ",="         (0.223)   ",="         (8.628)   ",="         (0.089)   ",="        (68.106)   ",="        (51.793)   ",="         (1.866)   ",="         (0.200)   ",="         (9.541)   ",="         (0.102)   ",="         (3.649)   ",="         (0.221)   ",="        (10.821)   ",="         (0.085)   ",="        (61.319)   ",="        (49.239)   ",="         (1.770)   ",="         (0.199)   ",="         (8.621)   ",="         (0.101)   ",="         (3.497)   ",="         (0.223)   ",="        (10.341)   ",="         (0.151)   ",="       (107.522)   ",="        (67.126)   ",="         (3.056)   ",="         (0.341)   ",="        (13.703)   ",="         (0.151)   ",="         (3.937)   ",="         (0.362)   ",="        (16.005)   ",="         (0.157)   ",="       (109.565)   ",="        (73.008)   ",="         (3.728)   ",="         (0.350)   ",="        (10.400)   ",="         (0.158)   ",="         (5.499)   ",="         (0.363)   ",="        (12.166)   "
="Assigned All Three                                ",="           0.057   ",="         159.464   ",="          29.977   ",="           1.151   ",="           0.154   ",="          12.284*  ",="           0.139   ",="           1.972   ",="           0.116   ",="          18.847*  ",="           0.047   ",="         138.930   ",="         -12.852   ",="          -0.208   ",="           0.197   ",="          10.638   ",="           0.072   ",="          -1.658   ",="           0.054   ",="          15.808   ",="          -0.006   ",="         -31.853   ",="         -23.895   ",="          -0.239   ",="           0.106   ",="           4.718   ",="           0.070   ",="          -1.910   ",="           0.017   ",="          19.624   ",="          -0.054   ",="         -36.900   ",="         -42.344   ",="          -2.016   ",="          -0.003   ",="           4.156   ",="           0.031   ",="          -3.494   ",="           0.018   ",="          15.743   ",="          -0.051   ",="         -14.358   ",="          20.241   ",="          -0.518   ",="          -0.085   ",="           5.881   ",="           0.227*  ",="           2.947   ",="          -0.034   ",="          43.019** ",="          -0.039   ",="         -90.683   ",="         -28.755   ",="           0.456   ",="          -0.121   ",="           4.293   ",="           0.137   ",="           4.311   ",="          -0.159   ",="          23.446   "
