="IV (2SLS) estimation of treatment effects on profits"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   "
="                                                  ",="Total Profits Last Month (USD PPP) at W3 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W3 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W3 (win 5 %)   ",="Total Profits Last Month (USD PPP) at W3 (IHS Transformation)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Received Book                                     ",="        -170.985   ",="        -148.754   ",="        -108.203   ",="           0.682   "
="                                                  ",="       (166.165)   ",="       (137.069)   ",="       (106.011)   ",="         (0.514)   "
="Received Book & Movie                             ",="         249.149   ",="         199.906   ",="         162.922   ",="           0.758   "
="                                                  ",="       (315.552)   ",="       (259.093)   ",="       (195.915)   ",="         (0.907)   "
="Received Book & Counsel (Both Session)            ",="         408.761** ",="         389.115** ",="         387.064***",="           1.299** "
="                                                  ",="       (206.936)   ",="       (175.758)   ",="       (136.553)   ",="         (0.600)   "
="Received All Three (Both Sessions)                ",="         663.329*  ",="         452.788   ",="         372.724*  ",="           1.963** "
="                                                  ",="       (367.104)   ",="       (290.206)   ",="       (220.157)   ",="         (0.975)   "
="R-squared                                         ",="           0.064   ",="           0.080   ",="           0.103   ",="           0.029   "
="N                                                 ",="            1178   ",="            1178   ",="            1178   ",="            1178   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie             ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Assistance        ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie & Assistance",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie = Book & Assistance",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): B & M + B & A > All Three       ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
