="Heterogeneity in treatment effects on mainPerf by BMprof BMsales at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   "
="                                                  ",="Total Profits Last Month (USD PPP) at W3 (win 5 %)   ",="Total Profits Last Month (USD PPP) at W3 (IHS Transformation)   ",="Total Sales Last Month (USD PPP) at W3 (win 5 %)   ",="Total Sales Last Month (USD PPP) at W3 (Log Transformation)   ",="Business size (square meters) (win 1 %)   ",="Total Number of Employees at W3 (win 1 %)   ",="Total Number of Hired Employees at W3 (win 1 %)   ",="Total Number of Daily Customers at W3 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W3 (win 5 %)   ",="Total Profits Last Month (USD PPP) at W3 (IHS Transformation)   ",="Total Sales Last Month (USD PPP) at W3 (win 5 %)   ",="Total Sales Last Month (USD PPP) at W3 (Log Transformation)   ",="Business size (square meters) (win 1 %)   ",="Total Number of Employees at W3 (win 1 %)   ",="Total Number of Hired Employees at W3 (win 1 %)   ",="Total Number of Daily Customers at W3 (win 1 %)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="        -193.777*  ",="           0.797   ",="        -934.403** ",="          -0.153*  ",="           0.487   ",="          -0.063   ",="          -0.036   ",="           1.975   ",="           4.748   ",="           0.413   ",="        -814.361*  ",="           0.107   ",="           1.246   ",="           0.044   ",="           0.046   ",="           5.522   "
="                                                  ",="       (117.383)   ",="         (0.625)   ",="       (393.694)   ",="         (0.086)   ",="         (0.788)   ",="         (0.115)   ",="         (0.046)   ",="         (3.651)   ",="       (141.265)   ",="         (0.644)   ",="       (494.193)   ",="         (0.091)   ",="         (0.916)   ",="         (0.121)   ",="         (0.060)   ",="         (4.163)   "
="Assigned Handbook & Movie                         ",="         203.511   ",="           0.964   ",="         199.024   ",="          -0.035   ",="           0.286   ",="           0.058   ",="          -0.028   ",="           4.165   ",="         392.592** ",="           1.319** ",="         232.311   ",="           0.185*  ",="           1.797*  ",="           0.033   ",="          -0.068   ",="           6.560   "
="                                                  ",="       (156.550)   ",="         (0.702)   ",="       (505.778)   ",="         (0.107)   ",="         (0.809)   ",="         (0.123)   ",="         (0.049)   ",="         (3.884)   ",="       (163.944)   ",="         (0.645)   ",="       (586.139)   ",="         (0.104)   ",="         (0.923)   ",="         (0.118)   ",="         (0.050)   ",="         (4.199)   "
="Assigned Handbook & Counseling                    ",="         397.282***",="           2.140***",="         118.350   ",="           0.010   ",="           0.938   ",="           0.017   ",="          -0.023   ",="           7.070*  ",="         542.286***",="           1.679***",="        -435.040   ",="           0.130   ",="           2.440** ",="           0.085   ",="           0.020   ",="           7.534*  "
="                                                  ",="       (148.999)   ",="         (0.611)   ",="       (439.686)   ",="         (0.095)   ",="         (0.878)   ",="         (0.116)   ",="         (0.051)   ",="         (4.059)   ",="       (161.141)   ",="         (0.615)   ",="       (506.814)   ",="         (0.094)   ",="         (0.977)   ",="         (0.112)   ",="         (0.055)   ",="         (4.158)   "
="Assigned All Three                                ",="         164.158   ",="           1.365** ",="          17.379   ",="          -0.060   ",="          -0.149   ",="          -0.004   ",="          -0.046   ",="           7.887*  ",="         330.199** ",="           1.115*  ",="        -105.856   ",="           0.049   ",="           0.959   ",="          -0.094   ",="          -0.025   ",="           6.028   "
="                                                  ",="       (150.715)   ",="         (0.650)   ",="       (500.951)   ",="         (0.095)   ",="         (0.807)   ",="         (0.122)   ",="         (0.057)   ",="         (4.579)   ",="       (154.036)   ",="         (0.605)   ",="       (545.322)   ",="         (0.101)   ",="         (0.788)   ",="         (0.118)   ",="         (0.057)   ",="         (4.548)   "
="B_BMprof                                          ",="         180.716   ",="          -0.391   ",="        1248.705***",="           0.156   ",="          -1.243   ",="           0.083   ",="           0.050   ",="          -1.127   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="       (152.515)   ",="         (0.815)   ",="       (451.733)   ",="         (0.101)   ",="         (0.980)   ",="         (0.143)   ",="         (0.058)   ",="         (4.829)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BM_BMprof                                         ",="        -235.204   ",="          -1.309   ",="         830.717   ",="           0.238*  ",="           0.615   ",="           0.085   ",="          -0.024   ",="          -4.159   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="       (175.265)   ",="         (0.901)   ",="       (553.037)   ",="         (0.124)   ",="         (1.010)   ",="         (0.153)   ",="         (0.061)   ",="         (4.380)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BC_BMprof                                         ",="        -216.976   ",="          -2.340***",="        1374.167** ",="           0.217*  ",="           0.062   ",="          -0.055   ",="          -0.039   ",="          -8.618*  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="       (176.081)   ",="         (0.822)   ",="       (571.315)   ",="         (0.116)   ",="         (1.074)   ",="         (0.128)   ",="         (0.050)   ",="         (4.593)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BMC_BMprof                                        ",="          17.399   ",="          -0.943   ",="        1303.136** ",="           0.331***",="           0.629   ",="          -0.047   ",="           0.009   ",="         -10.220** ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="       (171.448)   ",="         (0.834)   ",="       (578.407)   ",="         (0.124)   ",="         (0.886)   ",="         (0.133)   ",="         (0.054)   ",="         (5.032)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="B_BMsales                                         ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="        -229.616   ",="           0.353   ",="         833.874*  ",="          -0.367***",="          -2.600***",="          -0.145   ",="          -0.121** ",="          -8.006*  "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="       (139.686)   ",="         (0.680)   ",="       (492.663)   ",="         (0.112)   ",="         (0.935)   ",="         (0.144)   ",="         (0.059)   ",="         (4.632)   "
