="IV (2SLS) estimation of treatment effects on sales"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   "
="                                                  ",="Total Sales Last Month (USD PPP) at W4 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W4 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W4 (win 5 %)   ",="Total Sales Last Month (USD PPP) at W4 (Log Transformation)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Received Book                                     ",="        -769.932   ",="        -606.820   ",="        -436.509   ",="          -0.132   "
="                                                  ",="       (483.979)   ",="       (441.025)   ",="       (396.998)   ",="         (0.093)   "
="Received Book & Movie                             ",="        -252.972   ",="         -54.975   ",="          -9.282   ",="          -0.088   "
="                                                  ",="       (943.873)   ",="       (850.902)   ",="       (727.496)   ",="         (0.176)   "
="Received Book & Counsel (Both Session)            ",="         785.979   ",="         914.866   ",="         890.210   ",="           0.128   "
="                                                  ",="       (720.506)   ",="       (636.122)   ",="       (547.317)   ",="         (0.123)   "
="Received All Three (Both Sessions)                ",="        1361.824   ",="        1565.404*  ",="        1754.055** ",="           0.336*  "
="                                                  ",="      (1006.353)   ",="       (912.976)   ",="       (802.464)   ",="         (0.174)   "
="R-squared                                         ",="           0.424   ",="           0.434   ",="           0.452   ",="           0.403   "
="N                                                 ",="            1018   ",="            1018   ",="            1018   ",="            1018   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie             ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Assistance        ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie & Assistance",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie = Book & Assistance",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): B & M + B & A > All Three       ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
