="IV (2SLS) estimation of treatment effects on sales"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   "
="                                                  ",="Total Sales Last Month (USD PPP) at W4 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W4 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W4 (win 5 %)   ",="Total Sales Last Month (USD PPP) at W4 (Log Transformation)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Received Book                                     ",="        -771.994   ",="        -609.158   ",="        -438.763   ",="          -0.132   "
="                                                  ",="       (482.830)   ",="       (440.058)   ",="       (396.212)   ",="         (0.093)   "
="Received Book & Movie                             ",="        -254.556   ",="         -56.407   ",="          -9.886   ",="          -0.088   "
="                                                  ",="       (942.864)   ",="       (850.125)   ",="       (726.895)   ",="         (0.176)   "
="BCT2                                              ",="         869.532   ",="        1012.122   ",="         985.375   ",="           0.142   "
="                                                  ",="       (795.220)   ",="       (702.143)   ",="       (604.437)   ",="         (0.136)   "
="BMCT2                                             ",="        1441.362   ",="        1657.701*  ",="        1858.781** ",="           0.356*  "
="                                                  ",="      (1066.308)   ",="       (968.073)   ",="       (851.329)   ",="         (0.184)   "
="R-squared                                         ",="           0.424   ",="           0.435   ",="           0.452   ",="           0.404   "
="N                                                 ",="            1018   ",="            1018   ",="            1018   ",="            1018   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie             ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Assistance        ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie & Assistance",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie = Book & Assistance",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): B & M + B & A > All Three       ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
