="Heterogeneity in treatment effects on mainPract by BMprof BMsales at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   "
="                                                  ",="Aggregate Record Keeping Practices (Core) at W3   ",="Aggregate Marketing Practices (Core) at W3   ",="Aggregate Discussion Practices at W3   ",="Aggregate Stock up Practices at W3   ",="Aggregate Planning Practices at W3   ",="Aggregate Record Keeping Practices (Core) at W3   ",="Aggregate Marketing Practices (Core) at W3   ",="Aggregate Discussion Practices at W3   ",="Aggregate Stock up Practices at W3   ",="Aggregate Planning Practices at W3   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="           0.006   ",="           0.005   ",="          -0.005   ",="           0.025   ",="           0.057   ",="           0.021   ",="           0.018   ",="           0.009   ",="           0.017   ",="           0.056   "
="                                                  ",="         (0.018)   ",="         (0.025)   ",="         (0.035)   ",="         (0.026)   ",="         (0.041)   ",="         (0.019)   ",="         (0.027)   ",="         (0.036)   ",="         (0.027)   ",="         (0.041)   "
="Assigned Handbook & Movie                         ",="           0.028   ",="           0.052*  ",="           0.037   ",="           0.044   ",="           0.079** ",="           0.017   ",="           0.073** ",="           0.058   ",="           0.057** ",="           0.072*  "
="                                                  ",="         (0.022)   ",="         (0.028)   ",="         (0.035)   ",="         (0.028)   ",="         (0.039)   ",="         (0.021)   ",="         (0.028)   ",="         (0.037)   ",="         (0.027)   ",="         (0.040)   "
="Assigned Handbook & Counseling                    ",="           0.012   ",="           0.037   ",="           0.063*  ",="          -0.003   ",="           0.037   ",="          -0.005   ",="           0.027   ",="           0.109***",="           0.046   ",="          -0.009   "
="                                                  ",="         (0.021)   ",="         (0.027)   ",="         (0.037)   ",="         (0.029)   ",="         (0.042)   ",="         (0.022)   ",="         (0.025)   ",="         (0.037)   ",="         (0.028)   ",="         (0.041)   "
="Assigned All Three                                ",="           0.025   ",="           0.053*  ",="           0.068*  ",="           0.081***",="           0.090** ",="           0.024   ",="           0.073***",="           0.085** ",="           0.076***",="           0.096** "
="                                                  ",="         (0.021)   ",="         (0.029)   ",="         (0.038)   ",="         (0.027)   ",="         (0.038)   ",="         (0.020)   ",="         (0.027)   ",="         (0.036)   ",="         (0.027)   ",="         (0.039)   "
="B_BMprof                                          ",="           0.002   ",="          -0.016   ",="          -0.029   ",="          -0.036   ",="          -0.053   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.024)   ",="         (0.030)   ",="         (0.043)   ",="         (0.032)   ",="         (0.047)   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BM_BMprof                                         ",="          -0.030   ",="          -0.017   ",="           0.012   ",="           0.002   ",="           0.004   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.024)   ",="         (0.032)   ",="         (0.042)   ",="         (0.032)   ",="         (0.045)   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BC_BMprof                                         ",="          -0.010   ",="          -0.015   ",="           0.031   ",="           0.051   ",="          -0.027   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.023)   ",="         (0.028)   ",="         (0.040)   ",="         (0.032)   ",="         (0.045)   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BMC_BMprof                                        ",="          -0.009   ",="          -0.021   ",="          -0.013   ",="          -0.048   ",="          -0.028   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.024)   ",="         (0.032)   ",="         (0.045)   ",="         (0.031)   ",="         (0.045)   ",="                   ",="                   ",="                   ",="                   ",="                   "
="B_BMsales                                         ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.028   ",="          -0.039   ",="          -0.053   ",="          -0.015   ",="          -0.046   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.023)   ",="         (0.030)   ",="         (0.043)   ",="         (0.031)   ",="         (0.048)   "
="BM_BMsales                                        ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.007   ",="          -0.055*  ",="          -0.028   ",="          -0.023   ",="           0.017   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.024)   ",="         (0.033)   ",="         (0.043)   ",="         (0.033)   ",="         (0.046)   "
="BC_BMsales                                        ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.020   ",="           0.003   ",="          -0.051   ",="          -0.036   ",="           0.056   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.024)   ",="         (0.029)   ",="         (0.041)   ",="         (0.032)   ",="         (0.046)   "
="BMC_BMsales                                       ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.008   ",="          -0.062*  ",="          -0.046   ",="          -0.041   ",="          -0.041   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.024)   ",="         (0.032)   ",="         (0.045)   ",="         (0.032)   ",="         (0.045)   "
="R-squared                                         ",="           0.172   ",="           0.254   ",="           0.186   ",="           0.208   ",="           0.191   ",="           0.172   ",="           0.259   ",="           0.188   ",="           0.207   ",="           0.192   "
="N                                                 ",="            1167   ",="            1167   ",="            1167   ",="            1167   ",="            1167   ",="            1167   ",="            1167   ",="            1167   ",="            1167   ",="            1167   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book + Interaction              ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
