="Heterogeneity in treatment effects on profits by BMprof at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   "
="                                                  ",="Total Profits Last Month (USD PPP) at W3 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W3 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W3 (win 5 %)   ",="Total Profits Last Month (USD PPP) at W3 (IHS Transformation)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="        -269.557   ",="        -229.188   ",="        -193.777*  ",="           0.797   "
="                                                  ",="       (178.488)   ",="       (145.543)   ",="       (117.383)   ",="         (0.625)   "
="Assigned Handbook & Movie                         ",="         244.826   ",="         276.564   ",="         203.511   ",="           0.964   "
="                                                  ",="       (250.385)   ",="       (207.730)   ",="       (156.550)   ",="         (0.702)   "
="Assigned Handbook & Counseling                    ",="         455.035** ",="         421.467** ",="         397.282***",="           2.140***"
="                                                  ",="       (220.731)   ",="       (185.435)   ",="       (148.999)   ",="         (0.611)   "
="Assigned All Three                                ",="         442.823   ",="         269.459   ",="         164.158   ",="           1.365** "
="                                                  ",="       (286.109)   ",="       (208.820)   ",="       (150.715)   ",="         (0.650)   "
="B_BMprof                                          ",="         181.518   ",="         159.665   ",="         180.716   ",="          -0.391   "
="                                                  ",="       (243.229)   ",="       (195.658)   ",="       (152.515)   ",="         (0.815)   "
="BM_BMprof                                         ",="        -254.180   ",="        -350.022   ",="        -235.204   ",="          -1.309   "
="                                                  ",="       (292.012)   ",="       (228.907)   ",="       (175.265)   ",="         (0.901)   "
="BC_BMprof                                         ",="        -359.044   ",="        -292.457   ",="        -216.976   ",="          -2.340***"
="                                                  ",="       (265.745)   ",="       (217.766)   ",="       (176.081)   ",="         (0.822)   "
="BMC_BMprof                                        ",="        -269.756   ",="        -122.573   ",="          17.399   ",="          -0.943   "
="                                                  ",="       (307.675)   ",="       (223.782)   ",="       (171.448)   ",="         (0.834)   "
="R-squared                                         ",="           0.090   ",="           0.101   ",="           0.123   ",="           0.050   "
="N                                                 ",="            1164   ",="            1164   ",="            1164   ",="            1164   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book + Interaction              ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie + Interaction      ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Assistaince + Interaction",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): All Three + Interaction         ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
