="Heterogeneity in treatment effects on sales by BMprof at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   "
="                                                  ",="Total Sales Last Month (USD PPP) at W3 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W3 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W3 (win 5 %)   ",="Total Sales Last Month (USD PPP) at W3 (Log Transformation)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="       -1059.616** ",="       -1095.347** ",="        -934.403** ",="          -0.153*  "
="                                                  ",="       (531.146)   ",="       (490.864)   ",="       (393.694)   ",="         (0.086)   "
="Assigned Handbook & Movie                         ",="        -190.145   ",="         -81.405   ",="         199.024   ",="          -0.035   "
="                                                  ",="       (772.891)   ",="       (649.549)   ",="       (505.778)   ",="         (0.107)   "
="Assigned Handbook & Counseling                    ",="        -120.926   ",="        -111.249   ",="         118.350   ",="           0.010   "
="                                                  ",="       (627.421)   ",="       (529.406)   ",="       (439.686)   ",="         (0.095)   "
="Assigned All Three                                ",="        -262.914   ",="        -234.947   ",="          17.379   ",="          -0.060   "
="                                                  ",="       (723.489)   ",="       (622.640)   ",="       (500.951)   ",="         (0.095)   "
="B_BMprof                                          ",="        1620.573** ",="        1445.187** ",="        1248.705***",="           0.156   "
="                                                  ",="       (693.976)   ",="       (568.166)   ",="       (451.733)   ",="         (0.101)   "
="BM_BMprof                                         ",="        1424.031*  ",="        1190.732*  ",="         830.717   ",="           0.238*  "
="                                                  ",="       (860.984)   ",="       (707.604)   ",="       (553.037)   ",="         (0.124)   "
="BC_BMprof                                         ",="        1636.212** ",="        1644.519** ",="        1374.167** ",="           0.217*  "
="                                                  ",="       (783.767)   ",="       (672.671)   ",="       (571.315)   ",="         (0.116)   "
="BMC_BMprof                                        ",="        1462.529*  ",="        1493.722** ",="        1303.136** ",="           0.331***"
="                                                  ",="       (779.460)   ",="       (685.360)   ",="       (578.407)   ",="         (0.124)   "
="R-squared                                         ",="           0.513   ",="           0.523   ",="           0.545   ",="           0.484   "
="N                                                 ",="            1165   ",="            1165   ",="            1165   ",="            1165   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book + Interaction              ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie + Interaction      ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Assistaince + Interaction",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): All Three + Interaction         ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
