="Balance of attrition on baseline covariates at endline 1 (W3) and endline 2 (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   ",="            (17)   ",="            (18)   ",="            (19)   ",="            (20)   ",="            (21)   ",="            (22)   ",="            (23)   ",="            (24)   ",="            (25)   ",="            (26)   ",="            (27)   ",="            (28)   ",="            (29)   ",="            (30)   ",="            (31)   ",="            (32)   ",="            (33)   ",="            (34)   ",="            (35)   ",="            (36)   ",="            (37)   ",="            (38)   "
="                                                  ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Respondent Years of Education at W1               ",="          -0.003   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.003   ",="          -0.004   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.004   "
="                                                  ",="         (0.002)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.002)   ",="         (0.003)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.003)   "
="Digit Span (0-8 Scale)                            ",="                   ",="          -0.001   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.003   ",="                   ",="          -0.007   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.000   "
="                                                  ",="                   ",="         (0.006)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.007)   ",="                   ",="         (0.010)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.011)   "
="And in general regarding all possible situations? ",="                   ",="                   ",="           0.002   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.002   ",="                   ",="                   ",="           0.003   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.004   "
="                                                  ",="                   ",="                   ",="         (0.003)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.003)   ",="                   ",="                   ",="         (0.004)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.004)   "
="And in general regarding all possible situations? ",="                   ",="                   ",="                   ",="          -0.003   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.002   ",="                   ",="                   ",="                   ",="          -0.007   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.007   "
