="Balance of compliance on baseline covariates"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   ",="            (17)   ",="            (18)   ",="            (19)   ",="            (20)   ",="            (21)   ",="            (22)   ",="            (23)   ",="            (24)   ",="            (25)   ",="            (26)   ",="            (27)   ",="            (28)   ",="            (29)   ",="            (30)   ",="            (31)   ",="            (32)   ",="            (33)   ",="            (34)   ",="            (35)   ",="            (36)   ",="            (37)   ",="            (38)   ",="            (39)   ",="            (40)   ",="            (41)   ",="            (42)   ",="            (43)   ",="            (44)   ",="            (45)   ",="            (46)   ",="            (47)   ",="            (48)   ",="            (49)   ",="            (50)   ",="            (51)   ",="            (52)   "
="                                                  ",="   Received Book   ",="   Received Book   ",="   Received Book   ",="   Received Book   ",="   Received Book   ",="   Received Book   ",="   Received Book   ",="   Received Book   ",="   Received Book   ",="   Received Book   ",="   Received Book   ",="   Received Book   ",="   Received Book   ",="Received Book & Movie   ",="Received Book & Movie   ",="Received Book & Movie   ",="Received Book & Movie   ",="Received Book & Movie   ",="Received Book & Movie   ",="Received Book & Movie   ",="Received Book & Movie   ",="Received Book & Movie   ",="Received Book & Movie   ",="Received Book & Movie   ",="Received Book & Movie   ",="Received Book & Movie   ",="Received Book & Counsel (Both Session)   ",="Received Book & Counsel (Both Session)   ",="Received Book & Counsel (Both Session)   ",="Received Book & Counsel (Both Session)   ",="Received Book & Counsel (Both Session)   ",="Received Book & Counsel (Both Session)   ",="Received Book & Counsel (Both Session)   ",="Received Book & Counsel (Both Session)   ",="Received Book & Counsel (Both Session)   ",="Received Book & Counsel (Both Session)   ",="Received Book & Counsel (Both Session)   ",="Received Book & Counsel (Both Session)   ",="Received Book & Counsel (Both Session)   ",="Received All Three (Both Sessions)   ",="Received All Three (Both Sessions)   ",="Received All Three (Both Sessions)   ",="Received All Three (Both Sessions)   ",="Received All Three (Both Sessions)   ",="Received All Three (Both Sessions)   ",="Received All Three (Both Sessions)   ",="Received All Three (Both Sessions)   ",="Received All Three (Both Sessions)   ",="Received All Three (Both Sessions)   ",="Received All Three (Both Sessions)   ",="Received All Three (Both Sessions)   ",="Received All Three (Both Sessions)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="MW Marketing Subscore at W1                       ",="           0.120   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.172   ",="           0.053   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.044   ",="           0.108   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.172   ",="          -0.055   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.023   "
="                                                  ",="         (0.104)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.109)   ",="         (0.159)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.192)   ",="         (0.126)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.152)   ",="         (0.175)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.189)   "
="MW Stocking Up Subscore at W1                     ",="                   ",="          -0.045   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.090   ",="                   ",="           0.058   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.054   ",="                   ",="           0.016   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.049   ",="                   ",="          -0.064   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.029   "
="                                                  ",="                   ",="         (0.066)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.074)   ",="                   ",="         (0.110)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.131)   ",="                   ",="         (0.093)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.116)   ",="                   ",="         (0.104)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.105)   "
="MW Record Keeping Subscore at W1                  ",="                   ",="                   ",="           0.028   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.026   ",="                   ",="                   ",="           0.251   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.305   ",="                   ",="                   ",="          -0.167   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.187   ",="                   ",="                   ",="          -0.050   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.194   "
="                                                  ",="                   ",="                   ",="         (0.090)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.104)   ",="                   ",="                   ",="         (0.174)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.216)   ",="                   ",="                   ",="         (0.161)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.203)   ",="                   ",="                   ",="         (0.190)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.230)   "
="MW Financial Planning Subscore at W1              ",="                   ",="                   ",="                   ",="           0.014   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.056   ",="                   ",="                   ",="                   ",="          -0.028   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.348   ",="                   ",="                   ",="                   ",="          -0.183   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.176   ",="                   ",="                   ",="                   ",="          -0.219   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.308   "
