="Heterogeneity in treatment effects on perform by BMasp12 BMasp BMcse BMloc BMseff BMprob at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   ",="            (17)   ",="            (18)   ",="            (19)   ",="            (20)   ",="            (21)   ",="            (22)   ",="            (23)   ",="            (24)   ",="            (25)   ",="            (26)   ",="            (27)   ",="            (28)   ",="            (29)   ",="            (30)   ",="            (31)   ",="            (32)   ",="            (33)   ",="            (34)   ",="            (35)   ",="            (36)   "
="                                                  ",="Total Profits Last Month (USD PPP) at W4   ",="Total Profits Last Month (USD PPP) at W4 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W4 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W4   ",="Total Sales Last Month (USD PPP) at W4 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W4 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W4   ",="Total Profits Last Month (USD PPP) at W4 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W4 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W4   ",="Total Sales Last Month (USD PPP) at W4 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W4 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W4   ",="Total Profits Last Month (USD PPP) at W4 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W4 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W4   ",="Total Sales Last Month (USD PPP) at W4 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W4 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W4   ",="Total Profits Last Month (USD PPP) at W4 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W4 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W4   ",="Total Sales Last Month (USD PPP) at W4 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W4 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W4   ",="Total Profits Last Month (USD PPP) at W4 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W4 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W4   ",="Total Sales Last Month (USD PPP) at W4 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W4 (win 2 %)   ",="Total Profits Last Month (USD PPP) at W4   ",="Total Profits Last Month (USD PPP) at W4 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W4 (win 2 %)   ",="Total Sales Last Month (USD PPP) at W4   ",="Total Sales Last Month (USD PPP) at W4 (win 1 %)   ",="Total Sales Last Month (USD PPP) at W4 (win 2 %)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="        -121.897   ",="          79.221   ",="          96.661   ",="         121.347   ",="         166.025   ",="         321.860   ",="        -169.123   ",="          10.298   ",="          20.316   ",="           8.005   ",="          10.975   ",="         154.684   ",="         -98.015   ",="         -62.504   ",="        -103.859   ",="        -958.623   ",="       -1001.266*  ",="        -807.674   ",="        -146.804   ",="        -102.612   ",="        -129.343   ",="       -1005.237*  ",="       -1095.196** ",="        -927.687*  ",="          -3.253   ",="          43.653   ",="          20.895   ",="        -112.391   ",="        -151.188   ",="          40.963   ",="         -63.243   ",="          56.068   ",="          36.674   ",="        -611.143   ",="        -580.812   ",="        -477.972   "
="                                                  ",="       (384.369)   ",="       (269.652)   ",="       (228.327)   ",="       (638.592)   ",="       (581.923)   ",="       (539.528)   ",="       (375.441)   ",="       (265.312)   ",="       (223.832)   ",="       (645.485)   ",="       (593.046)   ",="       (552.454)   ",="       (276.499)   ",="       (251.233)   ",="       (217.448)   ",="       (594.642)   ",="       (545.840)   ",="       (502.169)   ",="       (256.927)   ",="       (233.867)   ",="       (203.162)   ",="       (572.890)   ",="       (520.748)   ",="       (479.219)   ",="       (344.843)   ",="       (317.808)   ",="       (292.406)   ",="       (741.207)   ",="       (710.037)   ",="       (658.058)   ",="       (289.310)   ",="       (258.929)   ",="       (234.832)   ",="       (690.723)   ",="       (645.950)   ",="       (613.152)   "
="Assigned Handbook & Movie                         ",="         170.620   ",="         215.374   ",="         251.162   ",="        1227.064   ",="         674.563   ",="         704.291   ",="         272.853   ",="         287.725   ",="         269.728   ",="        1240.362   ",="         657.416   ",="         776.647   ",="         195.497   ",="         354.640   ",="         292.187   ",="         205.835   ",="        -411.211   ",="        -272.349   ",="         128.054   ",="         320.342   ",="         286.428   ",="         401.919   ",="        -246.771   ",="        -111.677   ",="         129.845   ",="          67.922   ",="          12.402   ",="       -1172.353   ",="       -1056.823   ",="        -862.989   ",="         456.243   ",="         297.559   ",="         197.802   ",="        -907.097   ",="        -863.497   ",="        -541.396   "
="                                                  ",="       (411.666)   ",="       (347.066)   ",="       (287.638)   ",="       (921.176)   ",="       (758.720)   ",="       (679.653)   ",="       (403.480)   ",="       (340.704)   ",="       (283.300)   ",="       (932.863)   ",="       (748.734)   ",="       (675.232)   ",="       (350.924)   ",="       (304.969)   ",="       (270.158)   ",="       (917.839)   ",="       (697.820)   ",="       (619.308)   ",="       (379.052)   ",="       (322.881)   ",="       (280.141)   ",="       (925.641)   ",="       (700.192)   ",="       (621.266)   ",="       (417.836)   ",="       (340.341)   ",="       (297.664)   ",="       (772.610)   ",="       (703.844)   ",="       (667.379)   ",="       (411.240)   ",="       (328.253)   ",="       (288.082)   ",="       (795.343)   ",="       (750.169)   ",="       (684.749)   "
="Assigned Handbook & Counseling                    ",="         510.101   ",="         507.380   ",="         513.771*  ",="        1769.489   ",="        1015.518   ",="        1090.618   ",="         435.436   ",="         407.860   ",="         386.849   ",="        1426.849   ",="         675.132   ",="         825.563   ",="          42.504   ",="         203.799   ",="         285.347   ",="          35.091   ",="         150.848   ",="         382.477   ",="         354.805   ",="         382.436   ",="         379.017   ",="         792.692   ",="         503.170   ",="         630.151   ",="         179.645   ",="         303.830   ",="         384.720   ",="         564.249   ",="         808.647   ",="         949.273   ",="         205.952   ",="         291.429   ",="         334.057   ",="        -899.066   ",="        -855.884   ",="        -750.491   "
="                                                  ",="       (399.033)   ",="       (314.849)   ",="       (266.376)   ",="      (1432.959)   ",="       (821.434)   ",="       (708.603)   ",="       (407.130)   ",="       (319.395)   ",="       (273.600)   ",="      (1460.267)   ",="       (831.666)   ",="       (725.009)   ",="       (432.374)   ",="       (350.817)   ",="       (293.450)   ",="       (805.240)   ",="       (776.147)   ",="       (712.558)   ",="       (368.375)   ",="       (304.637)   ",="       (266.500)   ",="      (1017.496)   ",="       (804.448)   ",="       (714.225)   ",="       (536.079)   ",="       (461.255)   ",="       (375.919)   ",="      (1037.249)   ",="       (985.809)   ",="       (956.688)   ",="       (475.337)   ",="       (395.560)   ",="       (324.001)   ",="       (730.949)   ",="       (673.975)   ",="       (639.517)   "
="Assigned All Three                                ",="         872.329*  ",="         665.304** ",="         609.346** ",="        1732.218** ",="        1686.490** ",="        1756.048** ",="         491.208   ",="         327.092   ",="         308.440   ",="         555.127   ",="         513.813   ",="         689.865   ",="         375.896   ",="         376.594   ",="         343.090   ",="         638.429   ",="         630.915   ",="         767.410   ",="          50.775   ",="          74.840   ",="          87.989   ",="         -62.542   ",="         -76.792   ",="          62.847   ",="         429.386   ",="         396.964   ",="         376.787   ",="        2206.627** ",="        2216.646** ",="        2339.301** ",="        -325.902   ",="        -277.189   ",="        -228.283   ",="         519.803   ",="         555.636   ",="         703.855   "
