="Heterogeneity in treatment effects on bisasp by BMasp12 BMasp BMcse BMloc BMseff BMprob at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   ",="            (17)   ",="            (18)   ",="            (19)   ",="            (20)   ",="            (21)   ",="            (22)   ",="            (23)   ",="            (24)   ",="            (25)   ",="            (26)   ",="            (27)   ",="            (28)   ",="            (29)   ",="            (30)   ",="            (31)   ",="            (32)   ",="            (33)   ",="            (34)   ",="            (35)   ",="            (36)   ",="            (37)   ",="            (38)   ",="            (39)   ",="            (40)   ",="            (41)   ",="            (42)   ",="            (43)   ",="            (44)   ",="            (45)   ",="            (46)   ",="            (47)   ",="            (48)   ",="            (49)   ",="            (50)   ",="            (51)   ",="            (52)   ",="            (53)   ",="            (54)   ",="            (55)   ",="            (56)   ",="            (57)   ",="            (58)   ",="            (59)   ",="            (60)   "
="                                                  ",="Aggregate Short-Term Aspirations at W4   ",="Short-Term Sales Aspirations at W4   ",="Short-Term Sales Aspirations at W4 (win 1 %)   ",="Short-Term Shop Size Aspirations  at W4   ",="Short-Term Employee Aspirations at W4   ",="Short-Term Customer Aspirations at W4   ",="Aggregate Long-Term Aspirations at W4   ",="Long-Term Shop Size Aspirations at W4   ",="Long-Term Employee Aspirations at W4   ",="Long-Term Customer Aspirations at W4   ",="Aggregate Short-Term Aspirations at W4   ",="Short-Term Sales Aspirations at W4   ",="Short-Term Sales Aspirations at W4 (win 1 %)   ",="Short-Term Shop Size Aspirations  at W4   ",="Short-Term Employee Aspirations at W4   ",="Short-Term Customer Aspirations at W4   ",="Aggregate Long-Term Aspirations at W4   ",="Long-Term Shop Size Aspirations at W4   ",="Long-Term Employee Aspirations at W4   ",="Long-Term Customer Aspirations at W4   ",="Aggregate Short-Term Aspirations at W4   ",="Short-Term Sales Aspirations at W4   ",="Short-Term Sales Aspirations at W4 (win 1 %)   ",="Short-Term Shop Size Aspirations  at W4   ",="Short-Term Employee Aspirations at W4   ",="Short-Term Customer Aspirations at W4   ",="Aggregate Long-Term Aspirations at W4   ",="Long-Term Shop Size Aspirations at W4   ",="Long-Term Employee Aspirations at W4   ",="Long-Term Customer Aspirations at W4   ",="Aggregate Short-Term Aspirations at W4   ",="Short-Term Sales Aspirations at W4   ",="Short-Term Sales Aspirations at W4 (win 1 %)   ",="Short-Term Shop Size Aspirations  at W4   ",="Short-Term Employee Aspirations at W4   ",="Short-Term Customer Aspirations at W4   ",="Aggregate Long-Term Aspirations at W4   ",="Long-Term Shop Size Aspirations at W4   ",="Long-Term Employee Aspirations at W4   ",="Long-Term Customer Aspirations at W4   ",="Aggregate Short-Term Aspirations at W4   ",="Short-Term Sales Aspirations at W4   ",="Short-Term Sales Aspirations at W4 (win 1 %)   ",="Short-Term Shop Size Aspirations  at W4   ",="Short-Term Employee Aspirations at W4   ",="Short-Term Customer Aspirations at W4   ",="Aggregate Long-Term Aspirations at W4   ",="Long-Term Shop Size Aspirations at W4   ",="Long-Term Employee Aspirations at W4   ",="Long-Term Customer Aspirations at W4   ",="Aggregate Short-Term Aspirations at W4   ",="Short-Term Sales Aspirations at W4   ",="Short-Term Sales Aspirations at W4 (win 1 %)   ",="Short-Term Shop Size Aspirations  at W4   ",="Short-Term Employee Aspirations at W4   ",="Short-Term Customer Aspirations at W4   ",="Aggregate Long-Term Aspirations at W4   ",="Long-Term Shop Size Aspirations at W4   ",="Long-Term Employee Aspirations at W4   ",="Long-Term Customer Aspirations at W4   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="           0.004   ",="         -55.032   ",="         -27.487   ",="          -1.770   ",="           0.162   ",="          10.125   ",="           0.113   ",="          -0.789   ",="           0.247   ",="          14.596   ",="           0.056   ",="          -9.396   ",="           3.266   ",="          -0.089   ",="           0.150   ",="          10.727   ",="           0.084   ",="          -1.715   ",="           0.156   ",="          14.009   ",="          -0.013   ",="         -55.342   ",="         -49.068   ",="          -0.498   ",="           0.168   ",="          -0.502   ",="          -0.026   ",="          -4.442*  ",="           0.112   ",="           1.262   ",="          -0.004   ",="         -69.499   ",="         -69.032*  ",="          -0.269   ",="           0.149   ",="           3.386   ",="          -0.018   ",="          -3.794   ",="           0.088   ",="           2.421   ",="           0.030   ",="         -19.226   ",="          39.531   ",="          -0.953   ",="           0.104   ",="          15.057   ",="           0.134   ",="          -5.189   ",="           0.486   ",="          23.650   ",="           0.099   ",="         -66.884   ",="         -35.266   ",="           1.089   ",="           0.445** ",="          14.774   ",="           0.209   ",="          -3.011   ",="           0.774*  ",="          20.734   "
="                                                  ",="         (0.075)   ",="        (52.955)   ",="        (42.753)   ",="         (1.753)   ",="         (0.158)   ",="         (6.879)   ",="         (0.098)   ",="         (3.103)   ",="         (0.242)   ",="         (9.400)   ",="         (0.074)   ",="        (55.560)   ",="        (46.466)   ",="         (1.785)   ",="         (0.147)   ",="         (7.514)   ",="         (0.099)   ",="         (3.143)   ",="         (0.236)   ",="        (10.019)   ",="         (0.071)   ",="        (51.794)   ",="        (40.088)   ",="         (1.872)   ",="         (0.157)   ",="         (8.135)   ",="         (0.104)   ",="         (2.476)   ",="         (0.285)   ",="        (10.237)   ",="         (0.067)   ",="        (48.168)   ",="        (37.703)   ",="         (1.728)   ",="         (0.159)   ",="         (7.890)   ",="         (0.097)   ",="         (2.403)   ",="         (0.264)   ",="         (9.735)   ",="         (0.121)   ",="        (83.258)   ",="        (55.516)   ",="         (3.334)   ",="         (0.215)   ",="        (14.942)   ",="         (0.185)   ",="         (4.335)   ",="         (0.539)   ",="        (17.981)   ",="         (0.106)   ",="        (71.511)   ",="        (49.694)   ",="         (2.663)   ",="         (0.226)   ",="        (12.723)   ",="         (0.155)   ",="         (3.618)   ",="         (0.462)   ",="        (15.713)   "
="Assigned Handbook & Movie                         ",="          -0.048   ",="          53.510   ",="          57.425   ",="          -1.734   ",="          -0.106   ",="          13.052** ",="           0.063   ",="           1.276   ",="          -0.132   ",="          13.687   ",="          -0.009   ",="          76.078   ",="          85.410   ",="          -1.514   ",="          -0.085   ",="          14.624*  ",="           0.087   ",="           2.880   ",="          -0.132   ",="          13.406   ",="          -0.031   ",="         -18.681   ",="         -22.737   ",="          -0.288   ",="          -0.141   ",="           5.907   ",="          -0.030   ",="          -1.505   ",="          -0.114   ",="           1.853   ",="          -0.018   ",="          31.502   ",="           9.697   ",="          -0.432   ",="          -0.176   ",="           7.293   ",="          -0.001   ",="          -1.053   ",="          -0.108   ",="           6.885   ",="          -0.073   ",="         -70.596   ",="         -23.615   ",="          -2.158   ",="          -0.097   ",="           3.008   ",="          -0.113   ",="          -3.818   ",="          -0.183   ",="          -6.653   ",="          -0.087   ",="        -119.091   ",="         -75.028   ",="          -2.942   ",="          -0.007   ",="           1.991   ",="          -0.060   ",="          -4.579   ",="           0.030   ",="          -2.311   "
="                                                  ",="         (0.068)   ",="        (61.959)   ",="        (52.083)   ",="         (1.876)   ",="         (0.121)   ",="         (6.563)   ",="         (0.089)   ",="         (3.300)   ",="         (0.179)   ",="         (8.833)   ",="         (0.066)   ",="        (67.061)   ",="        (54.387)   ",="         (1.755)   ",="         (0.124)   ",="         (7.899)   ",="         (0.094)   ",="         (3.494)   ",="         (0.193)   ",="        (10.698)   ",="         (0.062)   ",="        (65.422)   ",="        (43.713)   ",="         (1.841)   ",="         (0.125)   ",="         (6.076)   ",="         (0.086)   ",="         (3.041)   ",="         (0.182)   ",="         (8.008)   ",="         (0.060)   ",="        (63.769)   ",="        (48.347)   ",="         (1.880)   ",="         (0.122)   ",="         (5.908)   ",="         (0.086)   ",="         (3.071)   ",="         (0.187)   ",="         (7.990)   ",="         (0.080)   ",="        (83.110)   ",="        (47.448)   ",="         (2.078)   ",="         (0.169)   ",="         (7.491)   ",="         (0.096)   ",="         (2.947)   ",="         (0.228)   ",="         (9.121)   ",="         (0.089)   ",="        (80.381)   ",="        (52.855)   ",="         (2.246)   ",="         (0.175)   ",="         (8.713)   ",="         (0.104)   ",="         (3.009)   ",="         (0.249)   ",="        (10.323)   "
="Assigned Handbook & Counseling                    ",="           0.087   ",="         -37.089   ",="         -48.516   ",="           1.974   ",="           0.444** ",="           9.840   ",="           0.089   ",="           2.982   ",="           0.023   ",="           4.443   ",="           0.131   ",="          24.677   ",="          -5.910   ",="           1.802   ",="           0.516** ",="           9.674   ",="           0.082   ",="           1.646   ",="           0.104   ",="           2.233   ",="           0.023   ",="          -2.760   ",="         -29.014   ",="           0.502   ",="           0.217   ",="           4.476   ",="           0.044   ",="           1.663   ",="          -0.065   ",="           6.251   ",="           0.030   ",="         -32.252   ",="         -61.498   ",="           0.837   ",="           0.309   ",="           0.295   ",="          -0.017   ",="          -0.059   ",="          -0.071   ",="          -1.829   ",="           0.123   ",="          79.930   ",="          39.569   ",="           1.852   ",="           0.461   ",="           8.683   ",="           0.117   ",="           0.266   ",="           0.095   ",="          19.658   ",="           0.046   ",="           1.840   ",="         -41.979   ",="           3.181   ",="           0.390   ",="          -3.268   ",="           0.126   ",="           6.851   ",="           0.236   ",="          -4.261   "
="                                                  ",="         (0.090)   ",="        (61.137)   ",="        (46.842)   ",="         (1.797)   ",="         (0.190)   ",="         (7.107)   ",="         (0.093)   ",="         (3.123)   ",="         (0.206)   ",="         (8.927)   ",="         (0.092)   ",="        (64.966)   ",="        (50.603)   ",="         (1.902)   ",="         (0.203)   ",="         (6.899)   ",="         (0.097)   ",="         (3.155)   ",="         (0.223)   ",="         (8.628)   ",="         (0.085)   ",="        (65.738)   ",="        (49.615)   ",="         (1.834)   ",="         (0.189)   ",="         (9.107)   ",="         (0.098)   ",="         (3.470)   ",="         (0.211)   ",="        (11.160)   ",="         (0.082)   ",="        (62.413)   ",="        (47.685)   ",="         (1.728)   ",="         (0.192)   ",="         (8.309)   ",="         (0.097)   ",="         (3.368)   ",="         (0.216)   ",="        (10.083)   ",="         (0.134)   ",="        (95.066)   ",="        (61.072)   ",="         (2.882)   ",="         (0.307)   ",="        (12.299)   ",="         (0.140)   ",="         (3.638)   ",="         (0.328)   ",="        (16.785)   ",="         (0.138)   ",="       (100.132)   ",="        (66.346)   ",="         (3.370)   ",="         (0.316)   ",="         (9.424)   ",="         (0.142)   ",="         (4.950)   ",="         (0.332)   ",="        (11.641)   "
="Assigned All Three                                ",="           0.057   ",="         159.464   ",="          29.977   ",="           1.151   ",="           0.154   ",="          12.284*  ",="           0.139   ",="           1.972   ",="           0.116   ",="          18.847*  ",="           0.047   ",="         138.930   ",="         -12.852   ",="          -0.208   ",="           0.197   ",="          10.638   ",="           0.072   ",="          -1.658   ",="           0.054   ",="          15.808   ",="           0.036   ",="          -7.793   ",="           0.220   ",="           0.398   ",="           0.118   ",="           8.072   ",="           0.031   ",="          -3.389   ",="          -0.035   ",="          17.721   ",="          -0.049   ",="         -34.981   ",="         -41.648   ",="          -1.990   ",="           0.015   ",="           3.260   ",="           0.019   ",="          -3.920   ",="           0.001   ",="          14.926   ",="           0.012   ",="          19.034   ",="          49.014   ",="           0.656   ",="          -0.083   ",="          11.119   ",="           0.113   ",="          -0.777   ",="          -0.172   ",="          34.996*  ",="           0.009   ",="         -68.397   ",="         -16.997   ",="           1.090   ",="          -0.126   ",="           9.152   ",="           0.052   ",="           1.851   ",="          -0.270   ",="          17.052   "
