="Heterogeneity in treatment effects on placebo by BMasp12 BMasp BMcse BMloc BMseff BMprob at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   ",="            (17)   ",="            (18)   ",="            (19)   ",="            (20)   ",="            (21)   ",="            (22)   ",="            (23)   ",="            (24)   ",="            (25)   ",="            (26)   ",="            (27)   ",="            (28)   ",="            (29)   ",="            (30)   ",="            (31)   ",="            (32)   ",="            (33)   ",="            (34)   ",="            (35)   ",="            (36)   "
="                                                  ",="Perceived agency (self-efficacy and LOC)   ",="12mth sales aspirations weighted by perceived agency   ",="12mth sales aspirations weighted by perceived agency   ",="Subj likelihood to reach aspired sales in 12 mth   ",="12mth sales aspirations weighted by perceived likelihood   ",="12mth shop aspirations weighted by perceived likelihood   ",="Perceived agency (self-efficacy and LOC)   ",="12mth sales aspirations weighted by perceived agency   ",="12mth sales aspirations weighted by perceived agency   ",="Subj likelihood to reach aspired sales in 12 mth   ",="12mth sales aspirations weighted by perceived likelihood   ",="12mth shop aspirations weighted by perceived likelihood   ",="Perceived agency (self-efficacy and LOC)   ",="12mth sales aspirations weighted by perceived agency   ",="12mth sales aspirations weighted by perceived agency   ",="Subj likelihood to reach aspired sales in 12 mth   ",="12mth sales aspirations weighted by perceived likelihood   ",="12mth shop aspirations weighted by perceived likelihood   ",="Perceived agency (self-efficacy and LOC)   ",="12mth sales aspirations weighted by perceived agency   ",="12mth sales aspirations weighted by perceived agency   ",="Subj likelihood to reach aspired sales in 12 mth   ",="12mth sales aspirations weighted by perceived likelihood   ",="12mth shop aspirations weighted by perceived likelihood   ",="Perceived agency (self-efficacy and LOC)   ",="12mth sales aspirations weighted by perceived agency   ",="12mth sales aspirations weighted by perceived agency   ",="Subj likelihood to reach aspired sales in 12 mth   ",="12mth sales aspirations weighted by perceived likelihood   ",="12mth shop aspirations weighted by perceived likelihood   ",="Perceived agency (self-efficacy and LOC)   ",="12mth sales aspirations weighted by perceived agency   ",="12mth sales aspirations weighted by perceived agency   ",="Subj likelihood to reach aspired sales in 12 mth   ",="12mth sales aspirations weighted by perceived likelihood   ",="12mth shop aspirations weighted by perceived likelihood   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="           0.185** ",="        -154.204   ",="           0.093   ",="           0.037*  ",="         -28.100   ",="           0.042   ",="           0.038   ",="         -19.666   ",="           0.401   ",="           0.038*  ",="           4.578   ",="           0.074   ",="           0.156   ",="        -487.086*  ",="          -0.064   ",="           0.038*  ",="         -48.072   ",="           0.003   ",="           0.194** ",="        -441.572*  ",="          -0.012   ",="           0.061***",="         -39.945   ",="           0.000   ",="           0.221   ",="        -400.800   ",="           0.231   ",="           0.033   ",="         -39.891   ",="           0.052   ",="           0.287** ",="        -532.364   ",="           0.594   ",="           0.095***",="         -98.938   ",="           0.111   "
="                                                  ",="         (0.082)   ",="       (290.512)   ",="         (0.390)   ",="         (0.019)   ",="        (47.672)   ",="         (0.066)   ",="         (0.097)   ",="       (300.081)   ",="         (0.384)   ",="         (0.020)   ",="        (48.193)   ",="         (0.066)   ",="         (0.103)   ",="       (278.456)   ",="         (0.398)   ",="         (0.022)   ",="        (42.441)   ",="         (0.065)   ",="         (0.091)   ",="       (255.658)   ",="         (0.373)   ",="         (0.020)   ",="        (39.705)   ",="         (0.061)   ",="         (0.147)   ",="       (484.657)   ",="         (0.695)   ",="         (0.033)   ",="        (70.226)   ",="         (0.115)   ",="         (0.112)   ",="       (392.850)   ",="         (0.601)   ",="         (0.024)   ",="        (71.936)   ",="         (0.104)   "
="Assigned Handbook & Movie                         ",="           0.030   ",="         335.918   ",="          -0.126   ",="           0.057***",="         100.202*  ",="          -0.009   ",="           0.030   ",="         439.709   ",="          -0.010   ",="           0.047** ",="          99.508*  ",="           0.014   ",="          -0.002   ",="        -147.144   ",="          -0.092   ",="           0.022   ",="          16.322   ",="          -0.004   ",="          -0.017   ",="          46.354   ",="          -0.026   ",="           0.033   ",="          43.874   ",="           0.007   ",="          -0.112   ",="        -274.416   ",="          -0.218   ",="          -0.002   ",="         -24.125   ",="          -0.028   ",="           0.117   ",="        -457.633   ",="          -0.440   ",="           0.012   ",="         -98.021   ",="          -0.055   "
="                                                  ",="         (0.093)   ",="       (328.479)   ",="         (0.356)   ",="         (0.019)   ",="        (56.517)   ",="         (0.059)   ",="         (0.092)   ",="       (332.205)   ",="         (0.348)   ",="         (0.020)   ",="        (55.272)   ",="         (0.058)   ",="         (0.100)   ",="       (289.689)   ",="         (0.330)   ",="         (0.022)   ",="        (50.263)   ",="         (0.054)   ",="         (0.098)   ",="       (310.204)   ",="         (0.316)   ",="         (0.022)   ",="        (52.163)   ",="         (0.052)   ",="         (0.139)   ",="       (309.808)   ",="         (0.428)   ",="         (0.029)   ",="        (50.688)   ",="         (0.071)   ",="         (0.116)   ",="       (342.960)   ",="         (0.481)   ",="         (0.031)   ",="        (61.050)   ",="         (0.081)   "
="Assigned Handbook & Counseling                    ",="           0.145*  ",="        -100.259   ",="           0.371   ",="           0.051** ",="          20.238   ",="           0.071   ",="           0.163*  ",="         240.207   ",="           0.538   ",="           0.056***",="          77.833   ",="           0.099   ",="           0.220** ",="        -182.815   ",="           0.167   ",="           0.069***",="          -0.343   ",="           0.046   ",="           0.179** ",="        -234.927   ",="           0.196   ",="           0.041*  ",="          -7.663   ",="           0.050   ",="           0.207*  ",="         200.196   ",="           0.881   ",="           0.089***",="          75.472   ",="           0.154   ",="           0.281** ",="        -214.277   ",="           0.436   ",="           0.055*  ",="         -71.042   ",="           0.068   "
="                                                  ",="         (0.087)   ",="       (316.400)   ",="         (0.409)   ",="         (0.021)   ",="        (55.046)   ",="         (0.069)   ",="         (0.083)   ",="       (340.413)   ",="         (0.409)   ",="         (0.021)   ",="        (62.354)   ",="         (0.069)   ",="         (0.093)   ",="       (357.306)   ",="         (0.472)   ",="         (0.021)   ",="        (62.010)   ",="         (0.078)   ",="         (0.087)   ",="       (326.653)   ",="         (0.456)   ",="         (0.023)   ",="        (59.058)   ",="         (0.076)   ",="         (0.114)   ",="       (593.353)   ",="         (0.761)   ",="         (0.023)   ",="        (98.209)   ",="         (0.121)   ",="         (0.123)   ",="       (555.068)   ",="         (0.771)   ",="         (0.030)   ",="       (103.531)   ",="         (0.128)   "
="Assigned All Three                                ",="           0.022   ",="        1076.297   ",="           0.490   ",="           0.005   ",="         138.486   ",="           0.063   ",="           0.024   ",="        1009.467   ",="           0.438   ",="           0.002   ",="         125.703   ",="           0.041   ",="           0.057   ",="        -395.448   ",="           0.246   ",="           0.008   ",="         -69.855   ",="           0.024   ",="           0.022   ",="        -495.646   ",="          -0.203   ",="           0.005   ",="         -85.606   ",="          -0.019   ",="           0.152   ",="        -269.030   ",="           0.142   ",="          -0.005   ",="         -68.723   ",="          -0.019   ",="           0.036   ",="        -555.385   ",="           0.029   ",="           0.008   ",="        -152.229   ",="          -0.017   "
