="IV (2SLS) estimation of treatment effects on mainPerf"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="Total Profits Last Month (USD PPP) at W4 (win 5 %)   ",="Total Profits Last Month (USD PPP) at W4 (IHS Transformation)   ",="Total Sales Last Month (USD PPP) at W4 (win 5 %)   ",="Total Sales Last Month (USD PPP) at W4 (Log Transformation)   ",="Business size (square meters) (win 1 %)   ",="Total Number of Employees at W4 (win 1 %)   ",="Total Number of Hired Employees at W4 (win 1 %)   ",="Total Number of Daily Customers at W4 (win 1 %)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Received Handbook                                 ",="          15.875   ",="           0.156   ",="        -436.509   ",="          -0.132   ",="          -0.395   ",="          -0.027   ",="           0.001   ",="          -1.799   "
="                                                  ",="       (123.748)   ",="         (0.617)   ",="       (396.998)   ",="         (0.093)   ",="         (0.713)   ",="         (0.097)   ",="         (0.037)   ",="         (1.811)   "
="Received Handbook & Movie                         ",="         224.092   ",="          -0.688   ",="          -9.282   ",="          -0.088   ",="          -0.220   ",="           0.028   ",="           0.063   ",="           1.017   "
="                                                  ",="       (243.941)   ",="         (1.112)   ",="       (727.496)   ",="         (0.176)   ",="         (1.193)   ",="         (0.173)   ",="         (0.075)   ",="         (3.236)   "
="Received Handbook & Counseling                    ",="         424.895** ",="           0.843   ",="         890.210   ",="           0.128   ",="           0.756   ",="           0.301***",="           0.028   ",="          -2.400   "
="                                                  ",="       (170.610)   ",="         (0.736)   ",="       (547.317)   ",="         (0.123)   ",="         (0.864)   ",="         (0.115)   ",="         (0.044)   ",="         (2.127)   "
="Received All Three                                ",="         456.266*  ",="           0.774   ",="        1754.055** ",="           0.336*  ",="           1.729   ",="           0.062   ",="           0.045   ",="           2.408   "
="                                                  ",="       (254.736)   ",="         (1.166)   ",="       (802.464)   ",="         (0.174)   ",="         (1.345)   ",="         (0.186)   ",="         (0.075)   ",="         (3.627)   "
="R-squared                                         ",="           0.082   ",="           0.074   ",="           0.452   ",="           0.403   ",="           0.340   ",="           0.245   ",="           0.134   ",="           0.302   "
="N                                                 ",="            1003   ",="            1003   ",="            1018   ",="            1018   ",="            1023   ",="            1024   ",="            1024   ",="            1022   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Assistance        ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book = Book & Movie & Assistance",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie = Book & Assistance",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): B & M + B & A > All Three       ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
