="Heterogeneity in treatment effects on mainPract by BMprof BMsales at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   "
="                                                  ",="Aggregate Record Keeping Practices (Core) at W3   ",="Aggregate Marketing Practices (Core) at W3   ",="Aggregate Discussion Practices at W3   ",="Aggregate Stock up Practices at W3   ",="Aggregate Planning Practices at W3   ",="Aggregate Record Keeping Practices (Core) at W3   ",="Aggregate Marketing Practices (Core) at W3   ",="Aggregate Discussion Practices at W3   ",="Aggregate Stock up Practices at W3   ",="Aggregate Planning Practices at W3   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="           0.006   ",="           0.005   ",="          -0.005   ",="           0.024   ",="           0.062   ",="           0.020   ",="           0.017   ",="           0.008   ",="           0.016   ",="           0.061   "
="                                                  ",="         (0.018)   ",="         (0.025)   ",="         (0.035)   ",="         (0.026)   ",="         (0.040)   ",="         (0.018)   ",="         (0.026)   ",="         (0.036)   ",="         (0.027)   ",="         (0.040)   "
="Assigned Handbook & Movie                         ",="           0.025   ",="           0.049*  ",="           0.032   ",="           0.049*  ",="           0.075*  ",="           0.013   ",="           0.068** ",="           0.052   ",="           0.062** ",="           0.068*  "
="                                                  ",="         (0.021)   ",="         (0.027)   ",="         (0.035)   ",="         (0.028)   ",="         (0.038)   ",="         (0.021)   ",="         (0.028)   ",="         (0.037)   ",="         (0.027)   ",="         (0.040)   "
="Assigned Handbook & Counseling                    ",="           0.012   ",="           0.026   ",="           0.054   ",="          -0.004   ",="           0.038   ",="          -0.003   ",="           0.016   ",="           0.097***",="           0.041   ",="          -0.005   "
="                                                  ",="         (0.021)   ",="         (0.026)   ",="         (0.036)   ",="         (0.028)   ",="         (0.041)   ",="         (0.022)   ",="         (0.024)   ",="         (0.036)   ",="         (0.027)   ",="         (0.040)   "
="Assigned All Three                                ",="           0.024   ",="           0.053*  ",="           0.068*  ",="           0.080***",="           0.097** ",="           0.023   ",="           0.072***",="           0.084** ",="           0.075***",="           0.101***"
="                                                  ",="         (0.021)   ",="         (0.029)   ",="         (0.038)   ",="         (0.027)   ",="         (0.038)   ",="         (0.020)   ",="         (0.027)   ",="         (0.036)   ",="         (0.027)   ",="         (0.039)   "
="B_BMprof                                          ",="           0.002   ",="          -0.015   ",="          -0.029   ",="          -0.036   ",="          -0.052   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.024)   ",="         (0.030)   ",="         (0.043)   ",="         (0.032)   ",="         (0.047)   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BM_BMprof                                         ",="          -0.027   ",="          -0.013   ",="           0.017   ",="          -0.004   ",="           0.015   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.024)   ",="         (0.032)   ",="         (0.041)   ",="         (0.032)   ",="         (0.045)   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BC_BMprof                                         ",="          -0.010   ",="          -0.004   ",="           0.041   ",="           0.051*  ",="          -0.021   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.023)   ",="         (0.028)   ",="         (0.040)   ",="         (0.031)   ",="         (0.044)   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BMC_BMprof                                        ",="          -0.009   ",="          -0.021   ",="          -0.013   ",="          -0.049   ",="          -0.029   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.024)   ",="         (0.032)   ",="         (0.045)   ",="         (0.031)   ",="         (0.045)   ",="                   ",="                   ",="                   ",="                   ",="                   "
="B_BMsales                                         ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.027   ",="          -0.037   ",="          -0.050   ",="          -0.015   ",="          -0.043   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.023)   ",="         (0.030)   ",="         (0.043)   ",="         (0.031)   ",="         (0.048)   "
="BM_BMsales                                        ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.004   ",="          -0.050   ",="          -0.021   ",="          -0.028   ",="           0.027   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.024)   ",="         (0.033)   ",="         (0.042)   ",="         (0.033)   ",="         (0.045)   "
="BC_BMsales                                        ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.019   ",="           0.015   ",="          -0.037   ",="          -0.032   ",="           0.060   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.023)   ",="         (0.028)   ",="         (0.041)   ",="         (0.032)   ",="         (0.045)   "
="BMC_BMsales                                       ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.008   ",="          -0.060*  ",="          -0.045   ",="          -0.040   ",="          -0.039   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.024)   ",="         (0.032)   ",="         (0.045)   ",="         (0.031)   ",="         (0.045)   "
="R-squared                                         ",="           0.171   ",="           0.258   ",="           0.188   ",="           0.211   ",="           0.197   ",="           0.171   ",="           0.263   ",="           0.189   ",="           0.209   ",="           0.199   "
="N                                                 ",="            1181   ",="            1181   ",="            1181   ",="            1181   ",="            1181   ",="            1181   ",="            1181   ",="            1181   ",="            1181   ",="            1181   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book + Interaction              ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
