="Heterogeneity in treatment effects on mainPerf by BMprof BMsales at First Endline (W3) and Second Endline (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   "
="                                                  ",="Total Profits Last Month (USD PPP) at W4 (win 5 %)   ",="Total Profits Last Month (USD PPP) at W4 (IHS Transformation)   ",="Total Sales Last Month (USD PPP) at W4 (win 5 %)   ",="Total Sales Last Month (USD PPP) at W4 (Log Transformation)   ",="Business size (square meters) (win 1 %)   ",="Total Number of Employees at W4 (win 1 %)   ",="Total Number of Hired Employees at W4 (win 1 %)   ",="Total Number of Daily Customers at W4 (win 1 %)   ",="Total Profits Last Month (USD PPP) at W4 (win 5 %)   ",="Total Profits Last Month (USD PPP) at W4 (IHS Transformation)   ",="Total Sales Last Month (USD PPP) at W4 (win 5 %)   ",="Total Sales Last Month (USD PPP) at W4 (Log Transformation)   ",="Business size (square meters) (win 1 %)   ",="Total Number of Employees at W4 (win 1 %)   ",="Total Number of Hired Employees at W4 (win 1 %)   ",="Total Number of Daily Customers at W4 (win 1 %)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Assigned Handbook                                 ",="         -44.898   ",="           0.200   ",="        -877.840** ",="          -0.195*  ",="          -0.322   ",="           0.034   ",="           0.018   ",="          -0.616   ",="         160.165   ",="           0.260   ",="        -218.929   ",="           0.150   ",="           1.259   ",="           0.055   ",="           0.025   ",="           2.547   "
="                                                  ",="       (144.937)   ",="         (0.747)   ",="       (441.881)   ",="         (0.102)   ",="         (0.831)   ",="         (0.119)   ",="         (0.044)   ",="         (2.145)   ",="       (173.202)   ",="         (0.782)   ",="       (575.603)   ",="         (0.107)   ",="         (0.957)   ",="         (0.129)   ",="         (0.052)   ",="         (2.475)   "
="Assigned Handbook & Movie                         ",="          29.939   ",="          -1.186   ",="        -554.295   ",="          -0.066   ",="          -0.013   ",="          -0.010   ",="           0.027   ",="           3.201   ",="         319.169   ",="          -0.407   ",="        -276.296   ",="           0.132   ",="           1.140   ",="           0.055   ",="           0.028   ",="           5.008** "
="                                                  ",="       (188.534)   ",="         (0.856)   ",="       (554.093)   ",="         (0.119)   ",="         (0.868)   ",="         (0.115)   ",="         (0.041)   ",="         (2.427)   ",="       (216.745)   ",="         (0.861)   ",="       (640.992)   ",="         (0.121)   ",="         (0.971)   ",="         (0.114)   ",="         (0.057)   ",="         (2.488)   "
="Assigned Handbook & Counseling                    ",="         203.242   ",="          -0.106   ",="          74.920   ",="          -0.012   ",="           1.150   ",="           0.297** ",="           0.034   ",="           0.261   ",="         644.163***",="           0.918   ",="          20.304   ",="           0.175   ",="           1.583   ",="           0.338***",="           0.043   ",="           0.982   "
="                                                  ",="       (188.897)   ",="         (0.840)   ",="       (540.397)   ",="         (0.126)   ",="         (0.918)   ",="         (0.130)   ",="         (0.053)   ",="         (2.313)   ",="       (214.972)   ",="         (0.827)   ",="       (613.696)   ",="         (0.127)   ",="         (1.053)   ",="         (0.124)   ",="         (0.055)   ",="         (2.413)   "
="Assigned All Three                                ",="         -26.116   ",="          -0.526   ",="         462.326   ",="           0.073   ",="           0.344   ",="           0.040   ",="           0.058   ",="           3.085   ",="         234.376   ",="           0.237   ",="         770.011   ",="           0.294***",="           2.272** ",="           0.054   ",="           0.064   ",="           4.514   "
="                                                  ",="       (182.266)   ",="         (0.839)   ",="       (533.089)   ",="         (0.112)   ",="         (0.966)   ",="         (0.129)   ",="         (0.058)   ",="         (2.691)   ",="       (186.042)   ",="         (0.797)   ",="       (573.108)   ",="         (0.107)   ",="         (1.028)   ",="         (0.125)   ",="         (0.060)   ",="         (2.759)   "
="B_BMprof                                          ",="         121.976   ",="          -0.273   ",="        1076.640** ",="           0.157   ",="          -0.115   ",="          -0.136   ",="          -0.038   ",="          -2.497   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="       (180.116)   ",="         (1.014)   ",="       (500.548)   ",="         (0.128)   ",="         (1.090)   ",="         (0.134)   ",="         (0.056)   ",="         (2.356)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BM_BMprof                                         ",="         183.013   ",="           1.601   ",="        1025.512*  ",="           0.027   ",="          -0.201   ",="           0.050   ",="           0.015   ",="          -4.978*  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="       (232.001)   ",="         (1.093)   ",="       (578.512)   ",="         (0.150)   ",="         (1.016)   ",="         (0.146)   ",="         (0.071)   ",="         (2.613)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BC_BMprof                                         ",="         289.099   ",="           1.546   ",="        1209.531*  ",="           0.215   ",="          -0.974   ",="          -0.088   ",="          -0.021   ",="          -4.102   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="       (231.625)   ",="         (1.029)   ",="       (658.105)   ",="         (0.159)   ",="         (1.092)   ",="         (0.146)   ",="         (0.057)   ",="         (2.501)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BMC_BMprof                                        ",="         525.320** ",="           1.878*  ",="         899.651   ",="           0.201   ",="           1.132   ",="          -0.011   ",="          -0.066   ",="          -3.493   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="       (219.030)   ",="         (1.085)   ",="       (617.887)   ",="         (0.133)   ",="         (1.157)   ",="         (0.162)   ",="         (0.073)   ",="         (3.093)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="B_BMsales                                         ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="        -275.160   ",="          -0.212   ",="        -380.354   ",="          -0.513***",="          -3.148***",="          -0.154   ",="          -0.046   ",="          -8.036***"
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="       (167.271)   ",="         (0.880)   ",="       (560.762)   ",="         (0.135)   ",="         (1.044)   ",="         (0.143)   ",="         (0.060)   ",="         (2.429)   "
="BM_BMsales                                        ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="        -373.266   ",="           0.043   ",="         498.626   ",="          -0.329** ",="          -2.405** ",="          -0.073   ",="           0.012   ",="          -8.326***"
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="       (233.567)   ",="         (0.994)   ",="       (666.214)   ",="         (0.159)   ",="         (1.047)   ",="         (0.147)   ",="         (0.070)   ",="         (2.647)   "
="BC_BMsales                                        ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="        -549.910** ",="          -0.407   ",="        1279.480*  ",="          -0.121   ",="          -1.732   ",="          -0.163   ",="          -0.036   ",="          -5.196** "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="       (232.697)   ",="         (0.937)   ",="       (711.663)   ",="         (0.176)   ",="         (1.164)   ",="         (0.146)   ",="         (0.058)   ",="         (2.527)   "
="BMC_BMsales                                       ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           6.178   ",="           0.367   ",="         333.899   ",="          -0.210   ",="          -2.809** ",="          -0.042   ",="          -0.084   ",="          -6.537** "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="       (209.129)   ",="         (0.943)   ",="       (674.814)   ",="         (0.150)   ",="         (1.111)   ",="         (0.157)   ",="         (0.068)   ",="         (2.950)   "
="R-squared                                         ",="           0.098   ",="           0.079   ",="           0.467   ",="           0.413   ",="           0.345   ",="           0.251   ",="           0.139   ",="           0.313   ",="           0.102   ",="           0.074   ",="           0.463   ",="           0.419   ",="           0.358   ",="           0.252   ",="           0.140   ",="           0.324   "
="N                                                 ",="            1003   ",="            1003   ",="            1018   ",="            1018   ",="            1023   ",="            1024   ",="            1024   ",="            1022   ",="            1003   ",="            1003   ",="            1018   ",="            1018   ",="            1023   ",="            1024   ",="            1024   ",="            1022   "
="Dependent Variable Mean in Control Group          ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Dependent Variable SD in Control Group            ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book + Interaction              ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Movie + Interaction      ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): Book & Assistaince + Interaction",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): All Three + Interaction         ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
