="Balance of attrition on baseline covariates at endline 1 (W3) and endline 2 (W4)"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   ",="            (17)   ",="            (18)   ",="            (19)   ",="            (20)   ",="            (21)   ",="            (22)   ",="            (23)   ",="            (24)   ",="            (25)   ",="            (26)   ",="            (27)   ",="            (28)   ",="            (29)   ",="            (30)   ",="            (31)   ",="            (32)   ",="            (33)   ",="            (34)   ",="            (35)   ",="            (36)   ",="            (37)   ",="            (38)   ",="            (39)   ",="            (40)   "
="                                                  ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W3   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   ",="Business Part of W4   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Total Profits Last Month (USD PPP) at W1 (win 5 %)",="          -0.000   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.000   ",="          -0.000   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.000   "
="                                                  ",="         (0.000)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.000)   ",="         (0.000)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.000)   "
="Business size (square meters)                     ",="                   ",="           0.001   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.001   ",="                   ",="           0.001   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.001   "
="                                                  ",="                   ",="         (0.001)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.001)   ",="                   ",="         (0.001)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.001)   "
="W1_space_own                                      ",="                   ",="                   ",="           0.026   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.028   ",="                   ",="                   ",="           0.034   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.027   "
="                                                  ",="                   ",="                   ",="         (0.018)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.019)   ",="                   ",="                   ",="         (0.025)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.026)   "
="W1_assets_fridges                                 ",="                   ",="                   ",="                   ",="           0.027   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.012   ",="                   ",="                   ",="                   ",="           0.039   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.016   "
="                                                  ",="                   ",="                   ",="                   ",="         (0.017)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.017)   ",="                   ",="                   ",="                   ",="         (0.025)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.026)   "
="Total Number of Hired Employees at W1             ",="                   ",="                   ",="                   ",="                   ",="          -0.006   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.008   ",="                   ",="                   ",="                   ",="                   ",="           0.011   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.020   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="         (0.015)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.019)   ",="                   ",="                   ",="                   ",="                   ",="         (0.020)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.024)   "
="Firm Registered (for Taxes or Else)               ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.016   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.017   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.030   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.020   "
