="asp12 Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   "
="                                                  ",="12mth aspirations for business size   ",="12mth aspirations for business size   ",="12mth aspirations for business size   ",="12mth aspirations for business size   ",="12mth aspirations for number of employees   ",="12mth aspirations for number of employees   ",="12mth aspirations for number of employees   ",="12mth aspirations for number of employees   ",="12mth aspirations for number of customers   ",="12mth aspirations for number of customers   ",="12mth aspirations for number of customers   ",="12mth aspirations for number of customers   ",="W3_asp12_sales_ln   ",="W3_asp12_sales_ln   ",="W3_asp12_sales_ln   ",="W3_asp12_sales_ln   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Short-Term Shop Size Aspirations (Zscore)         ",="         -10.271   ",="                   ",="                   ",="                   ",="           0.030   ",="                   ",="                   ",="                   ",="           4.674   ",="                   ",="                   ",="                   ",="           0.185** ",="                   ",="                   ",="                   "
="                                                  ",="        (27.890)   ",="                   ",="                   ",="                   ",="         (0.131)   ",="                   ",="                   ",="                   ",="         (8.853)   ",="                   ",="                   ",="                   ",="         (0.079)   ",="                   ",="                   ",="                   "
="Short-Term Employee Aspirations (Zscore)          ",="                   ",="          -0.291   ",="                   ",="                   ",="                   ",="          -0.207   ",="                   ",="                   ",="                   ",="          -6.146** ",="                   ",="                   ",="                   ",="          -0.043   ",="                   ",="                   "
="                                                  ",="                   ",="         (1.125)   ",="                   ",="                   ",="                   ",="         (0.399)   ",="                   ",="                   ",="                   ",="         (2.901)   ",="                   ",="                   ",="                   ",="         (0.046)   ",="                   ",="                   "
="Short-Term Customer Aspirations (Zscore)          ",="                   ",="                   ",="           0.730   ",="                   ",="                   ",="                   ",="           0.097   ",="                   ",="                   ",="                   ",="         -51.003***",="                   ",="                   ",="                   ",="           0.235***",="                   "
="                                                  ",="                   ",="                   ",="         (1.367)   ",="                   ",="                   ",="                   ",="         (0.119)   ",="                   ",="                   ",="                   ",="        (15.252)   ",="                   ",="                   ",="                   ",="         (0.079)   ",="                   "
="Short-Term Sales Aspirations (Zscore)             ",="                   ",="                   ",="                   ",="           2.502   ",="                   ",="                   ",="                   ",="           0.095   ",="                   ",="                   ",="                   ",="          17.980** ",="                   ",="                   ",="                   ",="           0.224*  "
="                                                  ",="                   ",="                   ",="                   ",="         (1.573)   ",="                   ",="                   ",="                   ",="         (0.110)   ",="                   ",="                   ",="                   ",="         (8.549)   ",="                   ",="                   ",="                   ",="         (0.115)   "
="R-squared                                         ",="           0.374   ",="           0.375   ",="           0.375   ",="           0.387   ",="           0.190   ",="           0.190   ",="           0.192   ",="           0.197   ",="           0.326   ",="           0.332   ",="           0.346   ",="           0.362   ",="           0.660   ",="           0.652   ",="           0.666   ",="           0.659   "
="N                                                 ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             241   ",="             241   ",="             241   ",="             241   "
="Dependent Variable Mean                           ",="          15.814   ",="          15.814   ",="          15.814   ",="          15.814   ",="           1.769   ",="           1.769   ",="           1.769   ",="           1.769   ",="          55.506   ",="          55.506   ",="          55.506   ",="          55.506   ",="           5.620   ",="           5.620   ",="           5.620   ",="           5.620   "
="Dependent Variable SD                             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
