="mainperf Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="Sales Last Month (win 5%)   ",="Sales Last Month (win 5%)   ",="Sales Last Month (win 5%)   ",="Sales Last Month (win 5%)   ",="Estimated Profits Last Month (win 5%)   ",="Estimated Profits Last Month (win 5%)   ",="Estimated Profits Last Month (win 5%)   ",="Estimated Profits Last Month (win 5%)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Short-Term Shop Size Aspirations (Zscore)         ",="        1091.246** ",="                   ",="                   ",="                   ",="         199.247   ",="                   ",="                   ",="                   "
="                                                  ",="       (426.344)   ",="                   ",="                   ",="                   ",="       (120.809)   ",="                   ",="                   ",="                   "
="Short-Term Employee Aspirations (Zscore)          ",="                   ",="        -376.325   ",="                   ",="                   ",="                   ",="        -112.017   ",="                   ",="                   "
="                                                  ",="                   ",="       (296.566)   ",="                   ",="                   ",="                   ",="        (90.378)   ",="                   ",="                   "
="Short-Term Customer Aspirations (Zscore)          ",="                   ",="                   ",="        1562.482***",="                   ",="                   ",="                   ",="         525.757***",="                   "
="                                                  ",="                   ",="                   ",="       (413.167)   ",="                   ",="                   ",="                   ",="        (99.889)   ",="                   "
="Short-Term Sales Aspirations (Zscore)             ",="                   ",="                   ",="                   ",="        3547.652***",="                   ",="                   ",="                   ",="         537.723***"
="                                                  ",="                   ",="                   ",="                   ",="       (533.386)   ",="                   ",="                   ",="                   ",="       (164.383)   "
="R-squared                                         ",="           0.606   ",="           0.597   ",="           0.618   ",="           0.698   ",="           0.238   ",="           0.234   ",="           0.296   ",="           0.318   "
="N                                                 ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   "
="Dependent Variable Mean                           ",="        5127.120   ",="        5127.120   ",="        5127.120   ",="        5127.120   ",="         769.471   ",="         769.471   ",="         769.471   ",="         769.471   "
="Dependent Variable SD                             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
