="Size Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   "
="                                                  ",=" Total Employees   ",=" Total Employees   ",=" Total Employees   ",=" Total Employees   ",="Total Family Employees   ",="Total Family Employees   ",="Total Family Employees   ",="Total Family Employees   ",="Total Non-Family Employees   ",="Total Non-Family Employees   ",="Total Non-Family Employees   ",="Total Non-Family Employees   ",="       Shop Size   ",="       Shop Size   ",="       Shop Size   ",="       Shop Size   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Short-Term Shop Size Aspirations (Zscore)         ",="           0.018   ",="                   ",="                   ",="                   ",="          -0.066   ",="                   ",="                   ",="                   ",="           0.097   ",="                   ",="                   ",="                   ",="           3.931** ",="                   ",="                   ",="                   "
="                                                  ",="         (0.128)   ",="                   ",="                   ",="                   ",="         (0.115)   ",="                   ",="                   ",="                   ",="         (0.086)   ",="                   ",="                   ",="                   ",="         (1.872)   ",="                   ",="                   ",="                   "
="Short-Term Employee Aspirations (Zscore)          ",="                   ",="           0.006   ",="                   ",="                   ",="                   ",="          -0.116   ",="                   ",="                   ",="                   ",="           0.099   ",="                   ",="                   ",="                   ",="           1.108   ",="                   ",="                   "
="                                                  ",="                   ",="         (0.120)   ",="                   ",="                   ",="                   ",="         (0.086)   ",="                   ",="                   ",="                   ",="         (0.071)   ",="                   ",="                   ",="                   ",="         (1.147)   ",="                   ",="                   "
="Short-Term Customer Aspirations (Zscore)          ",="                   ",="                   ",="           0.094   ",="                   ",="                   ",="                   ",="           0.055   ",="                   ",="                   ",="                   ",="           0.035   ",="                   ",="                   ",="                   ",="           0.256   ",="                   "
="                                                  ",="                   ",="                   ",="         (0.099)   ",="                   ",="                   ",="                   ",="         (0.094)   ",="                   ",="                   ",="                   ",="         (0.052)   ",="                   ",="                   ",="                   ",="         (0.694)   ",="                   "
="Short-Term Sales Aspirations (Zscore)             ",="                   ",="                   ",="                   ",="           0.042   ",="                   ",="                   ",="                   ",="          -0.099   ",="                   ",="                   ",="                   ",="           0.141** ",="                   ",="                   ",="                   ",="           3.416***"
="                                                  ",="                   ",="                   ",="                   ",="         (0.086)   ",="                   ",="                   ",="                   ",="         (0.097)   ",="                   ",="                   ",="                   ",="         (0.070)   ",="                   ",="                   ",="                   ",="         (1.274)   "
="R-squared                                         ",="           0.318   ",="           0.318   ",="           0.320   ",="           0.319   ",="           0.339   ",="           0.342   ",="           0.339   ",="           0.342   ",="           0.166   ",="           0.177   ",="           0.154   ",="           0.188   ",="           0.405   ",="           0.373   ",="           0.364   ",="           0.418   "
="N                                                 ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   "
="Dependent Variable Mean                           ",="           2.061   ",="           2.061   ",="           2.061   ",="           2.061   ",="           1.915   ",="           1.915   ",="           1.915   ",="           1.915   ",="           0.146   ",="           0.146   ",="           0.146   ",="           0.146   ",="          12.789   ",="          12.789   ",="          12.789   ",="          12.789   "
="Dependent Variable SD                             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
