="aspgap12 Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   "
="                                                  ",="12mth aspirations gap for business size (norm'ed by current level)   ",="12mth aspirations gap for business size (norm'ed by current level)   ",="12mth aspirations gap for business size (norm'ed by current level)   ",="12mth aspirations gap for business size (norm'ed by current level)   ",="12mth aspirations gap for number of employees (norm'ed by current level)   ",="12mth aspirations gap for number of employees (norm'ed by current level)   ",="12mth aspirations gap for number of employees (norm'ed by current level)   ",="12mth aspirations gap for number of employees (norm'ed by current level)   ",="12mth aspirations gap for number of customers (norm'ed by current level)   ",="12mth aspirations gap for number of customers (norm'ed by current level)   ",="12mth aspirations gap for number of customers (norm'ed by current level)   ",="12mth aspirations gap for number of customers (norm'ed by current level)   ",="12mth aspirations gap for daily sales (norm'ed by current level)   ",="12mth aspirations gap for daily sales (norm'ed by current level)   ",="12mth aspirations gap for daily sales (norm'ed by current level)   ",="12mth aspirations gap for daily sales (norm'ed by current level)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Short-Term Shop Size Aspirations (Zscore)         ",="          -0.213***",="                   ",="                   ",="                   ",="          -0.222** ",="                   ",="                   ",="                   ",="          -0.180*  ",="                   ",="                   ",="                   ",="          -0.029   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.073)   ",="                   ",="                   ",="                   ",="         (0.111)   ",="                   ",="                   ",="                   ",="         (0.107)   ",="                   ",="                   ",="                   ",="         (0.140)   ",="                   ",="                   ",="                   "
="Short-Term Employee Aspirations (Zscore)          ",="                   ",="          -0.091** ",="                   ",="                   ",="                   ",="          -0.142   ",="                   ",="                   ",="                   ",="          -0.084   ",="                   ",="                   ",="                   ",="          -0.034   ",="                   ",="                   "
="                                                  ",="                   ",="         (0.045)   ",="                   ",="                   ",="                   ",="         (0.089)   ",="                   ",="                   ",="                   ",="         (0.054)   ",="                   ",="                   ",="                   ",="         (0.099)   ",="                   ",="                   "
="Short-Term Customer Aspirations (Zscore)          ",="                   ",="                   ",="          -0.006   ",="                   ",="                   ",="                   ",="          -0.086   ",="                   ",="                   ",="                   ",="          -0.274***",="                   ",="                   ",="                   ",="          -0.051   ",="                   "
="                                                  ",="                   ",="                   ",="         (0.061)   ",="                   ",="                   ",="                   ",="         (0.102)   ",="                   ",="                   ",="                   ",="         (0.105)   ",="                   ",="                   ",="                   ",="         (0.113)   ",="                   "
="Short-Term Sales Aspirations (Zscore)             ",="                   ",="                   ",="                   ",="          -0.159***",="                   ",="                   ",="                   ",="          -0.090   ",="                   ",="                   ",="                   ",="           0.073   ",="                   ",="                   ",="                   ",="          -0.140   "
="                                                  ",="                   ",="                   ",="                   ",="         (0.059)   ",="                   ",="                   ",="                   ",="         (0.089)   ",="                   ",="                   ",="                   ",="         (0.089)   ",="                   ",="                   ",="                   ",="         (0.092)   "
="R-squared                                         ",="           0.239   ",="           0.227   ",="           0.219   ",="           0.235   ",="           0.368   ",="           0.365   ",="           0.360   ",="           0.377   ",="           0.256   ",="           0.248   ",="           0.263   ",="           0.246   ",="           0.284   ",="           0.284   ",="           0.285   ",="           0.289   "
="N                                                 ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             241   ",="             241   ",="             241   ",="             241   "
="Dependent Variable Mean                           ",="           0.291   ",="           0.291   ",="           0.291   ",="           0.291   ",="           0.284   ",="           0.284   ",="           0.284   ",="           0.284   ",="           0.175   ",="           0.175   ",="           0.175   ",="           0.175   ",="           1.547   ",="           1.547   ",="           1.547   ",="           1.547   "
="Dependent Variable SD                             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
