="Customers Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   "
="                                                  ",=" W3_custom_total   ",=" W3_custom_total   ",=" W3_custom_total   ",=" W3_custom_total   ",=" W3_custom_loyal   ",=" W3_custom_loyal   ",=" W3_custom_loyal   ",=" W3_custom_loyal   ",="W3_custom_general   ",="W3_custom_general   ",="W3_custom_general   ",="W3_custom_general   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Short-Term Shop Size Aspirations (Zscore)         ",="          11.018   ",="                   ",="                   ",="                   ",="           4.678   ",="                   ",="                   ",="                   ",="           6.026   ",="                   ",="                   ",="                   "
="                                                  ",="         (7.722)   ",="                   ",="                   ",="                   ",="         (2.960)   ",="                   ",="                   ",="                   ",="         (4.817)   ",="                   ",="                   ",="                   "
="Short-Term Employee Aspirations (Zscore)          ",="                   ",="          -1.413   ",="                   ",="                   ",="                   ",="          -0.159   ",="                   ",="                   ",="                   ",="          -1.187   ",="                   ",="                   "
="                                                  ",="                   ",="         (2.690)   ",="                   ",="                   ",="                   ",="         (1.233)   ",="                   ",="                   ",="                   ",="         (1.646)   ",="                   ",="                   "
="Short-Term Customer Aspirations (Zscore)          ",="                   ",="                   ",="           6.406   ",="                   ",="                   ",="                   ",="           4.184*  ",="                   ",="                   ",="                   ",="           2.345   ",="                   "
="                                                  ",="                   ",="                   ",="         (5.946)   ",="                   ",="                   ",="                   ",="         (2.285)   ",="                   ",="                   ",="                   ",="         (4.125)   ",="                   "
="Short-Term Sales Aspirations (Zscore)             ",="                   ",="                   ",="                   ",="          12.027*  ",="                   ",="                   ",="                   ",="           4.810** ",="                   ",="                   ",="                   ",="           7.557** "
="                                                  ",="                   ",="                   ",="                   ",="         (6.180)   ",="                   ",="                   ",="                   ",="         (2.401)   ",="                   ",="                   ",="                   ",="         (3.693)   "
="R-squared                                         ",="           0.498   ",="           0.474   ",="           0.480   ",="           0.506   ",="           0.358   ",="           0.328   ",="           0.350   ",="           0.365   ",="           0.522   ",="           0.507   ",="           0.508   ",="           0.535   "
="N                                                 ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   "
="Dependent Variable Mean                           ",="          50.717   ",="          50.717   ",="          50.717   ",="          50.717   ",="          16.773   ",="          16.773   ",="          16.773   ",="          16.773   ",="          33.943   ",="          33.943   ",="          33.943   ",="          33.943   "
="Dependent Variable SD                             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
