="asp Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   "
="                                                  ",="Aspirations for ideal business size   ",="Aspirations for ideal business size   ",="Aspirations for ideal business size   ",="Aspirations for ideal business size   ",="Aspirations for ideal number of employees   ",="Aspirations for ideal number of employees   ",="Aspirations for ideal number of employees   ",="Aspirations for ideal number of employees   ",="Aspirations for ideal number of customers   ",="Aspirations for ideal number of customers   ",="Aspirations for ideal number of customers   ",="Aspirations for ideal number of customers   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Short-Term Shop Size Aspirations (Zscore)         ",="           3.470   ",="                   ",="                   ",="                   ",="           0.125   ",="                   ",="                   ",="                   ",="          17.172   ",="                   ",="                   ",="                   "
="                                                  ",="         (4.555)   ",="                   ",="                   ",="                   ",="         (0.225)   ",="                   ",="                   ",="                   ",="        (11.799)   ",="                   ",="                   ",="                   "
="Short-Term Employee Aspirations (Zscore)          ",="                   ",="           1.550   ",="                   ",="                   ",="                   ",="          -0.143   ",="                   ",="                   ",="                   ",="          16.896*  ",="                   ",="                   "
="                                                  ",="                   ",="         (2.843)   ",="                   ",="                   ",="                   ",="         (0.264)   ",="                   ",="                   ",="                   ",="         (9.557)   ",="                   ",="                   "
="Short-Term Customer Aspirations (Zscore)          ",="                   ",="                   ",="           4.819   ",="                   ",="                   ",="                   ",="           0.182   ",="                   ",="                   ",="                   ",="          21.667   ",="                   "
="                                                  ",="                   ",="                   ",="         (4.704)   ",="                   ",="                   ",="                   ",="         (0.299)   ",="                   ",="                   ",="                   ",="        (14.864)   ",="                   "
="Short-Term Sales Aspirations (Zscore)             ",="                   ",="                   ",="                   ",="           3.065   ",="                   ",="                   ",="                   ",="           0.185   ",="                   ",="                   ",="                   ",="          14.888   "
="                                                  ",="                   ",="                   ",="                   ",="         (2.857)   ",="                   ",="                   ",="                   ",="         (0.168)   ",="                   ",="                   ",="                   ",="        (10.153)   "
="R-squared                                         ",="           0.383   ",="           0.381   ",="           0.390   ",="           0.386   ",="           0.275   ",="           0.275   ",="           0.276   ",="           0.284   ",="           0.278   ",="           0.289   ",="           0.277   ",="           0.280   "
="N                                                 ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   "
="Dependent Variable Mean                           ",="          26.992   ",="          26.992   ",="          26.992   ",="          26.992   ",="           2.215   ",="           2.215   ",="           2.215   ",="           2.215   ",="          75.700   ",="          75.700   ",="          75.700   ",="          75.700   "
="Dependent Variable SD                             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
