="aspgap Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   "
="                                                  ",="Aspirations gap for ideal business size (norm'ed by current level)   ",="Aspirations gap for ideal business size (norm'ed by current level)   ",="Aspirations gap for ideal business size (norm'ed by current level)   ",="Aspirations gap for ideal business size (norm'ed by current level)   ",="Aspirations gap for ideal number of employees (norm'ed by current level)   ",="Aspirations gap for ideal number of employees (norm'ed by current level)   ",="Aspirations gap for ideal number of employees (norm'ed by current level)   ",="Aspirations gap for ideal number of employees (norm'ed by current level)   ",="Aspirations gap for ideal number of customers (norm'ed by current level)   ",="Aspirations gap for ideal number of customers (norm'ed by current level)   ",="Aspirations gap for ideal number of customers (norm'ed by current level)   ",="Aspirations gap for ideal number of customers (norm'ed by current level)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Short-Term Shop Size Aspirations (Zscore)         ",="           0.069   ",="                   ",="                   ",="                   ",="          -0.100   ",="                   ",="                   ",="                   ",="           0.076   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.167)   ",="                   ",="                   ",="                   ",="         (0.181)   ",="                   ",="                   ",="                   ",="         (0.151)   ",="                   ",="                   ",="                   "
="Short-Term Employee Aspirations (Zscore)          ",="                   ",="           0.057   ",="                   ",="                   ",="                   ",="          -0.018   ",="                   ",="                   ",="                   ",="           0.211*  ",="                   ",="                   "
="                                                  ",="                   ",="         (0.129)   ",="                   ",="                   ",="                   ",="         (0.160)   ",="                   ",="                   ",="                   ",="         (0.127)   ",="                   ",="                   "
="Short-Term Customer Aspirations (Zscore)          ",="                   ",="                   ",="           0.226   ",="                   ",="                   ",="                   ",="          -0.024   ",="                   ",="                   ",="                   ",="          -0.058   ",="                   "
="                                                  ",="                   ",="                   ",="         (0.247)   ",="                   ",="                   ",="                   ",="         (0.209)   ",="                   ",="                   ",="                   ",="         (0.118)   ",="                   "
="Short-Term Sales Aspirations (Zscore)             ",="                   ",="                   ",="                   ",="          -0.026   ",="                   ",="                   ",="                   ",="          -0.091   ",="                   ",="                   ",="                   ",="          -0.062   "
="                                                  ",="                   ",="                   ",="                   ",="         (0.143)   ",="                   ",="                   ",="                   ",="         (0.116)   ",="                   ",="                   ",="                   ",="         (0.090)   "
="R-squared                                         ",="           0.283   ",="           0.283   ",="           0.289   ",="           0.283   ",="           0.333   ",="           0.331   ",="           0.331   ",="           0.339   ",="           0.256   ",="           0.277   ",="           0.255   ",="           0.266   "
="N                                                 ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   "
="Dependent Variable Mean                           ",="           1.182   ",="           1.182   ",="           1.182   ",="           1.182   ",="           0.564   ",="           0.564   ",="           0.564   ",="           0.564   ",="           0.558   ",="           0.558   ",="           0.558   ",="           0.558   "
="Dependent Variable SD                             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
