="forward Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   ",="            (17)   ",="            (18)   "
="                                                  ",="Plans to Expand Business in Next 12 Months   ",="Plans to Expand Business in Next 12 Months   ",="Plans to Expand Business in Next 12 Months   ",="Plans to Expand Business in Next 12 Months   ",="Plans to Expand Business in Next 12 Months   ",="Plans to Expand Business in Next 12 Months   ",="Plans to Develop Business Plan in Next 12 Months   ",="Plans to Develop Business Plan in Next 12 Months   ",="Plans to Develop Business Plan in Next 12 Months   ",="Plans to Develop Business Plan in Next 12 Months   ",="Plans to Develop Business Plan in Next 12 Months   ",="Plans to Develop Business Plan in Next 12 Months   ",="Plans to Start/Improve Record Keeping in Next 12 Months   ",="Plans to Start/Improve Record Keeping in Next 12 Months   ",="Plans to Start/Improve Record Keeping in Next 12 Months   ",="Plans to Start/Improve Record Keeping in Next 12 Months   ",="Plans to Start/Improve Record Keeping in Next 12 Months   ",="Plans to Start/Improve Record Keeping in Next 12 Months   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Short-Term Shop Size Aspirations (Zscore)         ",="           0.030** ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.000   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.006   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.012)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.016)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.011)   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Short-Term Employee Aspirations (Zscore)          ",="                   ",="           0.021   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.009   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.003   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="         (0.013)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.013)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.013)   ",="                   ",="                   ",="                   ",="                   "
="Short-Term Customer Aspirations (Zscore)          ",="                   ",="                   ",="           0.007   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.015   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.000   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="         (0.016)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.010)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.011)   ",="                   ",="                   ",="                   "
="Short-Term Sales Aspirations (Zscore)             ",="                   ",="                   ",="                   ",="           0.036** ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.016   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.016   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="         (0.015)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.014)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.013)   ",="                   ",="                   "
="Imagination failure (yes/no)                      ",="                   ",="                   ",="                   ",="                   ",="          -0.085** ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.237***",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.160***",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="         (0.033)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.038)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.036)   ",="                   "
="Planning failure (yes/no)                         ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.039   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.141***",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.113***"
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.031)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.033)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.032)   "
="R-squared                                         ",="           0.138   ",="           0.136   ",="           0.135   ",="           0.139   ",="           0.138   ",="           0.136   ",="           0.173   ",="           0.173   ",="           0.173   ",="           0.174   ",="           0.201   ",="           0.186   ",="           0.221   ",="           0.221   ",="           0.221   ",="           0.222   ",="           0.232   ",="           0.229   "
="N                                                 ",="            1293   ",="            1293   ",="            1289   ",="            1293   ",="            1293   ",="            1293   ",="            1293   ",="            1293   ",="            1289   ",="            1293   ",="            1293   ",="            1293   ",="            1293   ",="            1293   ",="            1289   ",="            1293   ",="            1293   ",="            1293   "
="Dependent Variable Mean                           ",="           0.380   ",="           0.380   ",="           0.380   ",="           0.380   ",="           0.380   ",="           0.380   ",="           0.629   ",="           0.629   ",="           0.629   ",="           0.629   ",="           0.629   ",="           0.629   ",="           0.531   ",="           0.531   ",="           0.531   ",="           0.531   ",="           0.531   ",="           0.531   "
="Dependent Variable SD                             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
