="aspfail Outcomes"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   "
="                                                  ",="Imagination failure (yes/no)   ",="Imagination failure (yes/no)   ",="Imagination failure (yes/no)   ",="Imagination failure (yes/no)   ",="Planning failure (yes/no)   ",="Planning failure (yes/no)   ",="Planning failure (yes/no)   ",="Planning failure (yes/no)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Short-Term Shop Size Aspirations (Zscore)         ",="           0.045   ",="                   ",="                   ",="                   ",="          -0.015   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.038)   ",="                   ",="                   ",="                   ",="         (0.043)   ",="                   ",="                   ",="                   "
="Short-Term Employee Aspirations (Zscore)          ",="                   ",="           0.081** ",="                   ",="                   ",="                   ",="           0.020   ",="                   ",="                   "
="                                                  ",="                   ",="         (0.032)   ",="                   ",="                   ",="                   ",="         (0.034)   ",="                   ",="                   "
="Short-Term Customer Aspirations (Zscore)          ",="                   ",="                   ",="           0.024   ",="                   ",="                   ",="                   ",="           0.044   ",="                   "
="                                                  ",="                   ",="                   ",="         (0.032)   ",="                   ",="                   ",="                   ",="         (0.031)   ",="                   "
="Short-Term Sales Aspirations (Zscore)             ",="                   ",="                   ",="                   ",="           0.017   ",="                   ",="                   ",="                   ",="          -0.011   "
="                                                  ",="                   ",="                   ",="                   ",="         (0.027)   ",="                   ",="                   ",="                   ",="         (0.030)   "
="R-squared                                         ",="           0.224   ",="           0.250   ",="           0.220   ",="           0.226   ",="           0.321   ",="           0.322   ",="           0.324   ",="           0.320   "
="N                                                 ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   ",="             242   "
="Dependent Variable Mean                           ",="           0.150   ",="           0.150   ",="           0.150   ",="           0.150   ",="           0.211   ",="           0.211   ",="           0.211   ",="           0.211   "
="Dependent Variable SD                             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
