="aspirations growth"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   "
="                                                  ",="Business had realistic aspirations for sales   ",="Business had optimistic aspirations for sales   ",="Business had pessimistic aspirations for sales   ",="Business had realistic aspirations for customer   ",="Business had optimistic aspirations for customer   ",="Business had pessimistic aspirations for customer   ",="Business had realistic aspirations for size   ",="Business had optimistic aspirations for size   ",="Business had pessimistic aspirations for size   ",="Business had realistic aspirations for employee   ",="Business had optimistic aspirations for employee   ",="Business had pessimistic aspirations for employee   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="W1_sales_lastmth_ln                               ",="           0.030** ",="           0.001   ",="          -0.031*  ",="          -0.003   ",="           0.017   ",="          -0.014   ",="           0.016   ",="          -0.012   ",="          -0.004   ",="          -0.000   ",="          -0.013   ",="           0.014   "
="                                                  ",="         (0.014)   ",="         (0.021)   ",="         (0.017)   ",="         (0.018)   ",="         (0.028)   ",="         (0.030)   ",="         (0.024)   ",="         (0.027)   ",="         (0.026)   ",="         (0.028)   ",="         (0.027)   ",="         (0.031)   "
="Business size (square meters)                     ",="           0.002   ",="          -0.007*  ",="           0.005   ",="           0.004   ",="          -0.004   ",="          -0.000   ",="          -0.002   ",="           0.015***",="          -0.013***",="           0.002   ",="          -0.001   ",="          -0.001   "
="                                                  ",="         (0.002)   ",="         (0.003)   ",="         (0.003)   ",="         (0.003)   ",="         (0.005)   ",="         (0.004)   ",="         (0.003)   ",="         (0.004)   ",="         (0.004)   ",="         (0.004)   ",="         (0.004)   ",="         (0.004)   "
="W1_custom_total                                   ",="           0.000   ",="          -0.000   ",="           0.000   ",="          -0.000   ",="           0.001   ",="          -0.001   ",="          -0.000   ",="          -0.001   ",="           0.001   ",="           0.002   ",="          -0.001   ",="          -0.001   "
="                                                  ",="         (0.001)   ",="         (0.001)   ",="         (0.001)   ",="         (0.001)   ",="         (0.001)   ",="         (0.001)   ",="         (0.001)   ",="         (0.001)   ",="         (0.001)   ",="         (0.001)   ",="         (0.001)   ",="         (0.001)   "
="Total number of employees                         ",="           0.014   ",="          -0.008   ",="          -0.006   ",="           0.007   ",="          -0.019   ",="           0.012   ",="          -0.032   ",="           0.005   ",="           0.027   ",="          -0.090***",="           0.096***",="          -0.006   "
="                                                  ",="         (0.016)   ",="         (0.020)   ",="         (0.015)   ",="         (0.020)   ",="         (0.030)   ",="         (0.031)   ",="         (0.024)   ",="         (0.029)   ",="         (0.031)   ",="         (0.029)   ",="         (0.029)   ",="         (0.032)   "
="Constant                                          ",="          -0.207** ",="           0.955***",="           0.252*  ",="           0.078   ",="           0.311   ",="           0.611***",="           0.214   ",="           0.366*  ",="           0.420** ",="           0.444** ",="           0.215   ",="           0.341   "
="                                                  ",="         (0.099)   ",="         (0.160)   ",="         (0.134)   ",="         (0.129)   ",="         (0.201)   ",="         (0.221)   ",="         (0.176)   ",="         (0.193)   ",="         (0.187)   ",="         (0.203)   ",="         (0.196)   ",="         (0.227)   "
="R-squared                                         ",="           0.197   ",="           0.141   ",="           0.134   ",="           0.082   ",="           0.118   ",="           0.148   ",="           0.098   ",="           0.180   ",="           0.136   ",="           0.197   ",="           0.190   ",="           0.176   "
="N                                                 ",="             235   ",="             235   ",="             235   ",="             237   ",="             237   ",="             237   ",="             237   ",="             237   ",="             237   ",="             203   ",="             203   ",="             203   "
="Dependent Variable Mean                           ",="           0.088   ",="           0.845   ",="           0.067   ",="           0.116   ",="           0.401   ",="           0.483   ",="           0.227   ",="           0.430   ",="           0.343   ",="           0.350   ",="           0.267   ",="           0.383   "
="* p<0.10, ** p<0.05, *** p<0.01"
