="aspirations growth"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   "
="                                                  ",="Growth in sales aspirations (W3)   ",="Growth in customer aspirations (W3)   ",="Growth in size aspirations (W3)   ",="Growth in employee aspirations (W3)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Business had pessimistic aspirations betw BL and W3 for sales",="           0.522** ",="                   ",="                   ",="                   "
="                                                  ",="         (0.237)   ",="                   ",="                   ",="                   "
="Business had optimistic aspirations at W3 for sales",="          -0.870***",="                   ",="                   ",="                   "
="                                                  ",="         (0.124)   ",="                   ",="                   ",="                   "
="Business had pessimistic aspirations betw BL and W3 for customer",="                   ",="           0.649***",="                   ",="                   "
="                                                  ",="                   ",="         (0.139)   ",="                   ",="                   "
="Business had optimistic aspirations at W3 for customer",="                   ",="          -0.259*  ",="                   ",="                   "
="                                                  ",="                   ",="         (0.139)   ",="                   ",="                   "
="Business had pessimistic aspirations betw BL and W3 for size",="                   ",="                   ",="           0.647***",="                   "
="                                                  ",="                   ",="                   ",="         (0.067)   ",="                   "
="Business had optimistic aspirations at W3 for size",="                   ",="                   ",="          -0.396***",="                   "
="                                                  ",="                   ",="                   ",="         (0.076)   ",="                   "
="Business had pessimistic aspirations betw BL and W3 for employee",="                   ",="                   ",="                   ",="           0.372***"
="                                                  ",="                   ",="                   ",="                   ",="         (0.099)   "
="Business had optimistic aspirations at W3 for employee",="                   ",="                   ",="                   ",="          -0.684***"
="                                                  ",="                   ",="                   ",="                   ",="         (0.100)   "
="R-squared                                         ",="           0.412   ",="           0.458   ",="           0.580   ",="           0.558   "
="N                                                 ",="             238   ",="             242   ",="             242   ",="             177   "
="Dependent Variable Mean for realistic aspirers    ",="           0.689   ",="          -0.176   ",="           0.035   ",="           0.069   "
="* p<0.10, ** p<0.05, *** p<0.01"
