="aspirations growth"
="                                                  ",="             (1)   ",="             (2)   ",="             (3)   ",="             (4)   ",="             (5)   ",="             (6)   ",="             (7)   ",="             (8)   ",="             (9)   ",="            (10)   ",="            (11)   ",="            (12)   ",="            (13)   ",="            (14)   ",="            (15)   ",="            (16)   "
="                                                  ",="Growth in sales aspirations (W4)   ",="Growth in sales aspirations (W4)   ",="Growth in sales aspirations (W4)   ",="Growth in sales aspirations (W4)   ",="Growth in customer aspirations (W4)   ",="Growth in customer aspirations (W4)   ",="Growth in customer aspirations (W4)   ",="Growth in customer aspirations (W4)   ",="Growth in size aspirations (W4)   ",="Growth in size aspirations (W4)   ",="Growth in size aspirations (W4)   ",="Growth in size aspirations (W4)   ",="Growth in employee aspirations (W4)   ",="Growth in employee aspirations (W4)   ",="Growth in employee aspirations (W4)   ",="Growth in employee aspirations (W4)   "
="                                                  ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   ",="            b/se   "
="Business had pessimistic aspirations betw W3 and W4 for sales",="           1.274***",="           0.000   ",="           0.000   ",="           1.113***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.373)   ",="             (.)   ",="             (.)   ",="         (0.375)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Business had optimistic aspirations betw W3 and W4 for sales",="          -0.684***",="           0.000   ",="           0.000   ",="          -0.655***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.158)   ",="             (.)   ",="             (.)   ",="         (0.170)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Business had pessimistic aspirations betw W3 and W4 for customer",="                   ",="                   ",="                   ",="                   ",="           0.428***",="           3.446   ",="           0.600*  ",="           0.512*  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="         (0.162)   ",="             (.)   ",="         (0.316)   ",="         (0.282)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Business had optimistic aspirations betw W3 and W4 for customer",="                   ",="                   ",="                   ",="                   ",="          -0.680***",="           0.000   ",="          -0.897***",="          -0.328   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="         (0.113)   ",="             (.)   ",="         (0.226)   ",="         (0.237)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="Business had pessimistic aspirations betw W3 and W4 for size",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.355***",="           0.001   ",="           0.678*  ",="          -0.103   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.091)   ",="         (0.212)   ",="         (0.345)   ",="         (0.213)   ",="                   ",="                   ",="                   ",="                   "
="Business had optimistic aspirations betw W3 and W4 for size",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.718***",="          -0.523** ",="          -0.523** ",="          -1.276***",="                   ",="                   ",="                   ",="                   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.088)   ",="         (0.187)   ",="         (0.224)   ",="         (0.241)   ",="                   ",="                   ",="                   ",="                   "
="Business had pessimistic aspirations betw W3 and W4 for employee",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.388***",="           0.341   ",="           0.350   ",="           0.483** "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.088)   ",="         (0.226)   ",="         (0.286)   ",="         (0.194)   "
="Business had optimistic aspirations betw W3 and W4 for employee",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.757***",="          -0.896***",="          -0.580** ",="          -0.685** "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.087)   ",="         (0.211)   ",="         (0.218)   ",="         (0.193)   "
="R-squared                                         ",="           0.494   ",="           1.000   ",="           1.000   ",="           0.556   ",="           0.561   ",="           1.000   ",="           0.706   ",="           0.659   ",="           0.629   ",="           0.917   ",="           0.788   ",="           0.795   ",="           0.678   ",="           0.939   ",="           0.856   ",="           0.983   "
="N                                                 ",="             209   ",="              17   ",="              14   ",="             175   ",="             210   ",="              24   ",="             102   ",="              84   ",="             210   ",="              49   ",="              69   ",="              92   ",="             167   ",="              53   ",="              55   ",="              40   "
="Dependent Variable Mean for realistic aspirers    ",="           0.519   ",="           0.519   ",="           0.519   ",="           0.519   ",="           0.523   ",="           0.523   ",="           0.523   ",="           0.523   ",="           0.161   ",="           0.161   ",="           0.161   ",="           0.161   ",="           0.071   ",="           0.071   ",="           0.071   ",="           0.071   "
="* p<0.10, ** p<0.05, *** p<0.01"
