="aspirations growth on asp"
="                                                  ",="             (1)   ",="             (2)   "
="                                                  ",="Growth in sales aspirations (W3)   ",="Growth in aggregate shop aspirations (W3)   "
="                                                  ",="            b/se   ",="            b/se   "
="W3_asp12_aspexpgap_sales_BM                       ",="          -0.000   ",="                   "
="                                                  ",="         (0.000)   ",="                   "
="W3_asp12_aspexpgap_sales_AM                       ",="           0.000***",="                   "
="                                                  ",="         (0.000)   ",="                   "
="W3_asp12_aspexpgap_shop_z_BM                      ",="                   ",="           0.000   "
="                                                  ",="                   ",="             (.)   "
="W3_asp12_aspexpgap_shop_z_AM                      ",="                   ",="          10.555***"
="                                                  ",="                   ",="         (1.611)   "
="R-squared                                         ",="           0.208   ",="           0.966   "
="N                                                 ",="             237   ",="              50   "
="Dependent Variable Mean for realistic aspirers    ",="          -0.045   ",="          -0.180   "
="* p<0.10, ** p<0.05, *** p<0.01"
